"MacroTrends Data Download"
"MBI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1987-07-02,5.2830,5.3431,5.0429,5.1341,829500
1987-07-06,5.1630,5.1630,4.6827,4.8027,2205000
1987-07-07,4.7427,4.8940,4.7139,4.8316,344400
1987-07-08,4.8027,4.8316,4.7139,4.7739,366450
1987-07-09,4.8316,4.8940,4.8027,4.8940,164550
1987-07-10,4.8316,4.8940,4.8027,4.8027,66300
1987-07-13,4.8027,4.8027,4.5626,4.6515,221250
1987-07-14,4.6827,4.6827,4.5626,4.6827,223350
1987-07-15,4.6827,4.7427,4.6515,4.6827,155550
1987-07-16,4.6515,4.7139,4.6226,4.6827,69900
1987-07-17,4.6515,4.7427,4.6515,4.7427,110400
1987-07-20,4.6827,4.7427,4.6827,4.7139,71400
1987-07-21,4.6827,4.7139,4.6226,4.6515,152850
1987-07-22,4.6226,4.6226,4.5626,4.5914,156300
1987-07-23,4.5914,4.5914,4.5626,4.5914,42150
1987-07-24,4.5914,4.5914,4.5626,4.5914,35400
1987-07-27,4.5626,4.5626,4.5026,4.5626,47700
1987-07-28,4.5626,4.5626,4.4425,4.5026,75450
1987-07-29,4.4714,4.5626,4.4714,4.5626,65250
1987-07-30,4.5914,4.6226,4.5338,4.6226,100800
1987-07-31,4.5914,4.7427,4.5914,4.7427,216450
1987-08-03,4.8628,4.8628,4.7139,4.7739,118950
1987-08-04,4.8027,4.8940,4.7427,4.8628,57150
1987-08-05,4.8316,4.8940,4.8027,4.8940,101850
1987-08-06,4.9228,5.0429,4.8940,5.0429,82200
1987-08-07,4.9829,5.0429,4.9228,5.0429,277350
1987-08-10,5.0213,5.0213,4.9611,5.0213,101850
1987-08-11,5.0213,5.0213,4.8721,4.9034,49050
1987-08-12,4.9034,4.9924,4.9034,4.9323,93750
1987-08-13,4.9611,5.0526,4.9034,5.0526,235050
1987-08-14,5.0526,5.2330,5.0526,5.1728,100500
1987-08-17,5.2330,5.2931,5.0526,5.0838,121950
1987-08-18,5.1440,5.1728,5.0526,5.0526,65700
1987-08-19,5.1127,5.2017,5.0526,5.1127,76650
1987-08-20,5.1728,5.2017,5.0838,5.2017,42000
1987-08-21,5.2017,5.2017,5.1728,5.1728,63750
1987-08-24,5.2643,5.2643,5.1127,5.1728,97950
1987-08-25,5.1440,5.1728,5.0838,5.1728,24300
1987-08-26,5.1440,5.2330,5.1127,5.1728,48450
1987-08-27,5.2017,5.2330,5.1127,5.1728,115050
1987-08-28,5.1440,5.2330,5.1127,5.1728,27450
1987-08-31,5.2330,5.2330,5.1127,5.2017,83400
1987-09-01,5.1127,5.1127,5.0213,5.0213,34950
1987-09-02,4.9924,5.0526,4.9924,4.9924,22500
1987-09-03,4.9924,4.9924,4.9323,4.9323,14400
1987-09-04,4.9323,5.0213,4.9323,4.9323,6750
1987-09-08,4.8721,4.9034,4.6315,4.6917,38100
1987-09-09,4.7229,4.8721,4.7229,4.8721,31050
1987-09-10,4.9034,4.9924,4.8120,4.8721,32550
