"MacroTrends Data Download"
"MDV - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2022-02-11,23.8915,86.0000,23.8915,64.9850,46544
2022-02-14,66.8963,66.8963,43.5782,60.1971,12832
2022-02-15,50.6500,51.6057,26.8063,29.6255,139084
2022-02-16,24.1400,27.6951,24.0349,24.5796,70287
2022-02-17,21.1775,23.2990,19.6341,19.7051,71491
2022-02-18,19.6962,31.4317,17.1541,19.4381,228871
2022-02-22,18.2340,20.0211,16.4374,17.0203,53434
2022-02-23,15.4053,16.9917,15.3861,16.1350,66034
2022-02-24,14.5547,16.7422,14.5547,15.9882,43752
2022-02-25,15.6948,16.8481,14.4261,16.1849,36856
2022-02-28,18.2128,18.2128,16.3387,16.3483,24225
2022-03-01,15.3968,16.3295,15.3968,15.6371,24278
2022-03-02,15.3776,16.6174,15.3776,15.8005,49142
2022-03-03,15.4449,16.0984,15.4256,15.5410,13350
2022-03-04,16.2330,17.3190,15.5410,16.6943,40415
2022-03-07,16.8192,17.8572,16.6559,16.9057,41791
2022-03-08,16.9154,17.7065,16.8192,17.1076,18282
2022-03-09,16.9538,18.9241,16.9538,17.0595,32648
2022-03-10,16.1369,17.2902,16.1369,16.4060,23898
2022-03-11,17.2111,17.2997,16.3291,16.6943,15642
2022-03-14,16.3579,16.8433,16.3579,16.3867,6070
2022-03-15,16.0984,23.0663,16.0984,19.9044,177037
2022-03-16,17.9245,19.6064,17.2037,17.4440,53490
2022-03-17,16.8192,17.8694,16.8192,17.2517,30414
2022-03-18,17.5401,17.9245,16.8192,17.3575,14423
2022-03-21,17.2037,17.4824,16.9443,17.1556,7186
2022-03-22,17.1556,17.1845,16.5309,16.6366,29489
2022-03-23,16.3483,17.0980,16.3483,17.0612,27511
2022-03-24,17.2998,17.3478,16.5790,16.8865,18238
2022-03-25,16.5790,16.9634,16.5694,16.7609,30254
2022-03-28,16.4348,16.9634,16.4348,16.7231,29692
2022-03-29,16.5309,16.9730,16.5309,16.8433,40708
2022-03-30,16.8040,19.8653,16.8040,19.1411,145794
2022-03-31,18.8321,19.0928,17.1227,17.3255,75038
2022-04-01,18.1560,18.1560,16.5239,16.8813,31830
2022-04-04,16.6591,17.8084,16.6591,17.2193,23200
2022-04-05,16.9006,17.3834,16.6688,16.8909,20509
2022-04-06,16.7654,17.1806,16.7654,17.1806,12738
