"MacroTrends Data Download"
"MET - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2000-04-05,7.8833,8.5629,7.7800,8.4270,68703000
2000-04-06,8.3618,8.6336,8.2911,8.4596,15301000
2000-04-07,8.3618,8.4596,8.2259,8.3237,13486200
2000-04-10,8.3944,8.4270,8.2911,8.3237,5637200
2000-04-11,8.3237,8.3618,8.1878,8.2259,5425900
2000-04-12,8.2911,9.1066,8.2259,8.8022,10846600
2000-04-13,8.8348,9.3785,8.6662,9.2425,10626100
2000-04-14,9.2099,9.2425,8.5956,8.6336,9500300
2000-04-17,8.6989,8.9381,8.6989,8.7695,3522200
2000-04-18,8.8022,8.8674,8.4270,8.7695,5422400
2000-04-19,8.8022,8.8022,8.5629,8.6989,5348800
2000-04-20,8.5629,8.6662,8.3618,8.4270,6912000
2000-04-24,8.4270,8.6989,8.3944,8.6662,3114800
2000-04-25,8.6662,8.8022,8.6336,8.6989,7407400
2000-04-26,8.6662,8.7315,8.6336,8.7315,5941700
2000-04-27,8.6662,8.6989,8.4270,8.6662,2484900
2000-04-28,8.6662,9.1773,8.3618,9.0033,6218800
2000-05-01,9.3132,9.7862,9.1773,9.7862,5887100
2000-05-02,9.5851,9.7536,9.4491,9.6829,3132600
2000-05-03,9.6503,9.6829,9.3785,9.5144,1981800
2000-05-04,9.4491,9.5144,8.8022,9.5144,3429800
2000-05-05,9.3785,9.6829,9.2752,9.5470,1821500
2000-05-08,9.7210,10.0907,9.6829,9.7862,2897500
2000-05-09,9.8895,9.9928,9.1066,9.3458,4234300
2000-05-10,9.2425,9.6829,9.2425,9.5470,3283500
2000-05-11,9.5851,9.9548,9.4491,9.7862,2997400
