"MacroTrends Data Download"
"MFA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1998-04-13,2.7095,2.7280,2.6363,2.6729,3000
1998-04-14,2.7280,2.7280,2.6729,2.6729,3800
1998-04-15,2.6547,2.6729,2.6363,2.6729,2475
1998-04-16,2.6547,2.6547,2.6363,2.6363,2950
1998-04-17,2.6547,2.7095,2.6547,2.6547,3450
1998-04-20,2.7095,2.7280,2.6729,2.7280,11200
1998-04-21,2.7280,2.7461,2.6914,2.7461,5875
1998-04-22,2.8194,2.8744,2.7646,2.8744,8125
1998-04-23,2.8744,2.8744,2.6547,2.6914,7225
1998-04-24,2.7461,2.8378,2.7280,2.8194,4850
1998-04-27,2.8560,2.8560,2.7461,2.7828,5775
1998-04-28,2.8012,2.8378,2.7828,2.8378,4025
1998-04-29,2.8012,2.8744,2.8012,2.8194,2975
1998-04-30,2.8012,2.8378,2.8012,2.8378,1075
1998-05-01,2.8560,2.8926,2.8194,2.8194,2750
1998-05-04,2.8012,2.8378,2.8012,2.8194,700
1998-05-05,2.8012,2.8194,2.7828,2.8012,6100
1998-05-06,2.8012,2.8378,2.7095,2.7095,5400
1998-05-07,2.7280,2.7280,2.6363,2.6363,4625
1998-05-08,2.6363,2.7828,2.6363,2.7828,3500
1998-05-11,2.7828,2.8194,2.6547,2.8194,5300
1998-05-12,2.8194,2.8194,2.6729,2.7646,8325
1998-05-13,2.7828,2.7828,2.7280,2.7646,4800
1998-05-14,2.7461,2.7646,2.7280,2.7461,1175
1998-05-15,2.7280,2.8012,2.7280,2.7646,4600
1998-05-18,2.7461,2.9111,2.7461,2.7461,6700
1998-05-19,2.8378,2.8926,2.7280,2.7280,7450
1998-05-20,2.7646,2.7646,2.6363,2.6729,7050
1998-05-21,2.6547,2.6729,2.6363,2.6729,3300
1998-05-22,2.6729,2.6729,2.6363,2.6729,2550
1998-05-26,2.7095,2.8560,2.6729,2.6729,8125
