"MacroTrends Data Download"
"MFG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2006-11-08,8.9816,9.2529,8.9214,8.9636,108500
2006-11-09,8.9214,8.9575,8.8671,8.8731,18200
2006-11-10,8.8611,8.8912,8.8309,8.8671,66300
2006-11-13,8.6802,8.6802,8.5898,8.6200,34500
2006-11-14,8.8912,8.9937,8.8912,8.9877,17800
2006-11-15,8.9877,9.2228,8.9455,8.9455,86300
2006-11-16,8.9214,8.9214,8.7767,8.7767,10100
2006-11-17,8.7044,8.7164,8.6501,8.6706,6900
2006-11-20,8.5778,8.5778,8.4693,8.5175,10500
2006-11-21,8.3005,8.3186,8.2643,8.2884,34700
2006-11-22,8.4693,8.5417,8.4693,8.5356,15500
2006-11-24,8.5175,8.5356,8.4693,8.4753,5400
2006-11-27,8.5898,8.6200,8.5235,8.5235,71700
2006-11-28,8.5356,8.8610,8.5296,8.8008,15300
2006-11-29,8.8008,8.8671,8.7405,8.7707,25400
2006-11-30,8.9214,9.0600,8.9093,8.9696,66500
2006-12-01,8.9816,8.9816,8.8912,8.9387,6100
2006-12-04,8.9515,8.9937,8.9395,8.9937,12600
2006-12-05,8.9696,8.9696,8.7466,8.8189,22300
2006-12-06,8.8309,8.8430,8.8068,8.8068,29200
2006-12-07,8.8189,8.8671,8.7586,8.8671,126600
2006-12-08,8.7285,8.7285,8.6200,8.6320,32700
2006-12-11,8.6381,8.7405,8.6381,8.7044,20400
2006-12-12,8.7405,8.7948,8.7044,8.7948,8700
2006-12-13,8.7044,8.7104,8.6260,8.6863,12800
2006-12-14,8.7285,8.8973,8.7285,8.8671,17400
2006-12-15,8.8671,9.0419,8.7707,9.0419,37000
2006-12-18,8.8611,8.8852,8.7405,8.7767,10200
2006-12-19,8.7285,8.8370,8.6381,8.7405,70100
2006-12-20,8.7707,8.8575,8.7405,8.8185,90600
2006-12-21,8.7466,8.7466,8.6682,8.6983,73400
2006-12-22,8.6983,8.6983,8.6019,8.6441,28500
2006-12-26,8.6441,8.6441,8.5537,8.5597,30900
2006-12-27,8.6320,8.6863,8.6260,8.6863,10400
2006-12-28,8.6863,8.7104,8.6802,8.7044,18200
2006-12-29,8.7526,8.7526,8.6561,8.6923,11500
2007-01-03,8.7707,8.7707,8.6561,8.6802,45700
2007-01-04,8.6501,8.6802,8.6441,8.6622,12300
2007-01-05,8.7285,8.7707,8.7104,8.7164,10800
2007-01-08,8.7405,8.7827,8.6983,8.7646,11700
2007-01-09,8.8792,8.9214,8.8430,8.9214,21900
2007-01-10,8.8852,8.8912,8.8370,8.8551,5300
2007-01-11,8.7405,8.8008,8.7405,8.7888,13600
2007-01-12,8.9274,9.0419,8.9274,9.0359,13000
2007-01-16,9.0299,9.1022,9.0299,9.0419,15700
2007-01-17,8.9816,9.0419,8.9816,8.9816,4700
2007-01-18,8.9937,9.0118,8.9334,8.9334,21900
2007-01-19,8.9033,8.9515,8.8731,8.9395,7600
2007-01-22,9.0660,9.1203,9.0600,9.1022,19000
2007-01-23,9.0902,9.0962,9.0419,9.0540,20300
2007-01-24,9.0118,9.0721,8.9636,9.0359,20200
2007-01-25,8.8912,8.9816,8.8912,8.9428,17200
2007-01-26,8.9455,8.9455,8.8129,8.8912,16200
2007-01-29,8.8973,8.8973,8.7948,8.7948,73500
2007-01-30,8.7466,8.7888,8.7466,8.7466,43700
2007-01-31,8.7285,8.7646,8.6441,8.7646,59500
2007-02-01,8.7285,8.7285,8.6501,8.6923,21700
2007-02-02,8.5959,8.6018,8.4874,8.5356,69100
2007-02-05,8.4391,8.4572,8.3969,8.4572,22500
2007-02-06,8.4331,8.4331,8.3547,8.3789,32500
2007-02-07,8.4150,8.4210,8.3728,8.4030,19800
2007-02-08,8.3487,8.3487,8.2644,8.3125,21900
2007-02-09,8.5898,8.6622,8.5838,8.6260,181100
2007-02-12,8.6200,8.6200,8.5657,8.5717,52700
2007-02-13,8.6200,8.6802,8.6200,8.6802,32300
2007-02-14,8.7104,8.7586,8.7104,8.7586,19500
2007-02-15,8.7707,8.7707,8.7104,8.7707,48100
2007-02-16,8.8189,8.8792,8.8189,8.8551,22700
2007-02-20,8.8551,8.8551,8.7827,8.8237,29400
2007-02-21,8.8249,8.8731,8.8249,8.8731,21900
2007-02-22,8.8309,8.8611,8.8309,8.8551,30500
2007-02-23,8.7526,8.7526,8.6923,8.7104,18000
2007-02-26,8.6742,8.6742,8.6200,8.6441,69800
2007-02-27,8.5959,8.6019,8.4391,8.4438,19800
2007-02-28,8.4150,8.4693,8.3306,8.4512,49800
2007-03-01,8.4391,8.4391,8.3789,8.4331,18400
2007-03-02,8.4391,8.4391,8.3849,8.4030,7500
2007-03-05,8.3427,8.4090,8.3186,8.3186,8700
2007-03-06,8.3186,8.3728,8.2824,8.3487,23500
2007-03-07,8.3367,8.3427,8.3125,8.3367,18800
2007-03-08,8.3547,8.4210,8.3547,8.4090,8900
2007-03-09,8.3789,8.4090,8.3668,8.3849,11000
2007-03-12,8.3789,8.4090,8.3306,8.3487,16900
2007-03-13,8.3306,8.3367,8.2583,8.2583,12300
2007-03-14,8.0232,8.0775,7.9268,8.0473,84000
2007-03-15,7.9268,7.9991,7.9227,7.9810,10800
2007-03-16,7.8966,8.0111,7.8122,8.0111,490100
2007-03-19,7.8424,7.8906,7.8363,7.8424,79200
2007-03-20,7.7339,7.8002,7.7278,7.7519,97100
2007-03-21,7.7761,7.9750,7.7761,7.9268,381800
2007-03-22,8.0775,8.0894,7.9991,8.0111,64700
2007-03-23,8.0051,8.1196,8.0051,8.1076,191700
2007-03-26,8.0051,8.0292,7.9448,8.0051,20800
2007-03-27,8.0051,8.0051,7.8966,8.0051,203400
2007-03-28,7.8363,7.8363,7.6796,7.7158,73100
2007-03-29,7.7158,7.7399,7.6856,7.7218,107300
2007-03-30,7.8363,7.8484,7.7700,7.8122,36700
2007-04-02,7.6314,7.7640,7.6254,7.7640,39300
2007-04-03,7.8122,7.8785,7.8122,7.8785,22300
2007-04-04,7.9268,7.9991,7.9268,7.9931,14100
2007-04-05,7.9509,7.9870,7.9268,7.9690,16200
2007-04-09,7.9509,7.9569,7.9268,7.9328,22500
2007-04-10,7.9870,8.0051,7.9569,7.9870,38500
2007-04-11,7.9931,7.9931,7.8966,7.9147,14200
2007-04-12,7.9207,7.9509,7.8725,7.9388,15200
2007-04-13,7.8484,7.8484,7.7761,7.8183,25900
2007-04-16,7.7580,7.8424,7.7519,7.8424,29100
2007-04-17,7.6917,7.7158,7.6555,7.7037,93900
2007-04-18,7.7037,7.7580,7.7037,7.7218,19700
2007-04-19,7.6917,7.6917,7.6254,7.6917,20700
2007-04-20,7.6254,7.6434,7.6193,7.6254,16300
2007-04-23,7.4626,7.4626,7.3842,7.4204,71300
2007-04-24,7.4264,7.4264,7.3507,7.3842,51800
2007-04-25,7.3541,7.3842,7.3059,7.3541,34900
2007-04-26,7.2757,7.3481,7.2335,7.2396,53400
2007-04-27,7.2938,7.3481,7.2637,7.3481,110200
2007-04-30,7.3300,7.3903,7.3240,7.3300,28900
2007-05-01,7.3300,7.3300,7.2275,7.2637,29700
2007-05-02,7.3842,7.4686,7.3481,7.4686,75700
2007-05-03,7.4686,7.5169,7.4084,7.4204,52900
2007-05-04,7.4264,7.4867,7.4205,7.4505,10200
2007-05-07,7.5651,7.6193,7.5651,7.6133,68400
2007-05-08,7.8062,7.8062,7.6917,7.7580,77800
2007-05-09,7.9087,7.9448,7.8544,7.8966,67100
2007-05-10,7.8725,7.8725,7.6856,7.6856,64800
2007-05-11,7.7761,7.9870,7.7761,7.8725,33400
2007-05-14,7.8122,7.8665,7.7941,7.8484,14600
2007-05-15,7.8363,7.8484,7.7459,7.7881,27200
2007-05-16,7.7037,7.7158,7.6555,7.6917,27100
2007-05-17,7.5470,7.6073,7.4988,7.4988,49000
2007-05-18,7.5591,7.6254,7.5591,7.6012,42900
2007-05-21,7.6073,7.7459,7.6073,7.6977,75500
2007-05-22,8.0775,8.4934,8.0533,8.2945,190200
2007-05-23,8.4391,8.4934,8.3125,8.4512,135500
2007-05-24,8.5115,8.5597,8.3789,8.4090,169900
2007-05-25,8.4813,8.4874,8.3668,8.4210,34500
2007-05-29,8.5898,8.6501,8.5898,8.6260,34300
2007-05-30,8.6079,8.6079,8.5416,8.6019,22400
2007-05-31,8.6019,8.6381,8.5597,8.5657,48100
2007-06-01,8.5717,8.6200,8.5476,8.6139,30300
2007-06-04,8.5898,8.6381,8.5778,8.6079,33600
2007-06-05,8.6139,8.6139,8.5356,8.5476,11200
2007-06-06,8.6501,8.6501,8.5296,8.5838,14200
2007-06-07,8.7345,8.7388,8.6260,8.6320,42200
2007-06-08,8.7888,9.0118,8.7888,9.0118,81600
2007-06-11,8.9395,8.9515,8.8852,8.8912,31600
2007-06-12,8.8309,8.8370,8.7586,8.7646,13200
2007-06-13,8.7767,8.8309,8.7586,8.8189,36300
2007-06-14,8.7707,8.8249,8.7104,8.7586,35800
2007-06-15,8.7646,8.9214,8.6501,8.9214,133000
2007-06-18,8.8611,8.8792,8.8068,8.8309,41400
2007-06-19,8.5838,8.7586,8.5838,8.7346,45500
2007-06-20,8.6863,8.7104,8.5898,8.7104,60900
2007-06-21,8.7104,8.7104,8.5959,8.6802,41200
2007-06-22,8.6320,8.6320,8.4391,8.4452,56200
2007-06-25,8.4452,8.4693,8.3849,8.4030,9700
2007-06-26,8.4632,8.5296,8.4391,8.4391,79600
