"MacroTrends Data Download"
"MHLD - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2008-05-06,6.2471,6.2471,4.9602,4.9977,868200
2008-05-07,4.9977,4.9977,4.6853,4.9352,2875900
2008-05-08,4.7478,4.9352,4.7478,4.9352,9300
2008-05-09,4.8727,4.9352,4.8290,4.8353,34800
2008-05-12,4.8415,4.9352,4.8290,4.8290,15100
2008-05-13,4.9290,4.9290,4.8415,4.8727,3100
2008-05-14,4.8290,4.8290,4.6853,4.6853,300
2008-05-15,4.9290,4.9290,4.7228,4.7228,3800
2008-05-16,4.7228,4.7228,4.7228,4.7228,0
2008-05-19,4.8727,4.8727,4.7166,4.7228,4500
2008-05-20,4.7228,4.7228,4.7228,4.7228,0
2008-05-21,4.8665,4.8727,4.7291,4.8603,4600
2008-05-22,4.7228,4.7978,4.7228,4.7478,4900
2008-05-23,4.7478,4.7478,4.7478,4.7478,1000
2008-05-27,4.8665,4.8727,4.6978,4.7041,87400
2008-05-28,4.6916,4.7228,4.6853,4.7228,145500
2008-05-29,4.7166,4.7478,4.6853,4.6853,66400
2008-05-30,4.7103,4.7291,4.7103,4.7291,900
2008-06-02,4.6853,4.6853,4.6791,4.6791,2400
2008-06-03,4.8540,4.8540,4.5791,4.6666,5800
2008-06-04,4.6916,4.8228,4.6354,4.6853,16200
2008-06-05,4.6853,4.8727,4.6853,4.6853,104700
2008-06-06,4.8603,4.8603,4.4729,4.5604,34000
2008-06-09,4.6541,4.6541,4.0606,4.2418,1702900
2008-06-10,4.2730,4.9977,4.2730,4.7103,28200
2008-06-11,4.7103,4.9977,4.4292,4.5791,24100
