"MacroTrends Data Download"
"NBHC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2012-09-20,17.4440,17.4440,16.7377,16.8841,3535500
2012-09-21,16.7118,17.0909,16.7118,16.9272,262000
2012-09-24,16.9703,17.2373,16.8152,16.8410,179100
2012-09-25,16.6688,16.9703,16.6171,16.9272,154000
2012-09-26,16.9530,17.0047,16.6257,16.7721,151400
2012-09-27,16.7721,16.7721,16.5912,16.6257,134700
2012-09-28,16.5654,16.9186,16.5654,16.7635,101200
2012-10-01,16.6257,16.9703,16.6257,16.8238,64200
2012-10-02,16.8410,16.8410,16.7204,16.8152,46800
2012-10-03,16.8410,16.8927,16.6601,16.7807,31800
2012-10-04,16.8841,16.8841,16.7463,16.8583,87900
2012-10-05,16.9703,16.9703,16.7721,16.8238,90300
2012-10-08,16.8238,16.9358,16.6946,16.8324,75000
2012-10-09,16.8583,16.9616,16.6946,16.7463,42900
2012-10-10,16.7894,16.7980,16.5826,16.6429,57000
2012-10-11,16.7635,16.9358,16.1261,16.4189,120400
2012-10-12,16.3242,16.6515,16.1864,16.5912,278500
2012-10-15,16.6946,16.7204,16.4534,16.6343,35400
2012-10-16,16.6601,16.7118,16.4362,16.6085,24700
2012-10-17,16.6085,16.8841,16.5826,16.8841,20300
2012-10-18,16.8755,16.9616,16.7377,16.9444,39000
2012-10-19,16.8927,17.1598,16.7980,16.7980,104600
2012-10-22,16.7980,16.7980,16.5826,16.5912,86200
2012-10-23,16.4362,16.5654,16.3759,16.3931,43900
2012-10-24,16.4534,16.4534,16.3673,16.4362,41600
2012-10-25,16.5309,16.5309,16.1691,16.3070,51200
2012-10-26,16.2725,16.5395,16.2725,16.2983,17500
2012-10-31,16.3156,16.3673,16.1088,16.3673,48000
2012-11-01,16.2811,16.4017,16.2811,16.3673,27600
2012-11-02,16.3931,16.4448,16.1002,16.2897,64700
2012-11-05,16.2811,17.0478,16.2811,16.8927,50200
2012-11-06,16.6946,16.7377,16.4965,16.7377,50500
2012-11-07,16.5740,16.8841,16.5740,16.7463,119800
2012-11-08,16.7635,16.7980,16.6257,16.6601,92800
2012-11-09,16.6429,16.7980,16.6429,16.7980,8900
2012-11-12,16.7807,16.7980,16.6257,16.7549,16700
2012-11-13,16.6171,16.7980,16.6171,16.7980,6600
2012-11-14,16.7721,16.7980,16.6171,16.7118,72400
