"MacroTrends Data Download"
"NBTB - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1992-03-17,4.1010,4.4655,4.1010,4.3744,21900
1992-03-18,4.1010,4.4655,4.1010,4.4655,9300
1992-03-19,4.2395,4.6478,4.1010,4.4655,17800
1992-03-20,4.4655,4.4655,4.4655,4.4655,0
1992-03-23,4.1010,4.1010,4.1010,4.1010,800
1992-03-24,4.3744,4.3744,4.1484,4.1484,1700
1992-03-25,4.5567,4.5567,4.1010,4.1010,4500
1992-03-26,4.5567,4.5567,4.5567,4.5567,100
1992-03-27,4.3744,4.3744,4.3744,4.3744,1400
1992-03-30,4.3744,4.3744,4.3744,4.3744,1200
1992-03-31,4.4655,4.4655,4.4655,4.4655,400
1992-04-01,4.3744,4.3744,4.3744,4.3744,500
1992-04-02,4.1010,4.3744,4.1010,4.3744,1600
1992-04-03,4.4655,4.4655,4.1010,4.1010,2400
1992-04-06,4.4655,4.4655,4.4655,4.4655,100
1992-04-07,4.1010,4.3744,4.1010,4.3744,1200
1992-04-08,4.3744,4.3744,4.3744,4.3744,400
1992-04-09,4.3744,4.3744,4.3306,4.3744,4000
1992-04-10,4.3744,4.3744,4.3744,4.3744,600
1992-04-13,4.1921,4.3744,4.1921,4.3744,4400
1992-04-14,4.3744,4.3744,4.1921,4.1921,4500
1992-04-15,4.3744,4.3744,4.1921,4.1921,1200
1992-04-16,4.3744,4.3744,4.1921,4.2833,13400
1992-04-20,4.2833,4.2833,4.2833,4.2833,500
1992-04-21,4.2833,4.2833,4.2833,4.2833,1400
1992-04-22,4.2833,4.2833,4.0572,4.2833,2600
1992-04-23,4.1010,4.2833,4.1010,4.1010,7600
1992-04-24,4.1010,4.1010,4.1010,4.1010,0
1992-04-27,4.2833,4.2833,4.0099,4.2833,9800
1992-04-28,4.2833,4.2833,4.2833,4.2833,1000
1992-04-29,4.2833,4.3744,4.1921,4.3744,14900
1992-04-30,4.1921,4.2833,4.1921,4.1921,25300
1992-05-01,4.1921,4.4655,4.1921,4.4655,1800
1992-05-04,4.4655,4.4655,4.2833,4.2833,1600
1992-05-05,4.2833,4.2833,4.2833,4.2833,900
1992-05-06,4.3744,4.3744,4.1921,4.1921,800
1992-05-07,4.4655,4.4655,4.2395,4.2395,600
1992-05-08,4.2833,4.2833,4.2833,4.2833,200
1992-05-11,4.2833,4.4655,4.2833,4.4655,2400
1992-05-12,4.2833,4.3744,4.2395,4.3744,20000
1992-05-13,4.4655,4.4655,4.4655,4.4655,1300
1992-05-14,4.5567,4.5567,4.5567,4.5567,900
1992-05-15,4.5567,4.5567,4.5567,4.5567,0
1992-05-18,4.5567,4.5567,4.5567,4.5567,500
1992-05-19,4.5567,4.5567,4.5567,4.5567,0
1992-05-20,4.6478,4.6478,4.6478,4.6478,100
1992-05-21,4.2833,4.2833,4.2833,4.2833,100
1992-05-22,4.6478,4.6478,4.3744,4.3744,1200
1992-05-26,4.4611,4.4611,4.4132,4.4132,4600
1992-05-27,4.5530,4.7810,4.5530,4.7810,13100
1992-05-28,4.5052,4.9649,4.5052,4.5052,7600
1992-05-29,4.5052,4.5052,4.5052,4.5052,800
