"MacroTrends Data Download"
"O - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1994-10-18,1.4408,1.4525,1.4183,1.4408,405200
1994-10-19,1.4525,1.5758,1.4525,1.5650,242200
1994-10-20,1.5876,1.6326,1.5758,1.5758,137200
1994-10-21,1.5758,1.5876,1.5425,1.5533,66600
1994-10-24,1.5533,1.5876,1.5200,1.5200,73400
1994-10-25,1.5083,1.5533,1.4858,1.5425,63200
1994-10-26,1.5335,1.5562,1.5335,1.5335,46200
1994-10-27,1.5335,1.5562,1.5335,1.5335,33800
1994-10-28,1.5335,1.5444,1.5108,1.5108,40000
1994-10-31,1.5217,1.5335,1.5108,1.5108,32800
1994-11-01,1.5108,1.5217,1.4990,1.5108,33000
1994-11-02,1.5108,1.5217,1.4654,1.4990,73200
1994-11-03,1.5108,1.5217,1.4881,1.4881,54800
1994-11-04,1.4881,1.4990,1.4536,1.4536,65600
1994-11-07,1.4536,1.4763,1.4536,1.4536,71200
1994-11-08,1.4536,1.4763,1.4536,1.4763,103000
1994-11-09,1.4654,1.4881,1.4654,1.4654,60000
1994-11-10,1.4536,1.4881,1.4200,1.4309,74200
1994-11-11,1.4427,1.4427,1.3854,1.4200,78400
1994-11-14,1.4082,1.4427,1.3854,1.4309,63800
1994-11-15,1.3972,1.4309,1.3854,1.3972,68200
1994-11-16,1.3972,1.4200,1.3854,1.4082,83200
1994-11-17,1.3854,1.4200,1.3854,1.4200,96400
1994-11-18,1.4082,1.4082,1.3854,1.3854,110400
1994-11-21,1.4082,1.4309,1.3854,1.4082,132600
1994-11-22,1.3972,1.4200,1.3972,1.4082,90200
1994-11-23,1.3972,1.4200,1.3972,1.4200,47000
1994-11-25,1.3987,1.4336,1.3987,1.4336,32800
1994-11-28,1.4336,1.4565,1.4217,1.4565,66400
1994-11-29,1.4565,1.4675,1.4446,1.4446,46600
1994-11-30,1.4565,1.4794,1.4446,1.4675,70400
1994-12-01,1.4675,1.4794,1.4565,1.4794,66600
1994-12-02,1.4675,1.4794,1.4565,1.4565,30600
1994-12-05,1.4446,1.4675,1.4446,1.4565,44200
1994-12-06,1.4446,1.4565,1.4336,1.4565,42000
1994-12-07,1.4336,1.4565,1.4336,1.4565,33000
1994-12-08,1.4446,1.4675,1.4446,1.4446,37400
1994-12-09,1.4336,1.4565,1.4336,1.4446,70400
1994-12-12,1.4565,1.4675,1.4446,1.4446,31000
1994-12-13,1.4565,1.4565,1.4446,1.4446,67200
1994-12-14,1.4565,1.4675,1.4336,1.4675,109400
1994-12-15,1.4675,1.4905,1.4565,1.4675,42800
1994-12-16,1.4905,1.5482,1.4794,1.5134,80800
1994-12-19,1.5253,1.5592,1.5134,1.5363,76600
1994-12-20,1.5134,1.5363,1.4905,1.5363,55800
1994-12-21,1.5253,1.5482,1.5253,1.5363,53400
1994-12-22,1.5363,1.5482,1.5253,1.5363,57600
1994-12-23,1.5363,1.5482,1.5253,1.5253,44000
1994-12-27,1.5272,1.5624,1.5041,1.5161,45600
1994-12-28,1.5272,1.5393,1.5161,1.5393,40800
1994-12-29,1.5272,1.5272,1.5161,1.5272,63200
1994-12-30,1.5272,1.5856,1.5161,1.5856,103000
1995-01-03,1.5624,1.5735,1.5504,1.5624,45800
1995-01-04,1.5504,1.5624,1.5272,1.5272,21200
