"MacroTrends Data Download"
"OCFC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-07-03,3.0149,3.0149,2.8929,2.9456,8223300
1996-07-05,2.8929,2.9456,2.8583,2.8929,591900
1996-07-08,2.8929,2.9110,2.8250,2.8763,825900
1996-07-09,2.8763,2.8763,2.8070,2.8250,969900
1996-07-10,2.8417,2.8417,2.7723,2.7890,2501100
1996-07-11,2.7890,2.8070,2.7211,2.7557,1560300
1996-07-12,2.7557,2.7890,2.7211,2.7890,972000
1996-07-15,2.7723,2.8070,2.7377,2.7377,1177500
1996-07-16,2.7460,2.7557,2.6850,2.7211,963600
1996-07-17,2.7377,2.7557,2.7211,2.7294,177900
1996-07-18,2.7377,2.7723,2.7211,2.7294,232800
1996-07-19,2.7294,2.7723,2.7211,2.7211,345900
1996-07-22,2.7557,2.7557,2.7211,2.7377,169200
1996-07-23,2.7377,2.7723,2.7211,2.7377,455700
1996-07-24,2.7723,2.7723,2.7377,2.7723,402600
1996-07-25,2.7723,2.7890,2.7557,2.7723,837000
1996-07-26,2.7557,2.7890,2.7557,2.7723,619200
1996-07-29,2.7890,2.7890,2.7557,2.7723,916500
1996-07-30,2.7723,2.8070,2.7723,2.8070,310200
1996-07-31,2.7723,2.8070,2.7723,2.7890,449100
1996-08-01,2.7890,2.8417,2.7890,2.8333,683700
1996-08-02,2.8417,2.9110,2.8417,2.9110,1046400
1996-08-05,2.8936,2.9456,2.8590,2.8936,473400
1996-08-06,2.8929,2.9110,2.8763,2.9026,504300
1996-08-07,2.9110,2.9290,2.8763,2.9290,610800
1996-08-08,2.8936,2.9110,2.8243,2.8763,512700
1996-08-09,2.8763,2.8763,2.8070,2.8243,156900
1996-08-12,2.7550,2.7897,2.7204,2.7897,279900
1996-08-13,2.9456,2.9456,2.8680,2.9110,248700
1996-08-14,2.8680,2.9110,2.8680,2.9110,283800
1996-08-15,2.7723,2.8070,2.7377,2.7377,428400
1996-08-16,2.7464,2.7550,2.6857,2.7204,607500
1996-08-19,2.7290,2.7723,2.7204,2.7204,478500
1996-08-20,2.9456,2.9969,2.9456,2.9969,526800
1996-08-21,2.9969,3.0329,2.9803,3.0329,708600
1996-08-22,2.7550,2.7550,2.7204,2.7377,1324800
1996-08-23,2.7377,2.7723,2.7204,2.7377,1244400
1996-08-26,2.7550,2.7897,2.7550,2.7723,375900
1996-08-27,3.1369,3.1535,3.1189,3.1189,320400
1996-08-28,3.1716,3.1716,3.1369,3.1535,323100
1996-08-29,2.7897,2.7897,2.7550,2.7723,1035600
