"MacroTrends Data Download"
"OCFT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-12-13,10.6050,10.7100,9.8200,10.0000,5412814
2019-12-16,10.0000,10.0500,9.7500,9.7500,918350
2019-12-17,9.6600,10.0000,9.4300,9.8400,1019972
2019-12-18,9.8000,10.0100,9.6000,9.8700,540388
2019-12-19,9.8500,10.0000,9.5000,9.8800,893531
2019-12-20,9.8000,10.1400,9.8000,9.8500,296742
2019-12-23,9.9500,9.9500,9.6900,9.9000,369179
2019-12-24,9.8500,9.9300,9.7500,9.8500,419014
2019-12-26,9.9100,10.0897,9.9100,10.0100,918253
2019-12-27,10.1500,10.1500,10.0000,10.0600,255446
2019-12-30,10.0400,10.1300,9.9400,10.0500,228526
2019-12-31,10.0200,10.1100,10.0000,10.0300,93274
2020-01-02,10.0100,10.4400,10.0100,10.2700,200726
2020-01-03,10.2700,10.5100,10.2700,10.4000,88157
2020-01-06,10.4400,11.1400,10.4400,10.8600,483801
2020-01-07,11.2300,12.8100,11.2000,11.9600,1380785
2020-01-08,11.5000,12.8700,11.4000,12.5600,544723
2020-01-09,13.0100,14.2400,12.9846,13.5400,829986
2020-01-10,13.9900,15.8700,13.8000,15.8200,794250
2020-01-13,16.4000,16.6000,14.6300,15.6800,1019009
2020-01-14,15.1800,15.2000,12.3000,12.4800,1484959
2020-01-15,12.9300,14.0900,12.8500,14.0900,748104
2020-01-16,14.5000,14.5018,13.7700,14.1200,519940
2020-01-17,14.2600,14.4391,13.6000,14.2000,475615
2020-01-21,14.2300,14.2300,13.7500,14.0100,322681
2020-01-22,14.0700,15.5300,13.9600,14.2900,1352460
2020-01-23,14.4300,14.8000,14.2200,14.5200,382928
2020-01-24,14.5100,14.7300,13.3500,13.7400,430511
2020-01-27,13.2800,13.2800,12.5400,12.8000,310382
2020-01-28,12.9100,13.6700,12.8100,13.2300,128795
2020-01-29,13.3000,13.8019,13.1100,13.1900,167067
