"MacroTrends Data Download"
"ONB - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1990-03-26,6.9533,7.0871,6.9533,6.9533,1901
1990-03-27,7.0871,7.0871,7.0871,7.0871,1601
1990-03-28,7.0871,7.0871,7.0871,7.0871,2801
1990-03-29,7.0871,7.0871,7.0871,7.0871,0
1990-03-30,6.9533,6.9533,6.9533,6.9533,401
1990-04-02,7.0871,7.0871,6.9533,7.0202,7700
1990-04-03,7.0202,7.0202,7.0202,7.0202,25500
1990-04-04,6.9533,7.0871,6.9533,6.9533,7001
1990-04-05,7.0202,7.0202,7.0202,7.0202,300
1990-04-06,6.9533,7.0202,6.9533,7.0202,1800
1990-04-09,6.9533,7.0871,6.9533,6.9533,6800
1990-04-10,7.0871,7.0871,7.0871,7.0871,900
1990-04-11,6.9533,6.9533,6.9533,6.9533,101
1990-04-12,6.9533,6.9533,6.9533,6.9533,2801
1990-04-16,6.9533,6.9533,6.9533,6.9533,2700
1990-04-17,7.0202,7.0202,7.0202,7.0202,7301
1990-04-18,6.9533,7.0202,6.9533,7.0202,1601
1990-04-19,6.9533,6.9533,6.9533,6.9533,15000
1990-04-20,6.9533,6.9533,6.9533,6.9533,41600
1990-04-23,6.9854,6.9854,6.9533,6.9533,22901
1990-04-24,6.8865,7.0202,6.8865,6.8865,4601
1990-04-25,6.8865,6.9533,6.8865,6.9533,6500
1990-04-26,6.9854,6.9854,6.8865,6.9854,35501
1990-04-27,6.9533,6.9533,6.8865,6.8865,600
1990-04-30,7.0202,7.0202,6.8865,6.8865,34301
1990-05-01,6.8865,6.9854,6.8865,6.9186,15900
1990-05-02,6.9186,6.9186,6.9186,6.9186,0
1990-05-03,6.9533,6.9533,6.9533,6.9533,1200
1990-05-04,6.9854,6.9854,6.8865,6.8865,187601
1990-05-07,6.8865,6.9533,6.8865,6.8865,1800
1990-05-08,6.8865,6.8865,6.8865,6.8865,20501
1990-05-09,6.8865,6.8865,6.8865,6.8865,0
1990-05-10,6.8865,6.9186,6.8865,6.8865,101700
1990-05-11,6.8865,6.8865,6.8865,6.8865,2801
1990-05-14,6.8865,6.9533,6.8865,6.8865,4601
1990-05-15,6.8865,6.8865,6.8865,6.8865,5801
1990-05-16,6.8865,6.9186,6.8865,6.9186,9000
1990-05-17,6.8865,6.9533,6.8865,6.9533,401
1990-05-18,6.8865,6.8865,6.8865,6.8865,300
1990-05-21,6.8865,6.9533,6.8865,6.9533,2700
1990-05-22,6.9533,6.9533,6.8865,6.8865,701
1990-05-23,6.9533,6.9533,6.8865,6.8865,14700
1990-05-24,6.8865,7.0202,6.8865,7.0202,27500
1990-05-25,6.9803,6.9803,6.9803,6.9803,401
1990-05-29,6.9803,6.9803,6.9803,6.9803,2700
1990-05-30,6.9132,6.9132,6.9132,6.9132,101
1990-05-31,7.0126,7.0126,6.9803,7.0126,52700
1990-06-01,6.9132,7.0475,6.9132,6.9132,1601
1990-06-04,6.9803,6.9803,6.9803,6.9803,25001
1990-06-05,6.9132,6.9803,6.9132,6.9132,13700
1990-06-06,6.9132,7.0475,6.9132,7.0475,5700
1990-06-07,7.0475,7.0475,7.0475,7.0475,0
1990-06-08,6.9132,6.9803,6.9132,6.9803,600
1990-06-11,6.9803,6.9803,6.9132,6.9132,2801
1990-06-12,6.9132,6.9132,6.9132,6.9132,701
1990-06-13,6.9803,7.0475,6.9132,6.9132,14201
1990-06-14,6.9132,6.9132,6.9132,6.9132,7400
1990-06-15,6.9132,6.9132,6.9132,6.9132,0
1990-06-18,6.9132,6.9132,6.9132,6.9132,3401
1990-06-19,6.9132,6.9132,6.8461,6.8461,4400
1990-06-20,6.8461,6.9132,6.8461,6.9132,5201
1990-06-21,6.8461,6.8461,6.8461,6.8461,101
1990-06-22,6.8461,6.8461,6.8461,6.8461,6000
1990-06-25,6.8461,6.8461,6.8461,6.8461,0
1990-06-26,6.8461,6.8461,6.8461,6.8461,0
1990-06-27,6.8461,6.8461,6.8461,6.8461,701
1990-06-28,6.8461,6.9132,6.8461,6.9132,5000
1990-06-29,6.9132,6.9132,6.9132,6.9132,401
1990-07-02,6.7790,6.7790,6.7790,6.7790,701
1990-07-03,6.7790,6.7790,6.7790,6.7790,2700
1990-07-05,6.7119,6.7119,6.7119,6.7119,1800
1990-07-06,6.7790,6.7790,6.7790,6.7790,4601
1990-07-09,6.7119,6.7119,6.7119,6.7119,101
1990-07-10,6.7119,6.7119,6.7119,6.7119,4601
1990-07-11,6.8461,6.8461,6.8461,6.8461,600
1990-07-12,6.7119,6.7119,6.7119,6.7119,1601
1990-07-13,6.8461,6.8461,6.8461,6.8461,101
1990-07-16,6.7119,6.7119,6.7119,6.7119,101
1990-07-17,6.7119,6.7119,6.7119,6.7119,101
1990-07-18,6.7119,6.7790,6.7119,6.7119,35600
1990-07-19,6.7119,6.7119,6.7119,6.7119,600
1990-07-20,6.7790,6.7790,6.7119,6.7119,2801
1990-07-23,6.7119,6.7119,6.7119,6.7119,3401
1990-07-24,6.7119,6.7119,6.7119,6.7119,401
1990-07-25,6.7119,6.7119,6.6448,6.6448,20300
1990-07-26,6.7790,6.7790,6.6448,6.6448,5501
1990-07-27,6.6448,6.6448,6.6448,6.6448,0
1990-07-30,6.6448,6.6448,6.5776,6.5776,900
1990-07-31,6.5776,6.5776,6.5776,6.5776,2700
1990-08-01,6.5776,6.7119,6.5776,6.5776,25001
1990-08-02,6.5776,6.5776,6.5105,6.5105,5801
1990-08-03,6.5776,6.5776,6.5776,6.5776,300
1990-08-06,6.5105,6.5105,6.5105,6.5105,6500
1990-08-07,6.5105,6.5105,6.5105,6.5105,4601
1990-08-08,6.5105,6.5105,6.5105,6.5105,4001
1990-08-09,6.5105,6.5105,6.5105,6.5105,0
1990-08-10,6.5105,6.5776,6.5105,6.5776,6401
1990-08-13,6.5105,6.5776,6.5105,6.5105,23900
1990-08-14,6.5105,6.5105,6.5105,6.5105,1301
1990-08-15,6.5105,6.5105,6.5105,6.5105,300
1990-08-16,6.5105,6.5105,6.5105,6.5105,300
1990-08-17,6.5105,6.5105,6.4434,6.5105,5801
1990-08-20,6.4434,6.4434,6.4434,6.4434,701
1990-08-21,6.4434,6.4434,6.4434,6.4434,1601
1990-08-22,6.4434,6.4434,6.4434,6.4434,900
1990-08-23,6.4434,6.4434,6.4434,6.4434,11100
1990-08-24,6.4434,6.4434,6.3763,6.4434,5201
1990-08-27,6.4034,6.4034,6.4034,6.4034,401
1990-08-28,6.4034,6.4034,6.4034,6.4034,0
1990-08-29,6.4034,6.4034,6.4034,6.4034,9000
1990-08-30,6.4034,6.4034,6.4034,6.4034,101
1990-08-31,6.4034,6.4034,6.3360,6.3360,13400
1990-09-04,6.4034,6.4034,6.3360,6.4034,13901
1990-09-05,6.2012,6.2012,6.2012,6.2012,600
1990-09-06,6.3360,6.3360,6.3360,6.3360,300
1990-09-07,6.2012,6.3360,6.2012,6.3360,1601
1990-09-10,6.2012,6.2686,6.2012,6.2012,27800
1990-09-11,6.2012,6.2012,6.2012,6.2012,1500
1990-09-12,6.2686,6.2686,6.2012,6.2012,27800
1990-09-13,6.2012,6.2686,6.2012,6.2686,6401
1990-09-14,6.2686,6.2686,6.2012,6.2686,62000
1990-09-17,6.2012,6.2686,6.2012,6.2686,5700
1990-09-18,6.2012,6.2686,6.2012,6.2012,31100
1990-09-19,6.2012,6.2335,6.2012,6.2012,5400
1990-09-20,6.2686,6.2686,6.2012,6.2686,20300
