"MacroTrends Data Download"
"PAYS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2018-08-13,4.1000,4.1000,3.6000,3.6500,116367
2018-08-14,3.8500,3.8500,3.2500,3.4400,126188
2018-08-15,3.6000,3.6000,3.1500,3.2000,127086
2018-08-16,3.2800,3.3028,2.6300,2.8300,310443
2018-08-17,2.9200,3.1900,2.9047,3.0700,142714
2018-08-20,3.2100,3.2300,3.0100,3.1600,100007
2018-08-21,3.2600,3.3600,3.1141,3.1500,224401
2018-08-22,3.1400,3.2500,3.1400,3.1500,37426
2018-08-23,3.2000,3.2000,2.9500,3.0400,114996
2018-08-24,3.0000,3.1500,2.9810,3.1200,135150
2018-08-27,3.1500,3.5800,3.1500,3.4500,269044
2018-08-28,3.4800,3.5600,3.3900,3.5000,121856
2018-08-29,3.5300,3.5300,3.1300,3.3200,146235
2018-08-30,3.3000,3.3150,3.1600,3.3100,88702
2018-08-31,3.3700,3.4000,3.1300,3.3700,83834
2018-09-04,3.4000,3.4500,3.2510,3.4500,95148
2018-09-05,3.4500,3.4500,3.3000,3.3200,75187
2018-09-06,3.3200,3.3550,3.2000,3.3000,71387
2018-09-07,3.3600,3.3600,3.2200,3.2550,67256
2018-09-10,3.2300,3.7000,3.2300,3.7000,238149
2018-09-11,3.6500,4.0000,3.5910,3.9900,338065
2018-09-12,4.0900,4.2900,4.0200,4.1800,310825
2018-09-13,4.2500,4.3500,4.0800,4.3500,385291
2018-09-14,4.4200,4.7400,4.4000,4.6300,430593
2018-09-17,4.7000,4.7300,4.3100,4.5800,392746
2018-09-18,4.7000,4.9500,4.5910,4.9500,435025
2018-09-19,5.0500,5.3300,4.7700,4.8200,690535
2018-09-20,4.7800,5.1900,4.3500,4.9300,415840
2018-09-21,5.0600,5.1490,4.7300,4.7300,859909
2018-09-24,4.7500,4.8000,4.5000,4.5400,246258
2018-09-25,4.5300,4.5300,4.0600,4.0700,379303
2018-09-26,4.0500,4.2915,4.0500,4.1200,148858
2018-09-27,4.0800,4.2399,3.6000,3.9600,458608
2018-09-28,3.8400,3.9783,3.6600,3.6700,136684
2018-10-01,3.6700,3.8700,3.6700,3.8300,83756
2018-10-02,3.8000,3.9700,3.7500,3.9300,46491
2018-10-03,3.9000,4.1000,3.8184,4.0100,90106
2018-10-04,4.0100,4.1000,3.8100,3.8100,111626
2018-10-05,3.8900,3.9900,3.8100,3.9000,53408
2018-10-08,3.8800,3.9100,3.7600,3.8900,69870
2018-10-09,3.8900,3.9026,3.7700,3.8600,96591
2018-10-10,3.8300,3.9100,3.6500,3.7000,164839
2018-10-11,3.5500,3.6200,3.3900,3.4600,144421
2018-10-12,3.5000,3.9000,3.5000,3.8800,51085
2018-10-15,3.9100,3.9693,3.7000,3.8600,54323
2018-10-16,3.8800,3.8800,3.5200,3.6900,70889
2018-10-17,3.6900,3.9200,3.6900,3.8100,50175
2018-10-18,3.7800,4.0037,3.7700,3.9900,46903
2018-10-19,3.9600,3.9950,3.7100,3.9900,46241
2018-10-22,3.9600,4.2500,3.9600,4.0500,64949
2018-10-23,4.0100,4.0300,3.7300,3.9100,82672
2018-10-24,3.8000,3.9000,3.7500,3.8500,76619
2018-10-25,3.8100,3.8900,3.7700,3.8000,36727
2018-10-26,3.8300,3.9800,3.7700,3.9500,61450
2018-10-29,3.9000,3.9500,3.7507,3.7900,45985
2018-10-30,3.8100,3.9450,3.7600,3.9300,28676
2018-10-31,3.9800,3.9800,3.8800,3.9800,29938
2018-11-01,3.9900,4.0000,3.9100,4.0000,33646
2018-11-02,4.0200,4.4700,4.0200,4.2600,300812
2018-11-05,4.3700,4.4400,3.8900,3.8900,215000
2018-11-06,3.8200,3.9188,3.4000,3.5000,271203
2018-11-07,3.5400,3.8000,3.5000,3.6600,87266
2018-11-08,3.6000,3.6200,2.9401,3.5700,338533
2018-11-09,3.5700,3.8600,3.5400,3.8600,52850
2018-11-12,3.8000,3.9500,3.8000,3.8200,39018
2018-11-13,3.8600,4.0900,3.8195,3.8500,167014
2018-11-14,4.0000,4.0000,3.8000,3.8000,81506
2018-11-15,3.8100,3.8300,3.7500,3.7701,23684
2018-11-16,3.8300,3.8400,3.7500,3.7600,19550
2018-11-19,3.7500,4.0000,3.6200,3.8700,115272
2018-11-20,3.8800,3.8800,3.5100,3.6700,55169
2018-11-21,3.7000,3.7500,3.6500,3.6800,33566
2018-11-23,3.6500,3.8900,3.6500,3.8000,17187
2018-11-26,3.8100,3.8815,3.7101,3.7400,22441
2018-11-27,3.7200,3.7900,3.6300,3.6720,15776
2018-11-28,3.6700,3.7000,3.5500,3.6200,50872
2018-11-29,3.6200,3.6800,3.6200,3.6800,21782
2018-11-30,3.6800,3.6850,3.6300,3.6400,30286
2018-12-03,3.6500,3.6997,3.5101,3.6300,72222
2018-12-04,3.6700,3.8000,3.6000,3.6000,90439
2018-12-06,3.6200,3.7000,3.6000,3.6000,38132
2018-12-07,3.6400,3.6701,3.6200,3.6200,35891
2018-12-10,3.6100,3.6400,3.5100,3.5100,54693
2018-12-11,3.5900,3.6500,3.5100,3.5300,56819
2018-12-12,3.5000,3.6500,3.5000,3.5900,40056
2018-12-13,3.6000,3.6500,3.5000,3.5800,21156
2018-12-14,3.5200,3.6500,3.5000,3.5900,28687
2018-12-17,3.5000,3.5700,3.4400,3.4900,70860
2018-12-18,3.4900,3.5200,3.3000,3.3500,44554
2018-12-19,3.3500,3.4800,3.3500,3.4100,46911
2018-12-20,3.4700,3.4700,3.4000,3.4200,43102
2018-12-21,3.3900,3.4800,3.3300,3.4800,110346
2018-12-24,3.4600,3.4800,3.3500,3.3500,21728
2018-12-26,3.3300,3.4000,3.2700,3.2900,59510
2018-12-27,3.3300,3.3300,3.1500,3.2000,42494
2018-12-28,3.2300,3.4602,3.2300,3.3500,63058
2018-12-31,3.3990,3.5800,3.3950,3.5200,29498
2019-01-02,3.5500,3.6000,3.5300,3.5800,40387
2019-01-03,3.6100,3.6100,3.5201,3.5800,47165
2019-01-04,3.5700,3.5900,3.4600,3.5900,39404
2019-01-07,3.5900,3.5900,3.5300,3.5500,28140
2019-01-08,3.5800,3.5800,3.5100,3.5800,32189
2019-01-09,3.5800,3.5800,3.5200,3.5700,31750
2019-01-10,3.5600,3.5900,3.5210,3.5300,65173
2019-01-11,3.4500,3.6000,3.4500,3.5800,36852
2019-01-14,3.6000,3.6300,3.5614,3.5650,53352
2019-01-15,3.5900,3.6000,3.5101,3.5900,63502
2019-01-16,3.5700,3.6800,3.5210,3.6500,36260
2019-01-17,3.6200,4.0900,3.5600,3.9100,219870
2019-01-18,3.9500,4.2500,3.9500,4.1800,293106
2019-01-22,4.3000,4.3119,4.1000,4.1000,76584
2019-01-23,4.1100,4.3568,4.0600,4.2900,122250
2019-01-24,4.3500,4.3600,4.2500,4.3100,68111
2019-01-25,4.3800,4.6900,4.3600,4.5500,182729
2019-01-28,4.5900,4.9500,4.5500,4.8200,360554
2019-01-29,4.9200,4.9200,4.3200,4.5500,235852
2019-01-30,4.6500,4.7567,4.5700,4.6500,66759
2019-01-31,4.6700,4.6899,4.5000,4.5800,621789
2019-02-01,4.5100,4.7500,4.4400,4.7200,1274501
2019-02-04,4.4000,4.5900,4.2600,4.4600,214252
2019-02-05,4.5000,4.7400,4.5000,4.7100,289025
2019-02-06,4.7200,5.0000,4.7138,4.9200,221914
2019-02-07,5.0600,7.1800,5.0600,6.9500,3104566
2019-02-08,6.9800,7.1100,6.3200,7.1000,932400
2019-02-11,7.1000,7.8399,6.6600,7.6200,1113265
2019-02-12,7.8300,7.8300,6.7400,7.2500,841042
2019-02-13,7.2200,7.6200,7.1600,7.4200,330719
2019-02-14,7.5400,7.5400,6.9000,7.2300,542518
2019-02-15,7.2100,8.0000,7.0741,7.7600,470595
2019-02-19,7.9000,8.2100,7.7600,8.1400,528659
2019-02-20,8.1000,8.1355,7.1100,7.3400,534416
2019-02-21,7.4600,7.8700,7.4000,7.6400,152821
2019-02-22,7.6700,7.8000,7.3800,7.5000,139869
2019-02-25,7.5000,7.5600,7.2500,7.2500,147842
2019-02-26,7.2600,7.5800,7.2500,7.3200,172843
2019-02-27,7.2900,7.5950,7.2600,7.5100,114327
2019-02-28,7.5000,7.5226,7.2300,7.3600,59770
2019-03-01,7.3700,7.9500,7.3700,7.6100,217521
2019-03-04,7.9500,8.2900,7.8148,8.2900,486159
2019-03-05,8.3800,8.4900,8.0800,8.2500,260655
2019-03-06,8.2700,8.3500,8.0000,8.0100,150045
2019-03-07,7.9600,8.0100,7.6200,7.9500,160467
2019-03-08,7.8600,8.0100,7.6100,7.6700,187938
2019-03-11,7.7000,8.1000,7.6500,7.8300,274934
2019-03-12,7.9400,8.0100,6.7600,7.5000,587797
2019-03-13,7.6500,7.8500,7.5200,7.7000,210142
2019-03-14,7.7000,7.7500,7.4600,7.7100,99493
2019-03-15,7.7100,7.7100,7.0800,7.2400,429494
2019-03-18,7.2300,7.2500,7.0700,7.1600,212934
2019-03-19,7.1400,7.5500,7.1173,7.4400,150944
2019-03-20,7.4500,7.5000,7.0300,7.0900,154644
2019-03-21,7.0600,7.3800,6.8000,6.9100,329956
2019-03-22,6.8900,7.0600,6.8500,6.9800,182915
2019-03-25,6.9800,7.7100,6.9100,7.6700,575488
2019-03-26,7.8300,8.0000,7.6100,7.8300,381234
2019-03-27,7.8300,8.0900,7.7501,7.9300,408917
2019-03-28,7.9400,7.9650,7.6300,7.7600,249869
2019-03-29,7.7600,8.2500,7.7600,7.9500,1162261
2019-04-01,8.0100,8.0900,7.5400,7.9600,427040
2019-04-02,7.9600,7.9600,7.6300,7.7000,349391
2019-04-03,7.7100,7.8000,7.6800,7.7300,107159
2019-04-04,7.7100,7.8800,7.6800,7.8300,150786
2019-04-05,7.8500,7.8900,7.3400,7.5000,176103
2019-04-08,7.3500,7.4072,7.1500,7.1600,326674
2019-04-09,7.1400,7.4100,7.0500,7.3700,149166
2019-04-10,7.3700,7.8500,7.2900,7.7500,266242
2019-04-11,7.7400,7.8300,7.6100,7.7500,101986
2019-04-12,7.7700,7.9130,7.5750,7.7300,125391
2019-04-15,7.7500,7.8854,7.3500,7.5400,123792
2019-04-16,7.5200,7.7400,7.5200,7.6500,144313
2019-04-17,7.6200,8.9000,7.6000,8.8300,1542743
2019-04-18,8.8000,8.9500,8.0400,8.2400,805296
2019-04-22,8.2600,8.5700,7.9600,8.3400,322996
2019-04-23,8.3400,8.8900,8.3000,8.6800,319212
