"MacroTrends Data Download"
"PCSB - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2017-04-21,15.1185,15.9222,15.0802,15.7500,4725234
2017-04-24,15.7883,16.0753,15.7883,15.8266,391809
2017-04-25,16.0275,16.0275,15.7404,15.7883,237964
2017-04-26,15.7883,15.7979,15.5491,15.6448,387919
2017-04-27,15.6448,15.6448,15.5012,15.5395,294228
2017-04-28,15.4438,15.6448,15.4151,15.6065,281206
2017-05-01,15.6065,15.6065,15.4124,15.5778,216462
2017-05-02,15.5586,15.6448,15.5491,15.6161,290136
2017-05-03,15.5491,15.6161,15.5491,15.5778,238063
2017-05-04,15.5969,15.6830,15.5778,15.6352,201345
2017-05-05,15.6448,15.7787,15.5491,15.7500,183411
2017-05-08,15.7787,15.8840,15.7500,15.8553,209676
2017-05-09,15.8840,15.9222,15.7022,15.7787,100336
2017-05-10,15.7787,15.8361,15.6543,15.6926,59274
2017-05-11,15.6926,15.7692,15.5969,15.7213,100674
2017-05-12,15.6926,15.8744,15.6926,15.8648,52481
2017-05-15,15.7883,15.7883,15.3099,15.7022,89138
2017-05-16,15.7309,15.8744,15.6936,15.7596,135375
2017-05-17,15.7596,15.7596,15.5012,15.5491,107115
2017-05-18,15.7022,15.7022,15.4725,15.5682,42048
2017-05-19,15.5682,15.7883,15.5299,15.6543,205792
2017-05-22,15.7309,15.7309,15.6161,15.6543,107027
2017-05-23,15.7500,15.7500,15.6266,15.7213,67061
2017-05-24,15.7692,15.8553,15.7404,15.8457,141121
2017-05-25,15.8553,16.0179,15.8457,16.0084,121028
2017-05-26,16.0179,16.0179,15.8935,15.9318,64860
2017-05-30,15.8840,15.9701,15.7117,15.9127,115009
2017-05-31,15.9222,15.9797,15.7117,15.9127,71019
2017-06-01,15.9159,16.1232,15.8553,16.0753,120787
2017-06-02,16.0275,16.2667,15.9892,16.2667,144926
2017-06-05,16.2667,16.3050,16.1902,16.2859,112621
2017-06-06,16.2189,16.3050,16.1902,16.2667,93047
2017-06-07,16.2667,16.4103,16.2572,16.3624,97190
2017-06-08,16.2763,16.4390,16.2763,16.2954,134530
2017-06-09,16.4007,16.6973,16.3030,16.5921,156526
2017-06-12,16.6016,16.8408,16.6016,16.8313,193739
2017-06-13,16.8313,17.1375,16.7930,17.0896,218036
2017-06-14,17.1757,17.1757,16.9461,17.0992,210517
2017-06-15,17.0705,17.0801,17.0226,17.0514,132033
2017-06-16,17.0514,17.1279,17.0131,17.1088,962696
2017-06-19,17.1088,17.1757,16.8791,17.1375,160888
2017-06-20,17.0514,17.1566,16.9174,16.9557,107578
2017-06-21,16.9652,17.0322,16.6016,16.6208,67064
2017-06-22,16.5155,16.5825,15.8648,15.9318,269828
2017-06-23,16.0084,16.4581,15.8648,16.3241,2380878
2017-06-26,16.2284,16.7452,16.2045,16.6973,290501
2017-06-27,16.6112,16.8026,16.6112,16.7260,83562
2017-06-28,16.7452,16.7452,16.4485,16.7069,122527
2017-06-29,16.7356,16.7595,16.5059,16.6208,76295
2017-06-30,16.6877,16.6877,16.3050,16.3241,61654
2017-07-03,16.4093,16.4581,16.1615,16.3911,48630
