"MacroTrends Data Download"
"PNC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1988-09-07,6.7912,6.8098,6.7510,6.7912,3737000
1988-09-08,6.8098,6.8098,6.7510,6.7711,1363600
1988-09-09,6.7912,6.8098,6.7510,6.7912,1143200
1988-09-12,6.8283,6.8283,6.7510,6.7912,57600
1988-09-13,6.7510,6.7510,6.6550,6.7138,242400
1988-09-14,6.7138,6.7324,6.6163,6.6550,201400
1988-09-15,6.6550,6.6937,6.5776,6.6550,235800
1988-09-16,6.5776,6.7138,6.5776,6.7138,323800
1988-09-19,6.6937,6.7138,6.6364,6.6937,57000
1988-09-20,6.6937,6.7510,6.6937,6.7324,70600
1988-09-21,6.7324,6.7324,6.6736,6.6736,239800
1988-09-22,6.6163,6.6364,6.5776,6.6364,164800
1988-09-23,6.6550,6.7138,6.6163,6.6550,101800
1988-09-26,6.6364,6.7324,6.6163,6.6364,136800
1988-09-27,6.6736,6.6937,6.6364,6.6736,128600
1988-09-28,6.6550,6.6937,6.6364,6.6550,153600
1988-09-29,6.6937,6.7510,6.6937,6.7138,240400
1988-09-30,6.7510,6.8098,6.6937,6.6937,309600
1988-10-03,6.7711,6.7711,6.6937,6.7324,155200
1988-10-04,6.7711,6.7711,6.6736,6.6736,115000
1988-10-05,6.6937,6.6937,6.6364,6.6736,185800
1988-10-06,6.6550,6.6736,6.6163,6.6163,59000
1988-10-07,6.6364,6.7510,6.5776,6.7510,313400
1988-10-10,6.7711,6.7711,6.7138,6.7510,50200
1988-10-11,6.7510,6.7510,6.6937,6.7324,195600
1988-10-12,6.7324,6.7324,6.5591,6.7138,148800
