"MacroTrends Data Download"
"PRA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1991-09-04,1.4987,1.6890,1.4987,1.4987,1917200
1991-09-05,1.4987,1.5679,1.4987,1.4987,1051600
1991-09-06,1.4987,1.5218,1.4526,1.4526,782800
1991-09-09,1.4526,1.5333,1.4526,1.4526,74400
1991-09-10,1.4526,1.5218,1.4526,1.5218,214800
1991-09-11,1.5218,1.5218,1.4526,1.5218,38800
1991-09-12,1.5218,1.5449,1.4757,1.5449,172800
1991-09-13,1.5449,1.5449,1.5449,1.5449,0
1991-09-16,1.5449,1.5449,1.5449,1.5449,0
1991-09-17,1.5449,1.5679,1.4987,1.4987,9200
1991-09-18,1.5218,1.5679,1.5218,1.5218,15600
1991-09-19,1.4987,1.4987,1.4987,1.4987,400
1991-09-20,1.4987,1.4987,1.4987,1.4987,3600
1991-09-23,1.4987,1.5679,1.4987,1.5449,30000
1991-09-24,1.5449,1.5564,1.4987,1.5218,250800
1991-09-25,1.5218,1.5564,1.4987,1.5564,270000
1991-09-26,1.5564,1.5679,1.4757,1.4757,278800
1991-09-27,1.5103,1.5449,1.5103,1.5449,95200
1991-09-30,1.5449,1.5449,1.5449,1.5449,0
1991-10-01,1.5333,1.5333,1.4757,1.4757,202800
1991-10-02,1.4757,1.5218,1.4757,1.5218,56000
1991-10-03,1.4987,1.4987,1.4987,1.4987,7200
1991-10-04,1.4987,1.4987,1.4987,1.4987,15600
1991-10-07,1.5449,1.5449,1.5449,1.5449,2800
1991-10-08,1.5333,1.5333,1.4987,1.5333,58000
1991-10-09,1.5333,1.5449,1.4526,1.4872,694000
1991-10-10,1.4757,1.4757,1.4526,1.4526,66000
1991-10-11,1.4757,1.4872,1.4757,1.4872,62800
1991-10-14,1.4872,1.5218,1.4757,1.5218,128000
1991-10-15,1.5218,1.5218,1.5218,1.5218,0
1991-10-16,1.4987,1.4987,1.4526,1.4757,378400
1991-10-17,1.4757,1.4987,1.4526,1.4642,474400
1991-10-18,1.5218,1.5218,1.5218,1.5218,400
1991-10-21,1.5218,1.5218,1.4526,1.4526,90000
1991-10-22,1.4526,1.4987,1.4526,1.4526,67200
1991-10-23,1.4526,1.4757,1.4526,1.4642,207200
1991-10-24,1.4642,1.4987,1.4526,1.4987,50400
1991-10-25,1.4987,1.4987,1.4757,1.4987,66000
1991-10-28,1.4757,1.4757,1.4526,1.4757,72400
1991-10-29,1.4526,1.4526,1.4526,1.4526,23600
1991-10-30,1.4526,1.4526,1.4526,1.4526,32800
1991-10-31,1.4526,1.5218,1.4526,1.5218,116400
1991-11-01,1.4987,1.4987,1.4526,1.4987,78800
1991-11-04,1.4987,1.4987,1.4987,1.4987,0
1991-11-05,1.4987,1.4987,1.4987,1.4987,0
1991-11-06,1.4987,1.5218,1.4526,1.5218,92000
1991-11-07,1.5218,1.5679,1.4757,1.5679,163200
1991-11-08,1.5679,1.6198,1.5218,1.6198,104000
1991-11-11,1.6198,1.6428,1.5449,1.6198,10000
1991-11-12,1.6428,1.6428,1.6428,1.6428,25600
1991-11-13,1.6198,1.6198,1.5449,1.6198,518000
1991-11-14,1.6198,1.6428,1.5967,1.6198,105200
1991-11-15,1.6198,1.6428,1.5449,1.6313,150000
1991-11-18,1.6313,1.6313,1.5679,1.6313,158000
1991-11-19,1.6313,1.6428,1.5967,1.5967,36400
1991-11-20,1.5967,1.6428,1.5679,1.5679,255200
1991-11-21,1.5967,1.6428,1.5967,1.6428,200400
1991-11-22,1.5967,1.5967,1.5679,1.5679,54800
1991-11-25,1.5679,1.5679,1.5679,1.5679,0
1991-11-26,1.5679,1.5679,1.5449,1.5679,78000
1991-11-27,1.5679,1.5679,1.5679,1.5679,0
1991-11-29,1.5679,1.5679,1.5679,1.5679,0
1991-12-02,1.5449,1.5449,1.4987,1.5449,61600
1991-12-03,1.5449,1.5449,1.4987,1.5449,548000
1991-12-04,1.4987,1.4987,1.4987,1.4987,20800
1991-12-05,1.4987,1.5449,1.4987,1.5449,107200
1991-12-06,1.5449,1.5449,1.4987,1.4987,85600
1991-12-09,1.4987,1.5679,1.4757,1.4757,128400
1991-12-10,1.4757,1.4757,1.4526,1.4757,20000
1991-12-11,1.4526,1.4526,1.4526,1.4526,7200
1991-12-12,1.4526,1.4872,1.4526,1.4526,82000
1991-12-13,1.4526,1.4526,1.4526,1.4526,11600
1991-12-16,1.4526,1.4526,1.4526,1.4526,0
1991-12-17,1.4526,1.4526,1.4353,1.4353,44000
1991-12-18,1.4123,1.4123,1.4123,1.4123,7200
1991-12-19,1.4123,1.4238,1.4123,1.4238,25200
1991-12-20,1.4238,1.4757,1.4123,1.4642,347600
1991-12-23,1.4757,1.4757,1.4757,1.4757,11600
1991-12-24,1.4757,1.4757,1.4353,1.4757,1200
1991-12-26,1.4757,1.5218,1.4526,1.5218,59200
1991-12-27,1.5218,1.5449,1.4526,1.4526,52800
1991-12-30,1.5449,1.6198,1.5449,1.5679,280000
1991-12-31,1.5679,1.6198,1.4987,1.4987,110800
1992-01-02,1.4987,1.4987,1.3892,1.4238,838800
1992-01-03,1.4238,1.5103,1.4123,1.5103,1188400
1992-01-06,1.5103,1.5967,1.4757,1.5967,289600
1992-01-07,1.5967,1.6198,1.5449,1.5564,1027600
1992-01-08,1.5564,1.6198,1.5449,1.5449,1179200
1992-01-09,1.5449,1.6198,1.4987,1.5967,2868400
1992-01-10,1.5967,1.6659,1.5449,1.6428,880000
1992-01-13,1.6428,1.7985,1.5967,1.7985,742000
1992-01-14,1.7985,1.7985,1.7120,1.7120,509600
1992-01-15,1.7120,1.7985,1.7120,1.7754,290800
1992-01-16,1.7754,1.7985,1.7120,1.7120,774000
1992-01-17,1.7120,1.7985,1.7120,1.7120,536800
1992-01-20,1.7120,1.7754,1.7120,1.7754,98400
1992-01-21,1.7524,1.7524,1.7120,1.7120,536000
1992-01-22,1.7120,1.7524,1.7120,1.7293,339200
1992-01-23,1.7293,1.7293,1.7120,1.7120,91200
1992-01-24,1.7120,1.7524,1.6890,1.6890,166400
1992-01-27,1.6890,1.7524,1.6659,1.7524,288000
1992-01-28,1.7524,1.7524,1.6890,1.7293,190400
1992-01-29,1.7120,1.7120,1.6659,1.6659,175200
1992-01-30,1.6659,1.7120,1.6659,1.6890,82000
1992-01-31,1.6890,1.7293,1.6659,1.6659,90000
1992-02-03,1.6659,1.7293,1.6659,1.6659,244800
1992-02-04,1.6659,1.7293,1.6659,1.6659,498400
1992-02-05,1.6659,1.7293,1.6659,1.6659,873200
1992-02-06,1.6659,1.7524,1.6659,1.6659,24400
1992-02-07,1.6659,1.7524,1.6659,1.7524,274800
1992-02-10,1.7293,1.7293,1.6544,1.7293,702800
1992-02-11,1.7120,1.7120,1.6198,1.6198,344800
1992-02-12,1.6198,1.6890,1.5967,1.6198,138000
1992-02-13,1.6198,1.6890,1.6198,1.6659,201200
1992-02-14,1.6659,1.6890,1.6428,1.6428,70400
1992-02-18,1.6428,1.7120,1.6428,1.6890,310400
1992-02-19,1.6890,1.6890,1.6428,1.6890,223600
1992-02-20,1.6890,1.7120,1.6428,1.6428,68400
1992-02-21,1.6428,1.6890,1.6428,1.6428,54800
1992-02-24,1.6428,1.7120,1.6428,1.7120,49600
1992-02-25,1.6659,1.6659,1.6428,1.6428,174400
1992-02-26,1.6428,1.7120,1.6198,1.6198,30000
1992-02-27,1.6198,1.7120,1.6198,1.6890,918400
1992-02-28,1.6659,1.6659,1.6428,1.6659,165600
1992-03-02,1.6659,1.7120,1.6428,1.7120,52800
1992-03-03,1.6890,1.6890,1.6428,1.6428,195600
1992-03-04,1.6428,1.6659,1.6198,1.6544,286800
1992-03-05,1.6544,1.6659,1.5967,1.5967,135600
1992-03-06,1.5967,1.6659,1.5967,1.6313,66800
