"MacroTrends Data Download"
"PRG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-12-01,56.6700,57.9000,54.0000,55.6000,1254491
2020-12-02,56.5600,59.9000,56.3900,59.4500,1147551
2020-12-03,59.2500,60.1100,58.0000,58.6600,1218984
2020-12-04,59.1800,59.2550,55.5000,57.2300,1222216
2020-12-07,56.7600,58.6300,56.5100,57.2000,1043402
2020-12-08,56.2900,57.6800,54.3183,55.4300,938507
2020-12-09,55.9400,56.8900,52.0000,53.9800,1370668
2020-12-10,53.7600,54.3100,51.8300,52.2900,922035
2020-12-11,50.6400,53.4700,50.6400,51.9800,752818
2020-12-14,52.2700,53.1900,50.6900,51.2500,951880
2020-12-15,51.8000,53.7600,51.2400,53.2300,1103522
2020-12-16,53.4600,53.7000,51.8300,51.9900,664635
2020-12-17,52.0000,53.1400,51.0500,52.4100,819436
2020-12-18,52.9500,58.5000,52.6500,56.9000,3201165
2020-12-21,56.0100,58.9700,55.9100,57.3300,1983337
2020-12-22,57.8300,58.5300,53.7450,54.0500,911713
2020-12-23,54.0900,54.8000,53.3357,54.0900,502163
2020-12-24,54.8600,54.8600,53.3300,54.0100,140186
2020-12-28,54.2000,55.5100,54.2000,54.5000,474895
2020-12-29,54.9900,55.6500,54.0300,54.5700,579246
2020-12-30,54.5900,55.4700,53.5100,54.0000,392019
2020-12-31,53.9800,54.7400,53.2900,53.8700,641190
2021-01-04,54.2200,54.4400,50.9500,51.8600,861521
2021-01-05,52.1100,52.6900,51.4900,52.4600,588595
2021-01-06,53.4600,55.4300,53.2000,55.0000,681182
2021-01-07,54.6600,55.1300,53.0200,53.1000,401183
2021-01-08,52.9800,54.9400,52.4100,52.6300,538622
2021-01-11,51.6600,53.7000,51.5301,53.2000,396514
2021-01-12,53.3200,55.1000,53.0700,54.5100,624823
2021-01-13,55.0600,56.8000,54.7904,55.8200,727287
2021-01-14,56.0700,59.2400,55.8200,58.2500,772214
2021-01-15,57.6300,60.5000,57.2750,58.6200,694707
2021-01-19,59.7000,59.8200,54.9500,55.0900,1012975
2021-01-20,55.0000,55.3300,54.3000,54.8400,645065
2021-01-21,54.9700,54.9700,52.8600,52.9000,718099
2021-01-22,52.1400,52.9100,50.5600,50.8200,658618
2021-01-25,50.2000,51.2700,48.9800,49.6000,631340
