"MacroTrends Data Download"
"PRK - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1991-05-08,6.0081,6.0081,6.0081,6.0081,400
1991-05-09,6.0081,6.0081,6.0081,6.0081,0
1991-05-10,6.0081,6.0081,6.0081,6.0081,0
1991-05-13,6.0081,6.0081,6.0081,6.0081,0
1991-05-14,6.3884,6.8447,6.3884,6.6926,5600
1991-05-15,6.6926,6.9968,6.6926,6.9968,1200
1991-05-16,7.1489,7.6052,7.0728,7.2249,10900
1991-05-17,7.0728,7.4531,6.8447,6.8447,4600
1991-05-20,6.8907,6.8907,6.8141,6.8141,3200
1991-05-21,7.1969,7.1969,6.7758,6.7758,600
1991-05-22,7.1969,7.1969,7.1969,7.1969,400
1991-05-23,6.7375,7.1204,6.2782,6.8907,7400
1991-05-24,6.8907,6.8907,6.8907,6.8907,0
1991-05-28,6.8907,6.8907,6.8907,6.8907,400
1991-05-29,6.8907,6.8907,6.4313,6.8907,1200
1991-05-30,6.8907,6.8907,6.8907,6.8907,0
1991-05-31,6.8907,6.8907,6.8907,6.8907,0
1991-06-03,6.8907,6.8907,6.8907,6.8907,0
1991-06-04,6.8907,6.8907,6.8907,6.8907,0
1991-06-05,6.5844,6.8907,6.5844,6.8907,1200
1991-06-06,6.4313,6.4313,6.4313,6.4313,200
1991-06-07,6.2782,6.2782,6.2782,6.2782,200
1991-06-10,6.2782,6.2782,6.2782,6.2782,0
1991-06-11,6.7375,6.7375,6.7375,6.7375,200
1991-06-12,6.4313,6.4313,6.4313,6.4313,800
1991-06-13,6.4313,6.4313,6.4313,6.4313,0
1991-06-14,6.8907,6.8907,6.8907,6.8907,1200
1991-06-17,6.4313,6.4313,6.4313,6.4313,200
1991-06-18,6.4313,6.4313,6.4313,6.4313,0
1991-06-19,6.4313,6.4313,6.4313,6.4313,0
1991-06-20,6.5844,6.5844,6.4313,6.4313,6000
1991-06-21,6.4313,6.4313,6.4313,6.4313,400
1991-06-24,6.4313,6.4313,6.4313,6.4313,0
1991-06-25,6.4313,6.5844,6.4313,6.5844,1400
1991-06-26,6.5844,6.5844,6.5844,6.5844,0
1991-06-27,6.5844,6.5844,6.5844,6.5844,0
1991-06-28,6.5844,6.5844,6.5844,6.5844,0
1991-07-01,6.5844,6.5844,6.5844,6.5844,0
1991-07-02,6.2782,6.2782,6.2782,6.2782,800
1991-07-03,6.8907,6.8907,6.8907,6.8907,200
