"MacroTrends Data Download"
"PROV - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-06-28,3.0330,3.0330,2.9310,3.0247,3397001
1996-07-01,3.0330,3.0661,2.9972,3.0330,1169199
1996-07-02,3.0330,3.0330,2.9641,2.9641,1001700
1996-07-03,2.9641,3.0330,2.9641,3.0330,670201
1996-07-05,2.9972,2.9972,2.9641,2.9806,146700
1996-07-08,2.8951,2.9972,2.8951,2.9310,138101
1996-07-09,2.8951,2.9972,2.8951,2.9117,243000
1996-07-10,2.9117,2.9310,2.8951,2.8951,1251601
1996-07-11,2.9117,2.9310,2.8593,2.8593,172899
1996-07-12,2.9310,2.9310,2.8593,2.8951,278701
1996-07-15,2.9310,2.9310,2.8262,2.8593,31001
1996-07-16,2.8593,2.8951,2.8262,2.8593,390699
1996-07-17,2.8428,2.8951,2.8262,2.8951,204399
1996-07-18,2.8593,2.8951,2.8593,2.8786,263201
1996-07-19,2.8786,2.8951,2.8593,2.8593,461401
1996-07-22,2.8593,2.9310,2.8593,2.8593,221801
1996-07-23,2.8951,2.8951,2.8262,2.8262,306601
1996-07-24,2.8262,2.8428,2.7904,2.8124,200799
1996-07-25,2.8593,2.8593,2.7904,2.7904,70801
1996-07-26,2.7904,2.8262,2.7904,2.7904,39101
1996-07-29,2.8262,2.8262,2.7904,2.7904,121500
1996-07-30,2.8097,2.8951,2.8097,2.8951,602199
1996-07-31,2.8593,2.9282,2.8593,2.8951,631899
1996-08-01,2.9985,3.0675,2.9985,3.0330,220599
1996-08-02,3.0330,3.0330,2.9641,2.9641,403801
1996-08-05,2.9985,2.9985,2.9641,2.9813,324601
1996-08-06,2.9972,3.0330,2.9641,3.0330,300699
1996-08-07,3.0330,3.0330,2.9282,2.9641,161199
1996-08-08,2.9296,2.9985,2.8951,2.9296,60399
1996-08-09,2.8951,2.9985,2.8951,2.9124,124200
1996-08-12,2.9296,2.9296,2.8607,2.8951,33001
1996-08-13,2.9475,2.9641,2.9282,2.9475,18900
1996-08-14,2.9641,2.9972,2.9475,2.9806,320101
1996-08-15,2.8951,2.9296,2.8262,2.8607,145800
1996-08-16,2.8607,2.8951,2.8262,2.8607,142299
1996-08-19,2.8779,2.8951,2.8607,2.8607,125701
1996-08-20,2.9972,3.0247,2.9972,2.9972,255699
1996-08-21,2.9972,3.0330,2.9972,3.0330,72000
1996-08-22,2.8607,2.9296,2.8607,2.8607,14499
1996-08-23,2.8951,2.8951,2.8262,2.8262,22599
1996-08-26,2.7917,2.8262,2.7917,2.7917,40599
1996-08-27,3.0165,3.0661,2.9972,3.0330,430801
