"MacroTrends Data Download"
"PX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-10-21,11.9615,12.6382,11.2152,12.0212,6069469
2021-10-22,11.9416,12.0411,11.6530,11.9416,851660
2021-10-25,11.9516,12.6282,11.9416,12.4392,1118991
2021-10-26,12.4392,12.6382,11.9516,12.4292,682201
2021-10-27,12.2899,13.0910,12.1705,12.2899,330073
2021-10-28,12.3596,12.5184,12.0411,12.1506,331366
2021-10-29,12.0610,12.6581,12.0411,12.4392,384727
2021-11-01,12.3297,12.6581,11.9416,12.0909,491592
2021-11-02,11.9914,12.4193,11.9914,12.2600,93406
2021-11-03,12.1207,12.5884,12.0113,12.1904,191532
2021-11-04,11.9914,12.4392,11.9914,12.3596,121638
2021-11-05,12.1605,12.5387,12.1605,12.4392,85776
2021-11-08,12.2999,12.5387,12.1904,12.4292,267076
2021-11-09,12.2600,12.5387,12.2501,12.5088,209437
2021-11-10,12.2999,12.7276,12.2999,12.4889,334646
2021-11-11,12.2501,12.6880,12.0710,12.5884,167049
2021-11-12,12.5685,13.9319,12.5685,13.3845,563233
2021-11-15,13.7826,14.5986,13.6234,13.9219,389707
2021-11-16,13.9219,14.4094,13.7926,13.8921,283990
2021-11-17,13.9418,14.2035,13.7328,13.8921,209153
2021-11-18,13.8622,14.3200,13.4045,13.9617,372551
2021-11-19,13.8423,14.1757,13.5438,13.8821,176875
2021-11-22,14.6086,14.8772,13.8523,13.8622,329282
2021-11-23,13.8324,13.8324,12.8372,13.1656,449797
2021-11-24,13.0363,13.4642,13.0363,13.4343,75619
2021-11-26,13.2552,13.3049,13.0626,13.2054,31734
2021-11-29,13.3447,13.3447,12.8671,13.1059,274798
2021-11-30,13.1557,13.7328,12.9865,13.7030,334637
2021-12-01,13.8125,14.2304,13.7926,13.9518,298614
2021-12-02,14.1110,14.3100,13.8423,14.2802,472134
2021-12-03,14.3299,14.5290,14.1428,14.2802,365813
2021-12-06,14.4294,14.8275,14.0314,14.4294,416603
2021-12-07,14.4394,15.2221,14.4394,14.9370,228214
2021-12-08,14.9370,14.9565,14.1609,14.6583,188563
2021-12-09,14.4692,14.7749,13.7926,14.3100,145450
2021-12-10,14.3797,14.5290,13.5239,13.9617,145046
2021-12-13,13.9219,14.1208,12.9964,13.4244,174577
2021-12-14,13.1756,13.6333,12.9666,13.1855,161400
2021-12-15,13.1955,13.8523,13.0462,13.3646,461406
2021-12-16,13.3547,13.6234,12.9566,12.9666,570557
2021-12-17,12.8969,13.4741,12.2700,12.6481,1412558
2021-12-20,12.1008,12.6581,12.0809,12.0809,643498
2021-12-21,12.1406,12.4790,12.0312,12.2401,517618
2021-12-22,12.2202,12.4989,12.2202,12.3596,194715
2021-12-23,12.3695,12.7377,12.3397,12.5387,228556
2021-12-27,12.6282,12.8571,12.4392,12.5884,91413
2021-12-28,12.5486,12.7676,12.5486,12.6780,189729
2021-12-29,12.6979,13.2850,12.4690,13.0860,193274
2021-12-30,13.1159,13.5438,13.0064,13.4741,169042
2021-12-31,13.4841,13.9617,13.4841,13.9120,130739
2022-01-03,14.0413,14.1209,13.3248,13.6035,174837
2022-01-04,13.6035,13.6134,13.0562,13.3646,253903
2022-01-05,13.2950,13.5338,12.9367,13.1358,132245
2022-01-06,13.0860,13.2702,12.7477,13.0064,122143
2022-01-07,12.9964,13.1358,12.8472,13.0363,65319
2022-01-10,13.0064,13.0064,12.5785,12.6780,220914
2022-01-11,12.6083,13.0761,12.6083,12.9367,86095
2022-01-12,12.9964,13.3746,12.7477,13.0860,156761
2022-01-13,13.0960,13.6134,12.8870,13.4343,162864
2022-01-14,13.3248,13.4045,12.9367,13.2353,114669
2022-01-18,13.0562,13.2054,12.7079,12.7377,68181
2022-01-19,12.7775,13.1222,12.6382,12.6581,60216
2022-01-20,12.7676,12.7775,12.5387,12.5685,67253
2022-01-21,12.4889,12.6183,12.1804,12.1904,300324
2022-01-24,12.0411,12.3277,11.9715,12.0411,193917
2022-01-25,11.9416,12.0909,11.7326,11.9615,283409
2022-01-26,12.0411,12.1081,11.5236,11.6132,182831
2022-01-27,11.7326,11.8122,11.3744,11.6530,125682
2022-01-28,11.6530,11.8097,11.3843,11.7326,188596
2022-01-31,12.0610,12.0909,11.8421,12.0212,259187
2022-02-01,12.0610,12.5685,11.7923,12.5088,238059
2022-02-02,12.6581,12.7576,12.2799,12.6382,151663
2022-02-03,12.5387,12.6382,12.3994,12.4491,138773
2022-02-04,12.4889,12.7395,12.3820,12.5984,181326
2022-02-07,12.6581,12.7595,12.4292,12.5387,202026
2022-02-08,12.5387,12.6880,12.4591,12.4889,126743
2022-02-09,12.5685,12.6183,12.4093,12.5088,127672
2022-02-10,12.4392,12.5785,12.3596,12.4392,131026
2022-02-11,12.4392,12.5486,12.3098,12.4690,160079
2022-02-14,12.4989,12.5387,12.0710,12.1506,107897
2022-02-15,12.2501,12.6880,12.2315,12.6880,82255
2022-02-16,12.6581,13.4940,12.6382,13.2452,81454
2022-02-17,13.2154,13.3547,12.9865,12.9865,107664
2022-02-18,13.0064,13.0363,12.7178,12.7576,82149
2022-02-22,12.5984,12.6780,11.9317,12.2003,125038
2022-02-23,12.2999,12.7974,12.1406,12.5486,146817
