"MacroTrends Data Download"
"RBCAA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1998-07-22,7.2004,8.1338,7.0670,8.0004,1380100
1998-07-23,8.1338,8.4004,8.0004,8.0698,283100
1998-07-24,8.2031,8.2671,8.1338,8.2351,194900
1998-07-27,8.2671,8.8005,8.2031,8.6991,164100
1998-07-28,8.7365,8.8698,8.6031,8.7685,70900
1998-07-29,8.8005,8.8005,8.2671,8.2991,66300
1998-07-30,8.4324,8.4324,8.0004,8.2031,47600
1998-07-31,8.2671,8.4324,8.0004,8.2031,58300
1998-08-03,8.1658,8.2031,7.8031,7.8671,49400
1998-08-04,8.0004,8.0698,7.8671,7.9364,46800
1998-08-05,7.8671,8.0698,7.7337,8.0004,32600
1998-08-06,8.0698,8.2671,7.9684,8.2671,72000
1998-08-07,8.0698,8.6031,8.0698,8.6031,70600
1998-08-10,8.6031,8.6351,8.4698,8.5018,30600
1998-08-11,8.4004,8.4004,8.0698,8.2671,42500
1998-08-12,8.4004,8.4004,8.0698,8.3364,16500
1998-08-13,8.5338,8.5338,8.4324,8.5338,24500
1998-08-14,8.4324,8.5338,8.2991,8.4698,15900
1998-08-17,8.4004,8.4004,8.2031,8.3364,14100
1998-08-18,8.2671,8.4004,8.2671,8.3364,10300
1998-08-19,8.2351,8.3364,8.0324,8.1658,9600
1998-08-20,8.1658,8.1658,8.0004,8.0698,6200
1998-08-21,8.0004,8.2031,7.8031,7.9364,9200
1998-08-24,7.9364,7.9364,7.4031,7.4031,30500
1998-08-25,7.4671,7.5364,7.4031,7.4671,36900
1998-08-26,7.4991,7.6697,7.2004,7.3337,51400
1998-08-27,7.3337,7.3337,7.2004,7.2697,41300
1998-08-28,7.4671,7.6004,7.2697,7.4031,20500
1998-08-31,7.2697,7.4671,7.2004,7.2004,13000
1998-09-01,7.2004,7.4351,6.8004,7.0030,53800
1998-09-02,6.9337,7.5364,6.9337,7.4031,20800
1998-09-03,7.2004,7.3337,7.0670,7.2697,25600
1998-09-04,7.2004,7.4031,7.2004,7.3337,17200
1998-09-08,7.3337,7.3337,7.1364,7.2004,8500
1998-09-09,7.3337,7.3337,7.0670,7.2004,8800
1998-09-10,7.0670,7.2004,7.0030,7.0670,7100
1998-09-11,7.1364,7.1364,7.0030,7.0030,1400
1998-09-14,7.6697,7.6697,6.6670,7.0670,93700
1998-09-15,7.0670,7.0670,6.9337,7.0670,4800
1998-09-16,7.0670,7.0670,6.7364,6.7364,21100
1998-09-17,6.8697,7.4031,6.6670,7.0670,8100
1998-09-18,7.2155,7.2155,7.0177,7.0177,3900
1998-09-21,7.0818,7.2155,7.0818,7.2155,9200
1998-09-22,7.4186,7.7499,7.3491,7.4186,12700
1998-09-23,7.3491,7.4827,7.2155,7.4827,14300
1998-09-24,7.4186,7.4186,7.2849,7.4186,9600
1998-09-25,7.2155,7.4186,7.2155,7.2849,23400
1998-09-28,7.2155,7.2849,7.0818,7.1513,6000
1998-09-29,7.2849,7.2849,6.9482,6.9482,10300
1998-09-30,7.0818,7.1513,6.9482,7.1513,31600
