"MacroTrends Data Download"
"RGA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2008-09-12,40.0741,40.3146,37.6697,38.4311,5543600
2008-09-15,37.6777,38.0704,36.6678,37.1407,541000
2008-09-16,36.2671,37.5094,35.9705,36.8682,228900
2008-09-17,37.2689,37.2689,33.9348,35.5297,1120800
2008-09-18,36.0667,36.8682,34.6641,36.6278,480400
2008-09-19,39.2727,39.2727,37.1167,39.0082,1111700
2008-09-22,38.8719,40.9558,37.1808,37.6697,707200
2008-09-23,37.6697,38.4712,36.8361,37.6697,1428300
2008-09-24,36.3392,38.0624,36.1869,36.8762,942600
2008-09-25,36.8682,37.6296,36.3312,37.1567,692600
2008-09-26,35.0569,37.3651,35.0569,36.8121,757000
2008-09-29,36.3873,36.5636,34.4317,36.3392,414200
2008-09-30,36.4274,38.0704,35.7862,38.0063,376300
2008-10-01,36.2030,38.8719,35.2652,36.1068,461500
2008-10-02,35.8664,36.8682,34.4718,36.0908,453000
2008-10-03,36.0667,39.2727,36.0667,38.8719,1397900
2008-10-06,35.9305,40.0661,35.9305,39.8738,1712200
2008-10-07,39.0723,39.7055,37.6697,37.6697,1231900
2008-10-08,37.6697,37.6777,32.8207,34.4237,702800
2008-10-09,34.4878,34.4878,24.9502,27.3306,878400
2008-10-10,27.1462,27.2504,20.4779,24.6055,1134300
2008-10-13,26.6172,27.9637,26.2486,27.9637,383300
2008-10-14,29.5507,30.4563,28.6530,29.7030,321800
2008-10-15,28.3725,30.0716,27.9717,27.9717,363900
2008-10-16,28.0519,28.6530,25.0944,26.4489,334900
2008-10-17,26.4489,26.5611,25.2868,25.7196,537500
2008-10-20,24.0445,26.2325,24.0445,26.2325,636700
2008-10-21,25.6474,27.9317,25.4872,27.9317,180500
2008-10-22,27.9156,27.9156,26.1283,27.3706,202100
2008-10-23,27.3706,27.3787,25.0383,25.6875,335700
2008-10-24,32.9490,32.9490,24.8460,28.0439,244500
2008-10-27,27.8034,27.8916,26.2165,26.4169,373200
2008-10-28,29.6549,29.6709,27.5710,29.3022,535400
2008-10-29,26.8817,40.0741,24.2208,26.7375,1125300
2008-10-30,28.8454,28.8534,27.4107,28.8534,495400
2008-10-31,28.5729,29.7751,28.5087,29.6869,360900
2008-11-03,30.4964,30.6086,29.5427,30.2159,103600
2008-11-04,30.9613,32.0673,30.3842,31.6506,262000
2008-11-05,31.8847,31.9730,30.8001,31.1616,311900
2008-11-06,31.3304,31.7320,29.4505,30.6073,137000
2008-11-07,30.1414,31.3705,29.0810,31.3705,267300
2008-11-10,30.8885,31.7079,30.8885,31.6035,379200
2008-11-11,29.7237,31.1295,28.7115,29.6112,194200
2008-11-12,29.1051,30.3663,28.1250,28.7034,388700
2008-11-13,28.7275,30.5350,27.0003,30.4065,187900
2008-11-14,29.6273,31.0572,29.5951,30.0209,103800
2008-11-17,30.0209,30.7921,29.4184,29.7879,147500
2008-11-18,29.4505,30.4467,28.5187,30.3583,185000
2008-11-19,29.4023,29.7237,25.9078,27.0244,265600
2008-11-20,26.5103,26.5103,22.5980,22.8953,341600
2008-11-21,23.2969,24.5180,21.8750,24.2047,416000
2008-11-24,24.1163,26.0685,24.0360,25.7230,972800
2008-11-25,25.8917,29.5389,25.8596,28.9926,1645900
2008-11-26,28.7195,32.9370,26.8316,30.6877,406400
2008-11-28,30.5270,32.8969,29.5630,32.6157,596600
2008-12-01,31.8124,36.0701,28.9605,29.2417,2340500
2008-12-02,30.0691,30.4306,27.7233,29.0007,1194900
2008-12-03,28.5829,30.0450,27.3377,29.8763,1013800
2008-12-04,29.8201,29.8201,27.1128,28.9846,1055900
2008-12-05,28.2857,30.5270,27.7956,30.3904,697300
2008-12-08,30.6073,31.8043,29.8120,30.4386,997900
2008-12-09,29.6835,31.4669,28.6954,30.1575,677000
2008-12-10,30.1494,31.3786,29.4666,30.8965,735400
2008-12-11,30.5190,31.1295,29.4987,30.0530,1128300
2008-12-12,29.3300,31.2741,28.8721,30.4627,679200
2008-12-15,30.4467,30.6314,28.3259,28.6472,631100
2008-12-16,28.8239,30.9367,28.4383,30.9367,866700
2008-12-17,30.6314,31.4991,29.9004,30.5270,776900
2008-12-18,30.4708,32.3506,30.1093,31.0813,726400
2008-12-19,31.4669,32.5273,30.5832,31.9811,1196600
2008-12-22,32.2944,32.8406,30.9528,31.5633,505300
2008-12-23,31.3786,32.1578,30.7037,31.4830,365200
2008-12-24,31.3384,32.8487,30.7921,32.6880,183900
2008-12-26,32.9370,32.9370,31.4268,32.1739,187500
2008-12-29,31.9971,33.2985,31.8927,33.0174,377800
2008-12-30,32.4872,34.0296,32.4872,33.9251,463200
2008-12-31,34.4072,34.5437,33.5235,34.3991,566200
