"MacroTrends Data Download"
"SCM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2012-11-08,5.3267,5.4155,5.3267,5.3551,417800
2012-11-09,5.3586,5.4155,5.3515,5.3870,47000
2012-11-12,5.4687,5.5042,5.3870,5.4119,40500
2012-11-13,5.4332,5.4332,5.3622,5.4048,54200
2012-11-14,5.4083,5.4083,5.3622,5.3622,70900
2012-11-15,5.3799,5.3906,5.3267,5.3480,196100
2012-11-16,5.3586,5.3657,5.3267,5.3622,94600
2012-11-19,5.3941,5.4900,5.3444,5.4687,88900
2012-11-20,5.5042,5.5042,5.3906,5.3906,92500
2012-11-21,5.4510,5.4616,5.3302,5.3835,73900
2012-11-23,5.3870,5.4155,5.3870,5.4119,5400
2012-11-26,5.4261,5.5966,5.3480,5.3799,28700
2012-11-27,5.3870,5.4155,5.3764,5.4155,28300
2012-11-28,5.4155,5.4226,5.3835,5.3977,28100
2012-11-29,5.4083,5.4616,5.3799,5.4190,32200
2012-11-30,5.4297,5.4403,5.4012,5.4403,75200
2012-12-03,5.4474,5.5042,5.4474,5.4545,103000
2012-12-04,5.4652,5.4687,5.4155,5.4368,84700
2012-12-05,5.4368,5.4794,5.3977,5.4368,101900
2012-12-06,5.3799,5.4155,5.3586,5.3728,92500
2012-12-07,5.3444,5.3622,5.3267,5.3551,64800
2012-12-10,5.3657,5.4048,5.3267,5.3267,48300
2012-12-11,5.3373,5.3622,5.3267,5.3551,45800
2012-12-12,5.3267,5.4332,5.3267,5.4190,26200
2012-12-13,5.4190,5.4439,5.0035,5.4261,41700
2012-12-14,5.4332,5.4332,5.3338,5.3444,40900
2012-12-17,5.3444,5.4332,5.3444,5.3906,22500
2012-12-18,5.3941,5.5362,5.3941,5.5007,88800
2012-12-19,5.4963,5.5681,5.4963,5.5681,33500
2012-12-20,5.5502,5.5502,5.4783,5.5502,83400
2012-12-21,5.4712,6.5417,5.3885,5.8376,696500
2012-12-24,5.8268,5.8484,5.6292,5.7442,53000
2012-12-26,5.6939,5.7118,5.4783,5.4927,49000
2012-12-27,5.4855,5.6220,5.4783,5.5143,46400
2012-12-28,5.4963,5.6759,5.4963,5.5574,62300
2012-12-31,5.5610,5.8915,5.4783,5.8843,114000
2013-01-02,5.8735,6.0998,5.6544,6.0100,247100
2013-01-03,5.8735,5.9956,5.6939,5.7298,60800
2013-01-04,5.7550,5.7657,5.6616,5.7262,36400
2013-01-07,5.6220,5.7047,5.4999,5.7011,55600
2013-01-08,5.5143,5.5143,5.3885,5.4999,162200
2013-01-09,5.4424,5.4676,5.1874,5.3095,197500
2013-01-10,5.3275,5.4065,5.3275,5.3921,76100
2013-01-11,5.3634,5.3993,5.2951,5.3023,41000
2013-01-14,5.3023,5.3167,5.1119,5.2125,112800
2013-01-15,5.2089,5.4065,5.1263,5.2412,178800
2013-01-16,5.2448,5.3957,5.2448,5.2879,96500
2013-01-17,5.2987,5.3203,5.2125,5.2736,92100
2013-01-18,5.2628,5.2987,5.2089,5.2951,76300
2013-01-22,5.3131,5.3131,5.2125,5.2628,47000
2013-01-23,5.2736,5.3167,5.2484,5.2987,91500
2013-01-24,5.3059,5.3239,5.2556,5.2808,71500
2013-01-25,5.2628,5.3418,5.2628,5.3418,38000
2013-01-28,5.3526,5.3885,5.3167,5.3598,62000
2013-01-29,5.3742,5.3813,5.2808,5.3454,56700
2013-01-30,5.3239,5.3562,5.3023,5.3131,65200
2013-01-31,5.2879,5.5502,5.2448,5.4747,181900
2013-02-01,5.4065,5.4065,5.3023,5.3706,57500
2013-02-04,5.3706,5.3885,5.2915,5.3634,54000
