"MacroTrends Data Download"
"SLRC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2010-02-09,5.5393,5.6008,5.3208,5.5393,2580100
2010-02-10,5.5393,5.5701,5.5362,5.5639,158500
2010-02-11,5.5639,5.6470,5.5393,5.6470,156700
2010-02-12,5.5855,5.6716,5.5701,5.6685,448100
2010-02-16,5.6685,5.6747,5.5855,5.6470,89700
2010-02-17,5.5362,5.6470,5.5024,5.6316,47900
2010-02-18,5.6162,5.6747,5.5701,5.6132,63000
2010-02-19,5.6162,5.6624,5.5762,5.6224,25900
2010-02-22,5.6501,5.6624,5.5516,5.6132,115400
2010-02-23,5.6132,5.6562,5.5855,5.6039,56900
2010-02-24,5.6070,5.6624,5.5731,5.6624,23400
2010-02-25,5.6193,5.6501,5.5608,5.6193,18800
2010-02-26,5.6008,5.6932,5.6008,5.6793,87100
2010-03-01,5.6932,5.7324,5.6778,5.7055,77800
2010-03-02,5.6932,5.7424,5.6932,5.7393,63000
2010-03-03,5.7393,5.8101,5.7086,5.8040,62500
2010-03-04,5.8009,5.8009,5.7116,5.7947,35600
2010-03-05,5.8070,6.1649,5.7978,6.0317,158000
2010-03-08,6.1209,6.1517,5.9732,6.0009,98000
2010-03-09,6.0317,6.0445,5.8958,5.9609,79200
2010-03-10,5.8132,6.2625,5.7162,5.9547,129900
2010-03-11,5.8470,5.9394,5.8009,5.8932,109300
2010-03-12,6.2163,6.2163,5.8870,5.8932,55900
2010-03-15,5.9147,5.9794,5.8316,5.9794,80800
2010-03-16,6.0346,6.1035,5.9939,6.0440,88200
2010-03-17,6.0440,6.1066,5.9046,6.0910,40600
2010-03-18,6.0941,6.1599,6.0409,6.1536,18300
2010-03-19,6.0784,6.2410,6.0252,6.0252,50200
2010-03-22,6.1191,6.3296,6.0534,6.2601,81800
2010-03-23,6.2976,6.3759,6.2319,6.3571,151200
2010-03-24,6.4198,6.4480,6.2948,6.3540,217900
2010-03-25,6.4417,6.8112,6.3916,6.5263,214400
2010-03-26,6.5263,6.9146,6.4699,6.8582,165300
2010-03-29,6.8895,6.9584,6.8457,6.8895,82600
2010-03-30,6.9459,6.9553,6.5263,6.6640,396000
2010-03-31,6.6108,6.7956,6.4793,6.6202,645900
2010-04-01,6.6265,7.0837,6.5701,6.9960,125700
2010-04-05,7.0336,7.0837,6.7533,7.0242,105700
2010-04-06,7.0649,7.1831,7.0148,7.0743,149300
2010-04-07,7.1307,7.1714,7.0070,7.1338,88500
2010-04-08,7.0743,7.2966,7.0492,7.1557,93700
2010-04-09,7.2089,7.2121,6.7564,7.1369,139000
2010-04-12,7.1056,7.2340,7.1040,7.1902,45100
2010-04-13,7.1714,7.5049,7.1714,7.3874,113900
2010-04-14,7.4501,7.5597,7.3561,7.4313,83700
2010-04-15,7.4469,7.4783,7.2810,7.3718,70200
2010-04-16,7.3718,7.3781,6.8112,7.0398,89700
2010-04-19,7.0023,7.1391,6.9083,7.1119,49200
2010-04-20,7.1808,7.4407,7.1808,7.3593,37500
2010-04-21,7.3593,7.3593,7.1494,7.3593,224400
2010-04-22,7.4501,7.4501,7.2966,7.4031,62800
2010-04-23,7.3561,7.3781,7.3248,7.3749,26300
2010-04-26,7.3749,7.4469,7.2183,7.3405,108800
2010-04-27,7.3217,7.3593,7.0492,7.0680,46800
2010-04-28,7.1087,7.3123,7.0931,7.2089,212600
2010-04-29,7.2277,7.3718,7.1400,7.3311,43000
2010-04-30,7.3687,7.4344,7.2747,7.2841,47100
2010-05-03,7.3373,7.3373,7.1369,7.2528,29000
2010-05-04,7.1275,7.2011,6.7549,7.1714,188100
2010-05-05,7.1682,7.2810,6.9741,7.2152,193900
2010-05-06,7.2027,7.3248,6.2976,6.4354,172000
2010-05-07,6.8613,6.9490,6.4511,6.8081,98100
2010-05-10,7.2559,7.4610,6.9866,7.3655,78700
2010-05-11,7.2591,7.4720,7.0492,7.3593,61300
2010-05-12,7.5785,7.5785,7.2528,7.3718,89100
2010-05-13,7.1213,7.1996,6.8300,6.9114,425900
2010-05-14,6.6922,6.7329,6.5450,6.5764,3082500
2010-05-17,6.6421,6.6547,6.4323,6.6045,547900
2010-05-18,6.6985,6.6985,6.4887,6.5701,349100
2010-05-19,6.6202,6.6202,6.1693,6.4010,486000
2010-05-20,6.3102,6.4762,6.1567,6.2319,433400
2010-05-21,6.2068,6.4104,6.1066,6.3540,203200
2010-05-24,6.3603,6.4793,6.3603,6.3885,159100
2010-05-25,6.1536,6.4699,6.1066,6.4605,178700
2010-05-26,6.4981,6.5638,6.3352,6.4448,141600
2010-05-27,6.5513,6.6265,6.4073,6.6265,209500
2010-05-28,6.6296,6.6828,6.5795,6.6828,112400
2010-06-01,6.6515,6.7298,6.4918,6.6609,104000
2010-06-02,6.6954,6.7048,6.5764,6.6672,105600
2010-06-03,6.6421,6.7079,6.4448,6.6703,114100
2010-06-04,6.5513,6.6406,6.5169,6.5513,175500
2010-06-07,6.5764,6.6233,6.5388,6.5858,154600
2010-06-08,6.5858,6.6108,6.5137,6.6077,123500
2010-06-09,6.6233,6.7079,6.4448,6.6265,144400
2010-06-10,6.6922,6.7173,6.6265,6.7173,274300
2010-06-11,6.6828,6.8112,6.6421,6.7956,186500
2010-06-14,6.8770,6.8770,6.4198,6.5513,506800
2010-06-15,6.5539,6.6313,6.4394,6.4636,311800
2010-06-16,6.3540,6.5152,6.3411,6.4023,355100
2010-06-17,6.4023,6.4668,6.2927,6.2991,236500
2010-06-18,6.3056,6.4079,6.1862,6.2572,311500
2010-06-21,6.2895,6.3988,6.2153,6.2508,214100
2010-06-22,6.2572,6.3153,6.1798,6.1927,179800
2010-06-23,6.2056,6.2830,6.0540,6.1733,165000
2010-06-24,6.1508,6.2411,6.1443,6.1766,66800
2010-06-25,6.2249,6.2862,6.1314,6.2862,425600
2010-06-28,6.2411,6.3249,6.1475,6.3024,134800
2010-06-29,6.2411,6.3862,6.1508,6.3540,297700
2010-06-30,6.3862,6.3894,6.2088,6.2120,295500
2010-07-01,6.2378,6.2604,6.1153,6.1572,163100
2010-07-02,6.1927,6.2411,6.0508,6.1379,197800
2010-07-06,6.1830,6.1894,6.0508,6.0701,79700
2010-07-07,6.0959,6.2540,6.0701,6.2540,122100
2010-07-08,6.2830,6.3378,6.2409,6.2991,108800
2010-07-09,6.3056,6.3378,6.2443,6.2991,89000
2010-07-12,6.3378,6.4275,6.2733,6.3378,160500
2010-07-13,6.3927,6.4830,6.3636,6.4604,313700
2010-07-14,6.4539,6.4572,6.3733,6.4314,117600
2010-07-15,6.4410,6.4765,6.3669,6.4120,101800
2010-07-16,6.4185,6.4378,6.3120,6.3378,73000
2010-07-19,6.3701,6.4346,6.2637,6.4023,91600
2010-07-20,6.3443,6.4023,6.2959,6.3733,171600
2010-07-21,6.3862,6.4056,6.3001,6.3636,122300
2010-07-22,6.4410,6.4475,6.3120,6.4185,107400
2010-07-23,6.4475,6.5475,6.3185,6.4378,126800
2010-07-26,6.4507,6.5797,6.4023,6.5765,150800
2010-07-27,6.6571,6.6571,6.4378,6.6249,157600
2010-07-28,6.6217,6.6217,6.5023,6.5572,127700
2010-07-29,6.5765,6.6281,6.4636,6.5894,172400
2010-07-30,6.5668,6.6636,6.5507,6.6507,299100
2010-08-02,6.7475,6.7475,6.6726,6.6862,150400
2010-08-03,6.6862,6.7345,6.6475,6.6475,94200
2010-08-04,6.6991,6.6991,6.5023,6.5088,157600
2010-08-05,6.5314,6.6023,6.4927,6.5378,302900
2010-08-06,6.5185,6.5539,6.4830,6.5249,143300
2010-08-09,6.5926,6.5967,6.4991,6.5346,132900
2010-08-10,6.5185,6.5678,6.4507,6.4507,126900
2010-08-11,6.2959,6.4346,6.0476,6.3411,243500
2010-08-12,6.2895,6.5668,6.2895,6.5314,165800
2010-08-13,6.5314,6.5959,6.4701,6.5314,72200
2010-08-16,6.5346,6.5926,6.4765,6.5378,222400
2010-08-17,6.6120,6.6136,6.5314,6.5636,128100
2010-08-18,6.5346,6.5604,6.4539,6.4572,148300
2010-08-19,6.4572,6.5185,6.4249,6.4314,103700
2010-08-20,6.4410,6.4841,6.3927,6.4088,161300
2010-08-23,6.4152,6.4508,6.3862,6.3862,106000
2010-08-24,6.3378,6.5023,6.3378,6.3411,235300
2010-08-25,6.3378,6.4056,6.3282,6.3862,112600
2010-08-26,6.4281,6.4411,6.2669,6.2669,157300
2010-08-27,6.3153,6.4023,6.3023,6.4023,93400
2010-08-30,6.4023,6.4536,6.3765,6.3798,84700
2010-08-31,6.3669,6.3701,6.3217,6.3346,156300
2010-09-01,6.4152,6.4991,6.3701,6.4572,180400
2010-09-02,6.5023,6.5345,6.4443,6.4539,163000
2010-09-03,6.5056,6.5539,6.4765,6.5056,185900
2010-09-07,6.5378,6.5647,6.4507,6.4604,219500
2010-09-08,6.4765,6.5314,6.4507,6.4830,155200
2010-09-09,6.5088,6.5410,6.4217,6.4636,203000
2010-09-10,6.4927,6.5636,6.4539,6.5314,163400
2010-09-13,6.5636,6.6120,6.4991,6.5862,195900
2010-09-14,6.6055,6.6604,6.5894,6.6120,229900
2010-09-15,6.5788,6.7681,6.5721,6.7249,202300
2010-09-16,6.7182,6.7681,6.6684,6.6850,173900
2010-09-17,6.6585,6.7415,6.6419,6.7149,113100
2010-09-20,6.7083,6.8627,6.6618,6.8511,157500
2010-09-21,6.8577,6.8909,6.8079,6.8511,118800
2010-09-22,6.8046,6.9042,6.7747,6.8843,135300
2010-09-23,6.8677,6.9739,6.7780,6.7946,89900
2010-09-24,6.8610,6.9241,6.8179,6.8942,89000
2010-09-27,6.9075,6.9739,6.9075,6.9696,194900
2010-09-28,6.9374,7.0570,6.8677,7.0404,142200
2010-09-29,7.0404,7.1998,7.0105,7.1931,204900
2010-09-30,7.2396,7.2396,7.0570,7.1234,127600
2010-10-01,7.1300,7.2064,7.1267,7.1666,107700
2010-10-04,7.1998,7.2064,7.0803,7.1466,121500
2010-10-05,7.2064,7.2064,7.1334,7.1732,119600
2010-10-06,7.2131,7.2330,7.1267,7.1666,127400
2010-10-07,7.2064,7.2097,7.0802,7.1466,95800
2010-10-08,7.1832,7.2250,7.1300,7.1699,114800
2010-10-11,7.1998,7.2230,7.1201,7.1566,354600
2010-10-12,7.1566,7.2097,7.1231,7.1699,101200
2010-10-13,7.2230,7.2562,7.1749,7.1965,174400
2010-10-14,7.2064,7.3094,7.1931,7.2562,302800
2010-10-15,7.3094,7.3094,7.2097,7.2861,197100
2010-10-18,7.3060,7.3260,7.2463,7.2728,118800
2010-10-19,7.2330,7.3359,7.2330,7.3127,154800
2010-10-20,7.3160,7.3459,7.3060,7.3326,193900
2010-10-21,7.3392,7.3426,7.2695,7.3027,139400
2010-10-22,7.3226,7.4256,7.2961,7.3990,144300
2010-10-25,7.4588,7.4721,7.3260,7.3957,229200
2010-10-26,7.3392,7.4190,7.3260,7.4023,511300
2010-10-27,7.3492,7.4721,7.3492,7.4455,132000
2010-10-28,7.4389,7.5219,7.3492,7.3758,203700
2010-10-29,7.3559,7.4654,7.3559,7.4123,175900
2010-11-01,7.4721,7.6149,7.4385,7.4854,164700
2010-11-02,7.5518,7.6049,7.4987,7.5950,145100
2010-11-03,7.8042,7.8042,7.5153,7.7112,215100
2010-11-04,7.7743,7.7975,7.6481,7.7079,452400
2010-11-05,7.6780,7.8042,7.6282,7.6747,867400
2010-11-08,7.6713,7.7311,7.6348,7.7012,204200
2010-11-09,7.7012,7.7311,7.5850,7.5850,152700
2010-11-10,7.6149,7.7079,7.5551,7.6647,124900
2010-11-11,7.6381,7.7278,7.6381,7.7278,251000
2010-11-12,7.6680,7.7643,7.6581,7.7378,196200
2010-11-15,7.7843,7.8440,7.7212,7.7444,216300
2010-11-16,7.6713,7.7577,7.5053,7.5883,265200
2010-11-17,7.5817,7.7507,7.5817,7.6747,137800
2010-11-18,7.7676,7.7909,7.6747,7.6813,228100
2010-11-19,7.7278,7.8341,7.6946,7.7843,148400
2010-11-22,7.7676,7.7776,7.7212,7.7776,167800
2010-11-23,7.7444,7.8507,7.7444,7.7909,119100
2010-11-24,7.8341,7.8374,7.7876,7.8075,87700
2010-11-26,7.7610,7.8540,7.7610,7.8507,83400
2010-11-29,7.8009,7.8474,7.7909,7.8241,125000
2010-11-30,7.7975,7.8972,7.7544,7.7743,1468600
2010-12-01,7.9071,8.0532,7.7976,8.0267,229900
2010-12-02,8.0001,8.0333,7.8739,7.9835,243900
2010-12-03,7.9968,8.0728,7.9503,8.0566,273200
2010-12-06,8.0532,8.2824,8.0532,8.1927,162800
2010-12-07,8.2824,8.4318,8.2060,8.3156,225300
2010-12-08,8.3588,8.4252,8.3023,8.3123,171400
2010-12-09,8.3256,8.3256,8.1595,8.1994,191400
2010-12-10,8.1761,8.3023,8.1562,8.2724,163200
2010-12-13,8.3355,8.3355,8.2658,8.2658,195800
2010-12-14,8.2957,8.3023,8.1363,8.2924,344600
2010-12-15,8.4756,8.4824,8.1488,8.1794,423800
2010-12-16,8.2169,8.3190,8.1794,8.2782,188100
