"MacroTrends Data Download"
"STEP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-09-16,24.0521,25.1600,22.5652,24.2950,9326650
2020-09-17,22.0793,26.3843,22.0793,24.0521,1288805
2020-09-18,24.2950,25.2473,23.8091,24.2950,879847
2020-09-21,23.8091,24.6838,23.0577,23.7314,508836
2020-09-22,23.9646,27.4728,22.9054,26.0249,2245234
2020-09-23,25.2960,25.9180,24.0910,25.1502,381860
2020-09-24,24.8684,25.0531,24.0424,24.4505,419035
2020-09-25,24.2367,24.5283,23.8629,24.2950,146979
2020-09-28,24.3436,27.1254,24.2270,25.7430,286482
2020-09-29,25.5584,27.1521,24.4603,24.8393,305820
2020-09-30,24.7129,25.9957,23.9744,25.8596,117548
2020-10-01,25.5487,25.8742,24.5866,25.0822,187417
2020-10-02,24.4991,25.2280,24.1784,24.6935,835806
2020-10-05,24.6838,25.5973,24.1881,24.8587,229982
2020-10-06,24.8878,24.9850,24.1201,24.6546,355587
2020-10-07,24.9850,25.3786,24.3582,24.8198,176377
2020-10-08,24.7518,25.7916,24.5866,25.7528,181644
2020-10-09,25.8111,26.7912,25.7625,26.3067,139416
2020-10-12,26.3358,26.3358,25.1454,25.4709,390929
2020-10-13,25.2474,25.2960,24.0716,24.4700,220404
2020-10-14,24.4214,25.2085,24.4019,24.6157,114191
2020-10-15,24.4408,25.5001,24.4408,25.0628,91219
2020-10-16,24.9850,25.6410,24.6449,25.5098,139617
2020-10-19,25.3835,26.3358,24.2950,26.0249,182969
2020-10-20,25.9957,26.6177,25.9957,26.1220,146116
2020-10-21,26.2581,26.2581,25.1211,25.8694,56328
2020-10-22,25.7722,26.5108,25.6167,26.2387,174948
2020-10-23,26.1803,26.3844,25.3543,25.8013,373199
2020-10-26,25.6070,25.7822,25.1697,25.2960,83284
2020-10-27,25.3640,25.9374,24.9267,25.1891,216838
2020-10-28,24.8490,25.1211,24.2465,24.6838,140814
2020-10-29,24.6352,25.3640,24.2367,24.3922,178058
2020-10-30,24.5963,25.3203,23.7897,24.9850,306137
2020-11-02,25.2377,26.3941,24.1881,25.3154,195330
2020-11-03,25.6070,26.9286,25.3640,26.3164,171978
2020-11-04,26.0637,28.2017,26.0637,27.3271,257536
2020-11-05,27.5603,28.7459,26.7537,27.3174,250593
2020-11-06,27.3271,27.9490,26.7634,26.8995,160607
2020-11-09,27.7547,27.9587,25.8937,27.5020,353187
2020-11-10,27.1813,28.3086,26.6662,27.6964,200987
2020-11-11,27.4340,29.1541,27.0258,27.9199,176105
2020-11-12,28.0170,29.0569,27.2250,28.1920,252060
2020-11-13,28.5613,29.0603,27.9587,28.5030,174446
2020-11-16,29.0180,30.1161,27.7061,28.0656,342048
2020-11-17,27.8033,28.2838,26.4427,26.8217,254395
2020-11-18,26.7926,28.0073,26.3747,26.5205,171880
