"MacroTrends Data Download"
"SUPV - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2016-05-19,10.7850,10.9250,10.5506,10.7850,7098505
2016-05-20,10.7850,11.1039,10.7850,10.7850,1085822
2016-05-23,10.6913,10.7757,10.5037,10.5037,511141
2016-05-24,10.5037,10.8601,10.4568,10.8038,558141
2016-05-25,10.8038,10.8882,10.6631,10.6819,365406
2016-05-26,10.6537,10.7850,10.6537,10.6913,269046
2016-05-27,10.6913,10.7850,10.6537,10.7100,272709
2016-05-31,10.6913,10.7663,10.6350,10.6819,199117
2016-06-01,10.5975,10.6673,10.5506,10.6444,159276
2016-06-02,10.6350,10.7194,10.5834,10.7006,245380
2016-06-03,10.6631,11.1414,10.6631,10.9820,485094
2016-06-06,10.9257,11.1414,10.9257,11.0851,153569
2016-06-07,11.0664,11.4228,10.9915,11.3759,497502
2016-06-08,11.3477,11.4884,11.3008,11.4884,71183
2016-06-09,11.4415,11.4884,11.4040,11.4884,405403
2016-06-10,11.5353,11.5447,11.1883,11.3196,164433
2016-06-13,11.3946,11.5447,11.3759,11.4884,83494
2016-06-14,11.3946,11.4884,11.0476,11.1695,135586
2016-06-15,11.2060,11.2821,11.1508,11.2258,88220
2016-06-16,11.2540,11.4936,11.1789,11.3946,204817
2016-06-17,11.3196,11.5353,11.3158,11.4040,401063
2016-06-20,11.5634,12.3418,11.4790,12.0792,377220
2016-06-21,12.0792,12.2105,11.9104,12.0511,314551
2016-06-22,12.0980,12.2856,11.9479,11.9761,181423
2016-06-23,11.9573,12.1355,11.8729,11.9198,60832
2016-06-24,11.7229,11.7229,9.3783,11.5072,742153
2016-06-27,11.6197,11.6760,11.0570,11.1977,235513
2016-06-28,11.2540,11.7791,11.2540,11.5165,76112
2016-06-29,11.6760,12.0699,11.6760,11.8448,69606
2016-06-30,11.8039,11.9948,11.7322,11.9948,81036
2016-07-01,11.8635,12.2948,11.8635,12.2574,242416
2016-07-05,12.4731,13.0358,11.8823,12.1449,141742
2016-07-06,11.9948,12.2012,11.6760,11.9479,94533
2016-07-07,11.9479,12.1824,11.7698,11.9104,58763
2016-07-08,11.9104,12.1824,11.8542,11.9104,53362
2016-07-11,11.8448,12.1074,11.7791,11.8917,36609
2016-07-12,12.0241,12.3887,11.8260,12.0042,168781
2016-07-13,12.0042,12.0511,11.6478,11.7698,115872
2016-07-14,11.8166,12.2574,11.6291,12.0511,119620
2016-07-15,11.9479,12.3606,11.9479,12.3231,245931
2016-07-18,12.2574,12.3043,12.1918,12.3043,27683
2016-07-19,12.2396,12.8952,12.2396,12.6982,147977
2016-07-20,12.7920,12.7920,12.4834,12.5575,24078
2016-07-21,12.5106,12.5763,12.4272,12.4731,10218
2016-07-22,12.4825,12.7263,12.4825,12.6795,13463
2016-07-25,12.6607,12.7170,12.4919,12.6607,12929
2016-07-26,12.6701,12.6982,12.5575,12.5669,5964
2016-07-27,12.4356,12.6607,12.3981,12.5575,39349
2016-07-28,12.3700,12.5106,12.3700,12.4450,21496
2016-07-29,12.4450,12.7076,12.3700,12.7076,129290
