"MacroTrends Data Download"
"TRMK - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1992-03-03,1.8069,1.8726,1.8069,1.8726,2400
1992-03-04,1.8726,1.9876,1.8726,1.9383,204000
1992-03-05,1.9055,2.0041,1.9055,1.9712,3600
1992-03-06,1.9383,2.0041,1.9055,2.0041,33000
1992-03-09,1.9219,1.9219,1.9055,1.9055,5400
1992-03-10,2.0041,2.0041,1.9055,2.0041,6000
1992-03-11,2.0041,2.0041,1.9383,1.9383,3600
1992-03-12,1.9712,1.9712,1.9548,1.9548,24600
1992-03-13,1.9055,1.9055,1.9055,1.9055,15600
1992-03-16,1.9383,1.9876,1.9055,1.9876,122400
1992-03-17,1.9383,1.9383,1.9383,1.9383,1800
1992-03-18,1.9383,1.9712,1.9383,1.9712,12000
1992-03-19,1.9383,1.9383,1.9383,1.9383,1800
1992-03-20,2.0041,2.0041,1.9712,1.9712,3600
1992-03-23,1.9383,1.9383,1.9383,1.9383,600
1992-03-24,1.9548,1.9712,1.9548,1.9548,3600
1992-03-25,1.9548,1.9548,1.9548,1.9548,0
1992-03-26,2.0041,2.0041,1.9548,1.9712,28800
1992-03-27,1.9548,2.0369,1.9548,2.0041,148800
1992-03-30,2.0041,2.0041,2.0041,2.0041,1200
1992-03-31,2.0041,2.0698,2.0041,2.0041,3600
1992-04-01,2.0041,2.0041,2.0041,2.0041,2400
1992-04-02,2.0369,2.0698,2.0041,2.0698,50400
1992-04-03,2.0698,2.0698,2.0041,2.0284,86400
1992-04-06,2.0041,2.0041,1.9712,1.9712,10800
1992-04-07,1.9712,1.9712,1.9712,1.9712,600
1992-04-08,1.9712,1.9712,1.9712,1.9712,0
1992-04-09,2.0041,2.0369,1.9712,2.0369,601800
1992-04-10,2.0533,2.0698,2.0369,2.0533,18000
1992-04-13,2.0698,2.0698,1.9712,2.0041,14400
1992-04-14,1.9712,2.0698,1.9712,1.9712,18600
1992-04-15,2.0698,2.0698,2.0041,2.0698,30600
1992-04-16,2.0698,2.0698,2.0041,2.0041,28200
1992-04-20,2.0698,2.0698,2.0041,2.0041,6600
1992-04-21,2.0041,2.0698,2.0041,2.0698,19200
1992-04-22,2.0041,2.0698,2.0041,2.0369,60600
1992-04-23,2.0041,2.0041,2.0041,2.0041,1200
1992-04-24,2.0041,2.0698,2.0041,2.0041,18600
1992-04-27,2.0698,2.0698,2.0041,2.0205,11400
1992-04-28,2.0369,2.0698,2.0205,2.0205,75600
1992-04-29,2.0205,2.0698,2.0205,2.0698,14400
1992-04-30,2.0205,2.0698,2.0041,2.0041,82200
1992-05-01,2.0041,2.0698,2.0041,2.0369,35400
1992-05-04,2.0698,2.0698,2.0369,2.0369,18600
1992-05-05,2.0698,2.0698,2.0205,2.0698,13200
1992-05-06,2.0698,2.0698,2.0698,2.0698,1200
1992-05-07,2.0698,2.0698,2.0533,2.0533,4200
1992-05-08,2.0698,2.1026,2.0369,2.1026,54000
1992-05-11,2.0698,2.1026,2.0698,2.1026,51000
1992-05-12,2.1026,2.1026,2.0698,2.0698,43200
1992-05-13,2.1026,2.1026,2.0448,2.0612,165000
1992-05-14,2.1026,2.1026,2.0369,2.0533,123600
1992-05-15,2.0533,2.1026,2.0533,2.1026,14400
1992-05-18,2.1026,2.1026,2.0533,2.0533,3000
1992-05-19,2.1026,2.1026,2.1026,2.1026,600
1992-05-20,2.0698,2.1026,2.0533,2.0862,22200
1992-05-21,2.0941,2.1355,2.0533,2.1355,106800
1992-05-22,2.1529,2.1529,2.1529,2.1529,600
1992-05-26,2.1529,2.1529,2.0866,2.0866,2400
1992-05-27,2.0866,2.1529,2.0866,2.1529,9000
1992-05-28,2.1529,2.1529,2.0866,2.1529,6600
1992-05-29,2.1529,2.1529,2.0866,2.1529,10200
1992-06-01,2.1529,2.1529,2.1032,2.1032,19200
1992-06-02,2.1032,2.1032,2.1032,2.1032,2400
1992-06-03,2.1529,2.1529,2.1032,2.1198,19200
1992-06-04,2.1449,2.1694,2.1032,2.1694,54000
1992-06-05,2.1198,2.1363,2.1032,2.1363,13800
1992-06-08,2.1694,2.1860,2.1198,2.1198,16800
1992-06-09,2.1198,2.1198,2.1198,2.1198,0
1992-06-10,2.1529,2.1860,2.1198,2.1198,12600
1992-06-11,2.1198,2.1198,2.1198,2.1198,5400
1992-06-12,2.1198,2.1198,2.1198,2.1198,0
1992-06-15,2.1198,2.1198,2.1198,2.1198,10800
1992-06-16,2.1198,2.1449,2.1198,2.1198,13200
1992-06-17,2.2026,2.2026,2.1198,2.1694,92400
1992-06-18,2.2026,2.2026,2.1363,2.1860,29400
1992-06-19,2.1860,2.2026,2.1198,2.1860,13200
1992-06-22,2.1198,2.2026,2.1198,2.2026,9000
1992-06-23,2.1860,2.3185,2.1860,2.2191,97800
1992-06-24,2.2191,2.3185,2.2191,2.3105,46800
1992-06-25,2.2522,2.3516,2.2522,2.3516,32400
1992-06-26,2.3516,2.3516,2.2522,2.3516,180600
1992-06-29,2.3516,2.3516,2.2522,2.3516,20400
1992-06-30,2.3019,2.3847,2.2854,2.3847,138000
1992-07-01,2.3847,2.3847,2.3185,2.3682,29400
1992-07-02,2.3682,2.3682,2.3682,2.3682,0
1992-07-06,2.3516,2.3682,2.3185,2.3516,22800
1992-07-07,2.3847,2.3847,2.3185,2.3185,55200
1992-07-08,2.3185,2.3350,2.3185,2.3185,27000
1992-07-09,2.3185,2.3847,2.3185,2.3847,13800
1992-07-10,2.3185,2.3847,2.3185,2.3185,15000
1992-07-13,2.3185,2.4178,2.3185,2.4178,119400
1992-07-14,2.3847,2.4510,2.3516,2.4178,11400
1992-07-15,2.4510,2.4510,2.3516,2.4178,31800
1992-07-16,2.4013,2.4510,2.3516,2.3516,28800
