"MacroTrends Data Download"
"TRTX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2017-07-20,11.1397,11.2647,10.9976,11.1283,5695361
2017-07-21,11.1056,11.2647,11.0544,11.1795,713312
2017-07-24,11.1454,11.2306,11.1169,11.2249,733257
2017-07-25,11.1908,11.2760,11.1283,11.1397,490249
2017-07-26,11.1738,11.2647,11.0942,11.2249,1190496
2017-07-27,11.2022,11.2370,11.1965,11.2306,209943
2017-07-28,11.1681,11.2704,11.1681,11.2704,216859
2017-07-31,11.2704,11.3613,11.2249,11.3102,162942
2017-08-01,11.2818,11.3489,11.2818,11.3102,106559
2017-08-02,11.3102,11.3613,11.1681,11.3045,169580
2017-08-03,11.3102,11.3443,11.3102,11.3386,224788
2017-08-04,11.3102,11.3670,11.2306,11.3556,161565
2017-08-07,11.3159,11.3670,11.1738,11.2988,228338
2017-08-08,11.3386,11.3386,11.1681,11.3045,113120
2017-08-09,11.2818,11.3159,11.2249,11.2818,128755
2017-08-10,11.2590,11.3102,11.1965,11.2704,182047
2017-08-11,11.2818,11.3045,11.2533,11.2818,62904
2017-08-14,11.3613,11.3613,11.1928,11.2931,120941
2017-08-15,11.3386,11.3386,11.1851,11.2704,166796
2017-08-16,11.2988,11.3102,11.1397,11.1795,97003
2017-08-17,11.1965,11.2249,11.0374,11.0828,206474
2017-08-18,11.0885,11.1567,11.0431,11.0885,172977
2017-08-21,11.0942,11.0999,10.6338,10.8498,190117
2017-08-22,10.8214,11.0288,10.7816,10.9237,253692
2017-08-23,10.8953,11.0544,10.8953,10.9351,154927
2017-08-24,10.8782,11.1681,10.8782,11.0885,148934
2017-08-25,11.1567,11.3102,11.1454,11.2249,125503
2017-08-28,11.2079,11.3102,11.1681,11.2704,128893
2017-08-29,11.1738,11.3159,11.1738,11.3102,55279
2017-08-30,11.3159,11.3670,11.2704,11.3329,87401
2017-08-31,11.3102,11.6341,11.2988,11.4977,235372
2017-09-01,11.5318,11.6512,11.4750,11.5887,157179
2017-09-05,11.5887,11.7649,11.4568,11.6341,213879
2017-09-06,11.6398,11.6547,11.4295,11.5205,151692
2017-09-07,11.5091,11.6455,11.4750,11.5432,80826
2017-09-08,11.5375,11.6455,11.5261,11.5830,81833
2017-09-11,11.6000,11.6171,11.5034,11.5944,99607
2017-09-12,11.6512,11.6512,11.5489,11.5944,142031
2017-09-13,11.5716,11.6142,11.4238,11.4693,180769
2017-09-14,11.3954,11.5375,11.2306,11.3556,136717
2017-09-15,11.3954,11.4352,11.1113,11.1113,1629692
2017-09-18,11.0942,11.2420,11.0374,11.0885,161190
2017-09-19,11.1226,11.3102,11.1226,11.2136,96860
2017-09-20,11.2249,11.2755,11.0885,11.2079,74653
2017-09-21,11.1965,11.3215,11.1056,11.1169,120777
2017-09-22,11.0885,11.2363,11.0885,11.1567,60911
2017-09-25,11.1913,11.2590,11.1169,11.1567,51670
2017-09-26,11.1510,11.2022,11.0089,11.0544,98516
2017-09-27,11.0601,11.2334,11.0317,11.1965,164669
2017-09-28,11.1795,11.3500,11.0374,11.2647,134725
2017-09-29,11.2477,11.3301,11.1397,11.2363,119310
2017-10-02,11.2590,11.3670,11.2477,11.3386,57886
2017-10-03,11.3329,11.4295,11.2366,11.4295,72757
2017-10-04,11.4238,11.4238,11.2590,11.3272,47333
2017-10-05,11.2967,11.4730,11.2563,11.4238,84895
2017-10-06,11.5567,11.6001,11.4123,11.4354,101319
2017-10-09,11.4354,11.4874,11.4123,11.4643,32579
2017-10-10,11.4527,11.5452,11.2678,11.3661,175561
2017-10-11,11.4065,11.4874,11.3603,11.4816,39803
2017-10-12,11.4701,11.4874,11.3198,11.4759,32756
2017-10-13,11.4585,11.5047,11.3892,11.4874,33342
2017-10-16,11.4874,11.5387,11.4470,11.4874,36419
2017-10-17,11.4932,11.5047,11.3718,11.3892,59505
2017-10-18,11.3892,11.4483,11.2852,11.3198,75982
2017-10-19,11.2621,11.2736,11.0945,11.2216,119018
2017-10-20,11.2389,11.3256,11.1349,11.1696,82595
2017-10-23,11.1291,11.2389,11.0916,11.1291,98655
2017-10-24,11.1291,11.2274,11.1060,11.2100,67873
2017-10-25,11.1523,11.2852,11.1465,11.2678,56139
2017-10-26,11.2852,11.2852,11.0598,11.0656,80078
2017-10-27,11.0771,11.2274,11.0771,11.1580,65927
2017-10-30,11.1638,11.2389,11.1118,11.1234,38268
2017-10-31,11.1465,11.3141,11.1465,11.2794,54696
2017-11-01,11.2505,11.3372,11.1349,11.2678,37441
2017-11-02,11.2362,11.3199,11.1869,11.2852,39082
2017-11-03,11.2115,11.2389,11.2100,11.2332,52762
2017-11-06,11.1985,11.2621,11.1291,11.1696,35652
2017-11-07,11.0771,11.2909,11.0771,11.1407,47311
2017-11-08,11.1291,11.2910,11.1003,11.1985,59167
2017-11-09,11.1523,11.2158,11.1060,11.1638,34705
2017-11-10,11.1349,11.3083,11.0887,11.1349,35243
2017-11-13,11.0829,11.2476,11.0829,11.2274,33256
2017-11-14,11.1638,11.2621,11.1638,11.2274,43913
2017-11-15,11.2621,11.2678,11.1812,11.2158,42977
2017-11-16,11.2100,11.2100,11.1465,11.1812,60266
2017-11-17,11.1523,11.2360,10.9211,11.1696,71749
2017-11-20,11.1927,11.3083,11.1927,11.2678,35524
2017-11-21,11.3198,11.4123,11.2563,11.3256,49830
2017-11-22,11.3314,11.3661,11.1696,11.2678,47819
2017-11-24,11.2909,11.2909,11.2216,11.2505,15742
2017-11-27,11.2447,11.3025,11.1754,11.1927,22918
2017-11-28,11.1638,11.2794,11.0569,11.2389,47751
2017-11-29,11.1985,11.2909,11.1985,11.2447,47881
2017-11-30,11.3198,11.3198,11.0887,11.0887,145448
2017-12-01,11.0714,11.1754,10.7536,11.0483,128438
2017-12-04,11.1176,11.2274,11.0251,11.1060,43797
2017-12-05,11.1580,11.2967,11.1580,11.2158,94688
2017-12-06,11.2158,11.3256,11.1523,11.1696,42249
2017-12-07,11.2043,11.2678,11.1349,11.2332,35474
2017-12-08,11.2678,11.2678,11.1580,11.2389,45033
2017-12-11,11.1985,11.2678,11.1696,11.1927,42647
2017-12-12,11.1985,11.2823,11.1580,11.1812,29324
2017-12-13,11.1985,11.2678,11.1523,11.2332,44585
2017-12-14,11.2274,11.2621,11.1812,11.2158,28551
2017-12-15,11.2505,11.3834,11.1869,11.3025,274168
2017-12-18,11.3256,11.4181,11.2563,11.2967,37718
2017-12-19,11.3545,11.4470,11.1580,11.1754,33958
2017-12-20,11.2274,11.4354,11.1746,11.2621,40218
2017-12-21,11.2967,11.3429,11.2389,11.2621,34044
2017-12-22,11.2736,11.2736,11.2015,11.2389,25501
2017-12-26,11.2100,11.3164,11.2043,11.2216,22384
2017-12-27,11.2100,11.2678,11.2072,11.2158,20036
2017-12-28,11.2903,11.3904,11.2726,11.3256,34383
2017-12-29,11.2549,11.3374,11.1488,11.2254,45221
2018-01-02,11.2903,11.3669,11.2137,11.2254,50319
2018-01-03,11.2078,11.2755,11.0546,11.0722,38514
2018-01-04,11.0781,11.2313,11.0457,11.0840,62832
2018-01-05,11.0546,11.1429,11.0428,11.0781,13649
2018-01-08,11.0487,11.1901,11.0487,11.1842,26015
2018-01-09,11.1724,11.2019,11.0972,11.1724,35227
2018-01-10,11.0958,11.2343,11.0899,11.2137,24829
2018-01-11,11.2137,11.2726,11.1901,11.2137,21781
2018-01-12,11.1606,11.2578,11.0899,11.1194,28648
2018-01-16,11.1842,11.2578,11.0663,11.0781,23035
2018-01-17,11.0899,11.2431,11.0899,11.1370,30170
2018-01-18,11.1076,11.1370,11.0487,11.0604,20933
2018-01-19,11.0310,11.2284,11.0192,11.1370,42202
2018-01-22,11.2078,11.3492,11.1370,11.2254,221575
2018-01-23,11.2254,11.2461,11.2019,11.2313,140793
2018-01-24,11.2254,11.2431,11.1960,11.2078,94975
2018-01-25,11.2254,11.2254,11.1606,11.1724,65312
2018-01-26,11.2078,11.2078,11.0840,11.0899,43768
2018-01-29,11.0781,11.1547,11.0722,11.1017,62360
2018-01-30,11.0251,11.0781,10.9897,11.0133,58303
2018-01-31,11.0604,11.1194,10.9897,11.0899,397788
2018-02-01,11.1017,11.2225,11.0246,11.1606,75582
2018-02-02,11.0958,11.1312,11.0310,11.0604,22658
2018-02-05,11.0074,11.0310,10.8071,10.8660,65383
2018-02-06,10.7835,10.9721,10.7422,10.9131,80385
2018-02-07,10.9131,10.9897,10.9013,10.9249,76248
2018-02-08,10.9662,10.9662,10.8188,10.8896,63444
2018-02-09,10.9249,10.9721,10.7364,10.8424,65196
2018-02-12,10.9013,10.9721,10.7953,10.9013,44693
2018-02-13,10.8778,11.1135,10.8778,11.0487,134974
2018-02-14,10.9662,11.1046,10.9603,11.0310,77135
2018-02-15,11.0840,11.1135,10.9663,11.0899,201241
2018-02-16,11.0663,11.2137,11.0663,11.1606,89096
2018-02-20,11.1429,11.2785,11.0722,11.0722,67895
2018-02-21,11.1253,11.2549,11.0604,11.0781,154338
2018-02-22,11.0958,11.0987,10.8955,10.9897,115181
2018-02-23,11.0663,11.0958,10.9715,11.0369,89778
2018-02-26,11.0546,11.1135,11.0133,11.0369,85202
2018-02-27,11.0781,11.1960,11.0074,11.0487,288110
2018-02-28,11.1076,11.2549,10.9131,10.9190,1017766
2018-03-01,10.9603,11.1960,10.9603,11.0781,378858
2018-03-02,11.0604,11.2873,10.9779,11.0722,332483
2018-03-05,11.0546,11.2313,10.9426,11.1842,857217
2018-03-06,11.2019,11.2844,11.1253,11.1960,596244
2018-03-07,11.1370,11.3020,11.1017,11.1429,536189
2018-03-08,11.1842,11.3963,11.0840,11.3845,393207
2018-03-09,11.4199,11.5731,11.3845,11.5142,299034
2018-03-12,11.5377,11.8501,11.5377,11.6615,264618
2018-03-13,11.7204,11.7617,11.6379,11.7145,338513
2018-03-14,11.7440,11.8736,11.6910,11.7204,594734
2018-03-15,11.7558,11.8501,11.7263,11.7617,520276
2018-03-16,11.7558,11.7735,11.6379,11.7086,1679552
2018-03-19,11.7263,11.9620,11.6438,11.8972,508709
2018-03-20,11.9384,12.0209,11.8088,11.8147,611206
2018-03-21,11.7735,11.8029,11.6910,11.7676,161925
2018-03-22,11.6968,11.9208,11.6733,11.7852,195063
2018-03-23,11.8383,11.8559,11.6202,11.6379,134975
