"MacroTrends Data Download"
"UBS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2014-11-28,15.6889,15.7236,15.5762,15.6022,111605
2014-12-01,15.6976,15.7236,15.4548,15.5241,450011
2014-12-02,15.5762,15.6282,15.5068,15.6109,567380
2014-12-03,15.7583,15.7756,15.6282,15.7063,798088
2014-12-04,15.7323,15.8017,15.6889,15.7496,804024
2014-12-05,15.6976,15.8017,15.6629,15.7756,837178
2014-12-08,15.6629,15.7149,15.5935,15.6369,828344
2014-12-09,15.5502,15.6456,15.5068,15.5762,732309
2014-12-10,15.5588,15.5848,15.3507,15.3594,890986
2014-12-11,15.4201,15.4770,15.3507,15.3940,813202
2014-12-12,15.3767,15.4461,15.0298,15.0905,1257783
2014-12-15,15.1859,15.2206,14.8824,14.8997,993134
2014-12-16,14.8910,15.1946,14.8650,14.9344,1063121
2014-12-17,14.9951,15.1425,14.8997,15.0645,688919
2014-12-18,15.1425,15.2726,15.0905,15.2640,759915
2014-12-19,15.0298,15.1309,14.9778,15.0732,1021196
2014-12-22,15.1339,15.2119,15.1295,15.2032,701889
2014-12-23,15.1772,15.2726,15.1512,15.1772,1097125
2014-12-24,15.1512,15.2900,15.1425,15.2726,450226
2014-12-26,15.1946,15.3680,15.1859,15.3247,531820
2014-12-29,15.0558,15.0862,14.9778,15.0124,813893
2014-12-30,14.9691,15.0471,14.9431,14.9778,601205
2014-12-31,14.9431,14.9613,14.7696,14.7870,561290
