"MacroTrends Data Download"
"UVSP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1998-04-16,8.5312,8.6803,8.5312,8.5312,3300
1998-04-17,8.7400,8.7400,8.7400,8.7400,701
1998-04-20,8.7400,8.7400,8.7400,8.7400,0
1998-04-21,8.7400,8.7400,8.7400,8.7400,0
1998-04-22,8.8892,8.8892,8.8892,8.8892,1800
1998-04-23,8.8892,8.8892,8.8892,8.8892,0
1998-04-24,8.8892,8.8892,8.8892,8.8892,0
1998-04-27,8.4119,8.9190,8.4119,8.8892,1800
1998-04-28,8.8892,8.8892,8.8892,8.8892,0
1998-04-29,8.8892,8.8892,8.8892,8.8892,0
1998-04-30,8.8892,8.8892,8.8892,8.8892,0
1998-05-01,8.8593,8.8593,8.8593,8.8593,1500
1998-05-04,8.8581,8.8581,8.8581,8.8581,0
1998-05-05,8.8295,8.8295,8.8295,8.8295,699
1998-05-06,8.7698,8.7698,8.6505,8.7698,3099
1998-05-07,8.7698,8.7698,8.7698,8.7698,99
1998-05-08,8.7698,8.7698,8.5026,8.7698,33099
1998-05-11,8.8295,8.8295,8.5026,8.8295,4800
1998-05-12,8.6505,8.7698,8.5026,8.7698,4800
1998-05-13,8.7698,8.7698,8.6219,8.7698,64899
1998-05-14,8.7698,8.7698,8.6815,8.6815,699
1998-05-15,8.6815,8.6815,8.6815,8.6815,0
1998-05-18,8.6815,8.6815,8.6815,8.6815,0
1998-05-19,8.6815,8.6815,8.6815,8.6815,0
1998-05-20,8.6815,8.6815,8.6815,8.6815,0
1998-05-21,8.7698,8.7698,8.7698,8.7698,99
1998-05-22,8.5026,8.5026,8.5026,8.5026,99
1998-05-26,8.5026,8.5026,8.5026,8.5026,0
1998-05-27,8.5026,8.5026,8.5026,8.5026,0
1998-05-28,8.7698,8.7698,8.4405,8.7698,54300
1998-05-29,8.7698,8.7698,8.7698,8.7698,0
1998-06-01,8.5026,8.6219,8.5026,8.6219,4500
1998-06-02,8.5026,8.7698,8.5026,8.6815,60099
