"MacroTrends Data Download"
"VIRT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2015-04-16,16.8522,17.3431,16.1122,16.2514,15680086
2015-04-17,16.4492,17.5483,16.3320,16.6031,3868850
2015-04-20,17.6582,17.7681,16.7496,16.8229,1960780
2015-04-21,16.8522,17.0500,16.1561,16.3759,1242621
2015-04-22,16.4858,16.6258,15.7092,15.9803,936362
2015-04-23,15.9729,16.5957,15.8411,16.5591,447842
2015-04-24,16.7643,16.7936,16.2294,16.2331,747597
2015-04-27,16.4126,16.4126,15.4088,15.5700,1184686
2015-04-28,15.5846,15.9583,15.2036,15.8850,722075
2015-04-29,15.6213,16.1375,15.5040,15.6139,293777
2015-04-30,15.7018,16.0682,15.4070,15.6725,434281
2015-05-01,15.8264,15.8777,15.6066,15.6799,306536
2015-05-04,15.7092,15.8861,15.4088,15.4967,660189
2015-05-05,15.6725,16.0096,15.5846,15.9656,457724
2015-05-06,16.3686,16.4858,16.0096,16.2221,844104
2015-05-07,16.4492,16.4492,16.3393,16.4052,469971
2015-05-08,16.4639,16.8156,16.3100,16.3393,673559
2015-05-11,16.0755,16.6910,15.8924,16.5005,762673
2015-05-12,16.5225,16.6251,16.2734,16.3540,259771
2015-05-13,16.3466,16.4639,15.9363,16.0023,521173
2015-05-14,16.2880,16.2880,15.8337,16.0975,545429
2015-05-15,16.0169,16.3759,16.0096,16.3027,282244
2015-05-18,16.1415,16.2587,15.8264,16.1488,454234
2015-05-19,15.9803,16.3906,15.9803,16.2807,304800
2015-05-20,16.1781,16.3393,16.1268,16.3320,251663
2015-05-21,16.1341,16.3393,15.8924,16.1415,217302
2015-05-22,16.0242,16.3027,16.0242,16.2001,168198
2015-05-26,16.2514,16.3027,16.0323,16.2221,173138
2015-05-27,16.2074,16.5371,16.0682,16.4199,343887
2015-05-28,16.4052,16.4199,16.0902,16.2001,188355
2015-05-29,16.1488,16.2587,15.8411,16.0426,294454
2015-06-01,16.0829,16.2294,16.0316,16.0535,213559
2015-06-02,16.0462,16.3393,16.0462,16.2587,299094
2015-06-03,16.1781,17.0500,16.1476,16.9401,590703
2015-06-04,16.9987,17.0720,16.5774,16.6690,338305
2015-06-05,16.6177,17.1819,16.5957,16.9694,244853
2015-06-08,16.9548,17.2918,16.8522,17.1599,342306
2015-06-09,17.2185,17.3211,16.8742,16.9474,310238
2015-06-10,16.9474,17.3797,16.8888,17.1966,186443
2015-06-11,17.1819,17.5043,16.9841,17.0793,370969
2015-06-12,16.9768,17.0940,16.7789,17.0134,164220
2015-06-15,16.9474,17.2479,16.8815,17.1966,212882
2015-06-16,17.2185,18.0245,17.2185,17.7461,691478
2015-06-17,17.7168,18.1051,17.4384,17.6582,656744
2015-06-18,17.7314,17.8413,17.3211,17.3724,531625
2015-06-19,17.3138,17.5483,16.9255,16.9768,1552362
2015-06-22,17.1673,17.3944,16.9035,17.0940,362247
2015-06-23,17.1673,17.2112,16.8888,16.9694,394318
2015-06-24,16.8302,17.2149,16.8302,17.0500,360801
2015-06-25,17.1526,17.1673,16.5957,16.7203,403097
2015-06-26,16.6690,16.9914,16.5005,16.5884,2677616
2015-06-29,16.4419,17.2625,16.1341,16.9914,626614
2015-06-30,17.1892,17.2552,16.7130,17.2039,448695
2015-07-01,17.3797,17.4237,17.0134,17.1819,677605
2015-07-02,17.2185,17.2662,16.8339,17.1599,404868
2015-07-06,16.9255,17.6435,16.9108,17.5922,320580
2015-07-07,17.5996,17.6655,17.1599,17.4457,430987
2015-07-08,17.2625,17.8267,17.2625,17.7974,436539
2015-07-09,17.3138,18.1491,17.3138,17.5702,381058
2015-07-10,17.3065,17.7566,17.1599,17.5263,361842
2015-07-13,17.3944,17.6752,17.3431,17.6582,326865
2015-07-14,17.5849,17.6655,17.2332,17.5336,282184
2015-07-15,17.6728,17.7681,17.3797,17.6142,467998
2015-07-16,17.9439,18.0612,17.5629,17.6289,249509
2015-07-17,17.5776,17.7095,17.4970,17.5556,169756
2015-07-20,17.5702,17.7754,17.2918,17.3651,403851
2015-07-21,17.2991,17.3797,16.9987,17.1086,381093
2015-07-22,17.0354,17.3138,17.0354,17.2845,232239
2015-07-23,17.2918,17.4090,16.9328,16.9621,350926
2015-07-24,16.9255,17.1526,16.9255,17.1526,252783
2015-07-27,16.9548,17.4530,16.9328,17.4310,183776
2015-07-28,17.4823,17.4823,17.2039,17.3285,147901
2015-07-29,17.2845,17.5849,17.2479,17.4017,125061
2015-07-30,17.3944,17.4896,17.2259,17.2698,107141
2015-07-31,17.3138,17.4017,17.1160,17.2185,216918
2015-08-03,17.2625,17.2625,17.0134,17.1453,206595
2015-08-04,16.9914,17.2625,16.9694,17.0427,321675
2015-08-05,16.5591,16.6690,15.1377,15.2109,1863531
2015-08-06,15.5187,15.5187,14.7493,14.8226,539867
2015-08-07,14.7786,15.3868,14.7786,15.3795,662546
2015-08-10,15.7898,15.8337,15.2770,15.5040,383955
2015-08-11,15.4820,15.6051,15.1157,15.2989,157785
2015-08-12,15.2476,15.4601,15.1890,15.4234,157201
2015-08-13,15.4234,15.4527,15.0351,15.1963,132910
2015-08-14,15.1303,15.5187,15.0204,15.4601,237959
2015-08-17,15.3355,15.3868,15.2036,15.3868,151963
2015-08-18,15.3941,15.5407,15.2256,15.3135,65241
2015-08-19,15.2549,15.6432,15.0278,15.6213,232757
2015-08-20,15.5480,15.8557,15.4454,15.4601,260917
2015-08-21,15.1816,15.7605,15.0791,15.1670,294579
2015-08-24,14.6541,15.7458,14.6394,15.6286,688416
2015-08-25,16.0902,16.4858,15.8704,16.1488,736282
2015-08-26,16.3979,16.9255,15.8997,16.7203,471641
2015-08-27,16.9108,16.9255,16.4932,16.8229,299923
2015-08-28,16.8469,17.0624,16.4248,16.6544,520515
2015-08-31,16.6544,17.4615,15.8546,17.4319,485700
2015-09-01,17.3282,17.6319,17.1801,17.5430,797021
2015-09-02,17.3505,17.3875,16.8099,17.1505,431420
2015-09-03,17.1431,17.5430,17.0394,17.2024,153719
2015-09-04,17.0765,17.3845,16.9654,17.2394,349558
2015-09-08,17.4023,17.6911,17.2690,17.4615,224866
2015-09-09,17.5134,17.5874,17.1209,17.2098,201116
2015-09-10,17.1209,17.4838,17.0545,17.3356,107874
2015-09-11,17.2024,17.6022,17.0394,17.3356,100909
2015-09-14,17.3727,17.6763,17.2024,17.2468,137208
2015-09-15,17.3505,17.6837,17.2024,17.4689,166553
2015-09-16,17.5282,17.6170,17.3468,17.5874,134748
2015-09-17,17.5208,17.8466,17.3653,17.5726,174887
2015-09-18,17.4615,17.6911,17.1875,17.5948,370097
2015-09-21,17.5578,17.6319,17.3505,17.4393,177980
2015-09-22,17.3282,17.6541,16.9135,17.3431,260568
2015-09-23,17.3356,17.5074,17.1727,17.3060,133644
2015-09-24,17.2542,17.5134,17.1505,17.4541,142310
2015-09-25,17.5652,17.6096,17.2320,17.3282,242795
2015-09-28,17.3356,17.4689,17.2024,17.4393,306845
2015-09-29,17.0765,17.3208,16.8395,17.0024,373511
2015-09-30,17.1135,17.2468,16.8691,16.9728,207638
2015-10-01,17.0987,17.1209,16.6618,17.0394,235973
2015-10-02,16.8543,17.1135,16.6544,17.0172,293361
2015-10-05,16.8617,17.1801,16.7951,16.9580,502905
2015-10-06,16.8913,17.1209,16.8913,16.9506,442478
2015-10-07,17.0617,17.5356,16.7580,17.2690,435216
2015-10-08,16.9580,17.3231,16.2989,17.1875,411353
2015-10-09,17.2542,17.5578,17.1579,17.3727,459021
2015-10-12,17.3282,17.7726,17.2098,17.7355,336384
2015-10-13,17.7726,18.5131,17.6911,18.3650,751901
2015-10-14,18.4390,18.6464,18.1428,18.1872,285809
2015-10-15,18.2169,18.5131,17.9744,18.4983,206993
2015-10-16,18.4686,18.5649,18.2835,18.3724,211541
2015-10-19,18.3205,18.5316,18.1872,18.2909,443138
2015-10-20,18.3724,18.4020,18.0984,18.3650,294156
2015-10-21,18.3502,18.4124,18.0021,18.0169,214088
2015-10-22,18.1354,18.4835,17.9977,18.1650,257742
2015-10-23,18.3428,18.6019,18.1959,18.5575,143381
2015-10-26,18.6390,19.0463,18.5279,18.7056,270865
2015-10-27,18.6760,18.7426,18.0317,18.3354,300733
2015-10-28,18.4020,18.7278,18.2835,18.5279,243282
2015-10-29,18.5427,18.5649,18.0021,18.0169,269627
2015-10-30,18.1058,18.2835,17.8022,17.9207,239541
2015-11-02,17.9058,18.2095,17.8733,18.1650,226224
2015-11-03,18.1798,18.7871,18.1280,18.5871,608002
2015-11-04,18.5316,18.6019,16.8691,17.1727,1044412
2015-11-05,17.1135,17.8021,16.8987,17.6689,297382
2015-11-06,17.6985,18.0836,17.5874,17.8318,347538
2015-11-09,17.6911,17.6911,16.9580,17.2690,258239
2015-11-10,17.3282,17.3801,17.0654,17.1505,139141
2015-11-11,17.2246,17.2690,17.0554,17.1061,95842
2015-11-12,16.6618,16.7751,16.2101,16.4026,497731
2015-11-13,16.4396,17.0617,16.2249,16.4026,3862493
2015-11-16,16.4248,16.6914,16.1582,16.4248,515465
2015-11-17,16.4396,16.4396,15.9953,16.2323,662296
2015-11-18,16.2323,16.3582,15.7731,15.9879,1099570
2015-11-19,15.9879,16.4100,15.9879,16.2175,327149
2015-11-20,16.2249,16.7506,16.2249,16.4322,557179
2015-11-23,16.4396,16.6247,16.1730,16.2841,229129
2015-11-24,16.3137,16.5366,16.0990,16.2989,134636
2015-11-25,16.2693,16.5063,16.2360,16.2767,134444
