"MacroTrends Data Download"
"WASH - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1995-08-18,3.1158,3.1302,3.1158,3.1302,10800
1995-08-21,3.1158,3.1158,3.1158,3.1158,101
1995-08-22,3.1158,3.1158,3.1158,3.1158,2201
1995-08-23,3.1158,3.1158,3.1158,3.1158,2700
1995-08-24,3.1158,3.1158,3.1158,3.1158,901
1995-08-25,3.1158,3.1158,3.1158,3.1158,0
1995-08-28,3.1158,3.2356,3.1158,3.2057,24300
1995-08-29,3.2057,3.2057,3.2057,3.2057,1499
1995-08-30,3.1158,3.1158,3.1158,3.1158,9001
1995-08-31,3.1158,3.1158,3.1158,3.1158,0
1995-09-01,3.1158,3.1158,3.1158,3.1158,0
1995-09-05,3.1158,3.1158,3.1158,3.1158,0
1995-09-06,3.2656,3.2656,3.2656,3.2656,101
1995-09-07,3.2656,3.2656,3.2656,3.2656,0
1995-09-08,3.1158,3.2656,3.1158,3.2656,601
1995-09-11,3.1158,3.1158,3.1158,3.1158,4901
1995-09-12,3.1158,3.1158,3.1158,3.1158,0
1995-09-13,3.1158,3.1158,3.1158,3.1158,0
1995-09-14,3.1458,3.2057,3.1458,3.2057,24300
1995-09-15,3.2356,3.2356,3.1158,3.1757,3301
1995-09-18,3.1757,3.1757,3.1158,3.1158,6001
1995-09-19,3.1158,3.1158,3.1158,3.1158,0
1995-09-20,3.1158,3.1158,3.1158,3.1158,0
1995-09-21,3.1158,3.1158,3.1158,3.1158,601
1995-09-22,3.1158,3.1158,3.1158,3.1158,0
1995-09-25,3.1158,3.1158,3.1158,3.1158,0
1995-09-26,3.1158,3.2356,3.1158,3.2356,1900
1995-09-27,3.1158,3.1158,3.1158,3.1158,601
1995-09-28,3.1446,3.1446,3.1446,3.1446,10000
1995-09-29,3.2655,3.2655,3.1446,3.2655,16301
1995-10-02,3.2353,3.2655,3.1446,3.1446,8201
1995-10-03,3.1591,3.2353,3.1591,3.2353,6699
1995-10-04,3.2655,3.2655,3.2655,3.2655,101
1995-10-05,3.2353,3.2353,3.2353,3.2353,3301
1995-10-06,3.2050,3.2050,3.2050,3.2050,10901
1995-10-09,3.2050,3.2050,3.2050,3.2050,0
1995-10-10,3.3562,3.3562,3.3562,3.3562,1499
1995-10-11,3.3562,3.3562,3.3562,3.3562,0
1995-10-12,3.3562,3.3562,3.3562,3.3562,0
1995-10-13,3.1748,3.1748,3.1748,3.1748,1499
1995-10-16,3.2957,3.2957,3.2957,3.2957,1299
1995-10-17,3.4167,3.4167,3.3719,3.3719,24401
1995-10-18,3.4167,3.4167,3.2050,3.2050,1299
1995-10-19,3.4167,3.4167,3.3103,3.4167,6899
1995-10-20,3.2655,3.2655,3.2655,3.2655,18900
1995-10-23,3.2050,3.2655,3.2050,3.2655,8201
1995-10-24,3.2655,3.2655,3.2655,3.2655,0
1995-10-25,3.4167,3.4167,3.4167,3.4167,101
1995-10-26,3.4167,3.4167,3.4167,3.4167,1499
1995-10-27,3.1748,3.4167,3.1748,3.4167,1299
1995-10-30,3.4167,3.4167,3.4167,3.4167,0
1995-10-31,3.4167,3.4167,3.4167,3.4167,0
1995-11-01,3.4167,3.4167,3.4167,3.4167,0
1995-11-02,3.2353,3.4167,3.2353,3.4167,3999
1995-11-03,3.2353,3.4167,3.2353,3.4167,1900
1995-11-06,3.3562,3.3562,3.2957,3.2957,3999
1995-11-07,3.2957,3.2957,3.2957,3.2957,0
1995-11-08,3.2957,3.2957,3.2957,3.2957,0
1995-11-09,3.2957,3.2957,3.2957,3.2957,0
1995-11-10,3.2957,3.2957,3.2957,3.2957,0
1995-11-13,3.2957,3.2957,3.2957,3.2957,0
1995-11-14,3.4167,3.4167,3.4167,3.4167,101
1995-11-15,3.4167,3.4167,3.4167,3.4167,101
1995-11-16,3.2050,3.2050,3.2050,3.2050,601
1995-11-17,3.2050,3.2050,3.2050,3.2050,0
1995-11-20,3.2050,3.2050,3.2050,3.2050,0
1995-11-21,3.4167,3.4167,3.3260,3.3260,901
