"MacroTrends Data Download"
"WETF - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1993-03-04,2.0512,2.0512,1.8953,2.0512,10500
1993-03-05,1.8460,1.8460,1.8460,1.8460,2200
1993-03-08,1.8460,2.0512,1.8460,2.0512,2400
1993-03-09,1.8953,2.0512,1.8460,2.0512,23200
1993-03-10,2.0512,2.0512,1.8460,1.9527,29000
1993-03-11,1.8460,1.8460,1.8460,1.8460,1400
1993-03-12,1.8460,2.0512,1.7394,1.7394,47200
1993-03-15,2.0512,2.0512,1.8460,2.0512,12800
1993-03-16,2.0512,2.0512,1.8460,2.0512,7600
1993-03-17,1.9527,2.0512,1.7394,1.8460,30000
1993-03-18,1.8460,2.1250,1.8460,2.1250,65300
1993-03-19,2.0019,2.1496,1.8953,2.1496,48700
1993-03-22,1.9527,2.1004,1.9527,2.1004,4000
1993-03-23,2.0512,2.2563,2.0019,2.2563,15000
1993-03-24,2.0512,2.2563,2.0512,2.1496,22000
1993-03-25,2.2563,2.2563,2.0019,2.2563,35700
1993-03-26,2.0512,2.2563,2.0512,2.2070,38000
1993-03-29,2.1004,2.1004,2.1004,2.1004,4400
1993-03-30,2.1004,2.3629,2.0512,2.3629,43000
1993-03-31,2.3629,2.3629,2.0512,2.2563,44300
1993-04-01,2.2563,2.2563,2.0512,2.0512,13500
1993-04-02,2.0512,2.2563,2.0512,2.2070,24000
1993-04-05,2.1496,2.1496,2.1496,2.1496,4000
1993-04-06,2.1496,2.3629,1.9527,2.0019,21400
1993-04-07,1.9527,2.3629,1.9527,2.1004,6100
1993-04-08,1.9527,2.0512,1.8460,1.8460,8300
1993-04-12,2.3629,2.4614,1.8460,2.0512,10100
1993-04-13,2.4614,2.4614,1.9527,2.2563,7100
1993-04-14,2.4614,2.4614,2.0019,2.4122,16000
1993-04-15,2.1250,2.4614,2.0512,2.2563,25700
1993-04-16,2.1496,2.4614,2.1496,2.2070,17900
1993-04-19,2.1496,2.4614,2.1496,2.1496,10400
1993-04-20,2.1496,2.4614,2.1496,2.4614,39500
1993-04-21,2.4614,2.4614,2.2070,2.4614,25600
1993-04-22,2.2317,2.3629,2.2070,2.3629,14700
1993-04-23,2.3629,2.3629,2.1496,2.3629,25500
1993-04-26,2.1496,2.3629,2.1496,2.2070,10400
1993-04-27,2.1496,2.3301,2.1496,2.1496,16300
1993-04-28,2.1496,2.3629,2.1496,2.3629,10300
1993-04-29,2.2563,2.3629,2.2563,2.3629,3000
1993-04-30,2.1496,2.1496,2.1496,2.1496,200
1993-05-03,2.1496,2.1496,2.1496,2.1496,400
1993-05-04,2.3629,2.3629,2.3629,2.3629,300
1993-05-05,2.1496,2.3629,2.1496,2.2563,12400
1993-05-06,2.1496,2.2563,2.0512,2.2317,38600
1993-05-07,2.3629,2.3629,2.0512,2.1004,3100
1993-05-10,2.3629,2.3629,2.1004,2.1496,8600
1993-05-11,2.0512,2.3629,2.0512,2.3629,8000
1993-05-12,2.3629,2.3629,2.0512,2.2070,4600
1993-05-13,2.1004,2.2563,2.1004,2.2563,29400
1993-05-14,2.1496,2.3629,2.1496,2.3629,19600
1993-05-17,2.4122,2.6665,2.3055,2.4122,68400
1993-05-18,2.3629,2.6665,2.3629,2.5106,25500
1993-05-19,2.3629,2.5598,2.3629,2.5598,6500
1993-05-20,2.3629,2.6665,2.3629,2.4122,32000
1993-05-21,2.5598,2.6665,2.4614,2.4614,44600
1993-05-24,2.4614,2.8716,2.4614,2.5106,9800
1993-05-25,2.5106,2.8716,2.4614,2.5598,21300
1993-05-26,2.4122,2.8716,2.4122,2.8716,9300
1993-05-27,2.8716,2.8716,2.4614,2.4614,13000
1993-05-28,2.4614,2.8716,2.4614,2.8716,6400
1993-06-01,2.8716,2.8716,2.6665,2.7157,17500
1993-06-02,2.8716,2.8716,2.6665,2.7732,13200
1993-06-03,2.7732,2.7732,2.5598,2.7732,21000
1993-06-04,2.5598,2.6665,2.5598,2.6665,6600
1993-06-07,2.6665,2.8716,2.5598,2.8716,33200
1993-06-08,2.8716,2.8716,2.4614,2.4614,15700
1993-06-09,2.7732,2.7732,2.4614,2.6173,18800
1993-06-10,2.5598,2.8716,2.5598,2.6665,34700
1993-06-11,2.6665,2.8716,2.6173,2.7732,17100
1993-06-14,2.6173,2.7732,2.5106,2.7732,12700
1993-06-15,2.7732,2.7732,2.5106,2.5106,15400
1993-06-16,2.5106,2.7732,2.5106,2.7732,13600
1993-06-17,2.7732,2.7732,2.4614,2.7732,16300
1993-06-18,2.7732,2.7732,2.4614,2.6665,13000
1993-06-21,2.4614,2.7732,2.4614,2.6173,4000
1993-06-22,2.7732,2.7732,2.4614,2.4614,27300
1993-06-23,2.4614,2.7732,2.4614,2.4614,22000
1993-06-24,2.6665,2.7732,2.4614,2.7732,8400
1993-06-25,2.7732,2.8716,2.4614,2.7732,57400
1993-06-28,2.5106,2.7732,2.5106,2.7732,8200
1993-06-29,2.5106,2.7732,2.5106,2.5106,10300
1993-06-30,2.6665,2.7732,2.4614,2.4614,3100
1993-07-01,2.4614,2.6665,2.4614,2.5598,11000
1993-07-02,2.5598,2.6665,2.5598,2.6665,2000
1993-07-06,2.5598,2.7732,2.5106,2.6665,22600
1993-07-07,2.6173,2.7732,2.6173,2.7732,9100
1993-07-08,2.5598,2.7732,2.4860,2.6665,46400
1993-07-09,2.5598,3.0275,2.5598,2.8716,33500
1993-07-12,2.6665,3.0767,2.6665,3.0767,59000
1993-07-13,2.7732,3.0767,2.7732,2.9701,20500
1993-07-14,2.8224,2.9701,2.8224,2.9701,11000
1993-07-15,2.8962,3.0767,2.8224,3.0767,44700
1993-07-16,3.0767,3.0767,2.9208,3.0275,22200
1993-07-19,2.9701,3.1834,2.8716,3.0275,62300
1993-07-20,3.0275,3.1834,2.8716,3.0767,20500
1993-07-21,2.9208,3.1834,2.9208,3.0767,27900
1993-07-22,3.0275,3.3803,3.0275,3.1260,64200
1993-07-23,3.0767,3.4870,3.0767,3.1834,40200
1993-07-26,3.4870,3.4870,3.0767,3.1260,21300
1993-07-27,3.1260,3.4870,3.0767,3.2819,79300
1993-07-28,3.3803,3.3803,3.2326,3.3803,11800
1993-07-29,3.3803,3.4870,3.2326,3.4870,24800
1993-07-30,3.4870,3.4870,3.3311,3.4870,23400
1993-08-02,3.2819,3.4870,3.1834,3.1834,40900
1993-08-03,3.3803,3.4870,3.2819,3.2819,68300
1993-08-04,3.3803,3.4870,3.2819,3.3803,103000
1993-08-05,3.3311,3.3311,3.2819,3.2819,2500
1993-08-06,3.2819,3.4870,3.1260,3.2819,40900
1993-08-09,3.2819,3.4870,3.0767,3.4870,17500
1993-08-10,3.4870,3.6921,3.1834,3.3803,60200
1993-08-11,3.3803,3.6921,3.2572,3.4131,66000
1993-08-12,3.2819,3.6921,3.2819,3.2819,11200
1993-08-13,3.0767,3.4870,3.0767,3.4870,16500
1993-08-16,3.4870,3.4870,3.1834,3.3557,27100
1993-08-17,3.2819,3.5936,3.1834,3.4624,65400
1993-08-18,3.6921,3.6921,3.2819,3.4870,30800
1993-08-19,3.2819,3.5936,3.2819,3.5936,25200
1993-08-20,3.3311,3.5936,3.3311,3.5936,18000
1993-08-23,3.5936,3.5936,3.3311,3.5936,15800
1993-08-24,3.3803,3.5936,3.3803,3.5936,32100
1993-08-25,3.5936,3.5936,3.4377,3.5936,4800
1993-08-26,3.3803,3.5936,3.3803,3.5936,7300
1993-08-27,3.4377,3.5936,3.3803,3.5936,49400
1993-08-30,3.3803,3.5936,3.3803,3.5936,15400
1993-08-31,3.3803,3.5936,3.3803,3.5936,10700
