"MacroTrends Data Download"
"WRLD - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1991-12-02,2.2933,2.4167,2.2500,2.4167,389700
1991-12-03,2.3333,2.4167,2.3333,2.3333,266700
1991-12-04,2.3333,2.4167,2.3333,2.3333,97200
1991-12-05,2.3333,2.4167,2.3333,2.3333,164700
1991-12-06,2.4167,2.4167,2.3333,2.3733,85800
1991-12-09,2.3333,2.4167,2.3333,2.3333,75600
1991-12-10,2.3333,2.3733,2.3333,2.3333,126900
1991-12-11,2.3333,2.3333,2.3333,2.3333,84000
1991-12-12,2.3333,2.4167,2.3333,2.3333,94800
1991-12-13,2.4167,2.4167,2.3333,2.3333,66600
1991-12-16,2.4167,2.4167,2.3333,2.3333,39000
1991-12-17,2.4167,2.4167,2.3333,2.3333,78000
1991-12-18,2.4167,2.4167,2.3333,2.4167,31500
1991-12-19,2.3333,2.4167,2.3333,2.3333,24600
1991-12-20,2.3333,2.4167,2.3333,2.3333,172800
1991-12-23,2.3333,2.3333,2.3333,2.3333,77400
1991-12-24,2.3333,2.4167,2.3333,2.3333,41700
1991-12-26,2.3333,2.4167,2.3333,2.3733,265200
1991-12-27,2.3333,2.4167,2.3333,2.3333,49800
1991-12-30,2.3333,2.3333,2.3333,2.3333,60900
1991-12-31,2.4167,2.4167,2.3333,2.3333,395100
1992-01-02,2.3333,2.4167,2.3333,2.3333,70500
1992-01-03,2.4167,2.4167,2.1667,2.2500,370800
1992-01-06,2.2500,2.4167,2.2500,2.2933,201300
1992-01-07,2.2500,2.4167,2.2500,2.4167,367200
1992-01-08,2.4167,2.4167,2.2500,2.3333,215100
1992-01-09,2.3333,2.4167,2.3333,2.3333,358500
1992-01-10,2.4167,2.4167,2.2500,2.4167,153300
1992-01-13,2.3733,2.4167,2.2500,2.2500,80400
1992-01-14,2.2500,2.4167,2.2500,2.4167,353700
1992-01-15,2.3333,2.4167,2.3333,2.4167,128400
1992-01-16,2.4167,2.4167,2.3333,2.4167,251400
1992-01-17,2.3333,2.5833,2.3333,2.4167,387300
1992-01-20,2.4567,2.5833,2.4167,2.5833,306600
1992-01-21,2.4167,2.8333,2.4167,2.8333,752700
1992-01-22,2.6667,2.8333,2.6667,2.6667,348300
1992-01-23,2.8333,2.8333,2.6667,2.6667,531900
1992-01-24,2.6667,2.8333,2.5833,2.5833,199500
1992-01-27,2.5833,2.7500,2.5833,2.7500,123000
1992-01-28,2.5833,2.7500,2.5833,2.5833,69000
1992-01-29,2.5833,2.7500,2.5833,2.5833,244500
