"MacroTrends Data Download"
"WSFS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1990-03-26,1.7371,1.7371,1.6703,1.6703,3600
1990-03-27,1.7050,1.7371,1.6703,1.7371,7800
1990-03-28,1.7371,1.7371,1.6703,1.7050,48300
1990-03-29,1.6703,1.7371,1.6703,1.7050,47700
1990-03-30,1.6703,1.7371,1.6035,1.6035,60600
1990-04-02,1.7050,1.7371,1.6035,1.6703,26400
1990-04-03,1.5367,1.5367,1.5367,1.5367,3600
1990-04-04,1.5367,1.6703,1.5367,1.5367,12600
1990-04-05,1.6703,1.6703,1.5367,1.5714,68400
1990-04-06,1.6035,1.6035,1.5367,1.5367,44700
1990-04-09,1.5367,1.5714,1.5367,1.5714,24300
1990-04-10,1.5367,1.5714,1.5367,1.5367,39600
1990-04-11,1.5367,1.5714,1.5367,1.5367,32100
1990-04-12,1.4699,1.5714,1.4031,1.5367,21000
1990-04-16,1.5367,1.5367,1.4031,1.4378,39300
1990-04-17,1.5367,1.5367,1.5367,1.5367,3000
1990-04-18,1.4378,1.5367,1.4378,1.5367,1800
1990-04-19,1.5367,1.5367,1.4031,1.4031,183000
1990-04-20,1.4031,1.4699,1.4031,1.4031,38700
1990-04-23,1.4031,1.4378,1.2694,1.2694,55800
1990-04-24,1.4031,1.4031,1.2694,1.4031,44100
1990-04-25,1.4031,1.4031,1.4031,1.4031,4800
1990-04-26,1.2694,1.3362,0.6013,0.9354,524400
1990-04-27,1.0690,1.2026,1.0022,1.1011,189000
1990-04-30,1.2026,1.2026,1.0690,1.2026,25200
1990-05-01,1.2026,1.2026,1.0690,1.1706,256200
1990-05-02,1.1706,1.1706,1.0690,1.1706,19200
1990-05-03,1.1011,1.1011,1.0369,1.0369,117300
1990-05-04,1.1011,1.1011,1.0369,1.1011,14400
1990-05-07,1.1011,1.1011,1.0022,1.0690,16800
1990-05-08,1.0690,1.0690,1.0369,1.0690,36600
1990-05-09,1.0690,1.0690,1.0022,1.0690,81300
1990-05-10,1.0690,1.0690,1.0022,1.0690,34200
1990-05-11,1.0690,1.0690,0.9354,0.9354,334200
1990-05-14,0.9354,1.0022,0.9354,1.0022,160200
1990-05-15,1.0369,1.0369,0.9033,1.0369,19200
1990-05-16,0.9033,1.0022,0.8686,0.9354,2074500
1990-05-17,1.0022,1.0022,0.9354,0.9354,457500
1990-05-18,0.9354,1.0690,0.9354,1.0690,23700
1990-05-21,1.0690,1.0690,0.9354,1.0690,252300
1990-05-22,1.0690,1.0690,0.9354,0.9674,158100
1990-05-23,1.0690,1.0690,0.9354,1.0022,63000
1990-05-24,1.0022,1.0022,1.0022,1.0022,0
1990-05-25,0.9354,1.0690,0.9354,1.0690,9600
1990-05-29,0.9674,1.0690,0.9674,0.9674,26100
1990-05-30,1.0690,1.0690,0.9354,0.9674,340500
1990-05-31,0.9354,1.0690,0.9354,0.9354,116100
1990-06-01,1.0690,1.0690,0.9354,1.0690,61800
1990-06-04,1.0690,1.0690,0.9354,1.0690,7800
1990-06-05,1.0690,1.0690,0.9354,0.9354,9600
1990-06-06,1.0690,1.0690,0.9354,0.9354,2100
1990-06-07,0.9674,1.0690,0.9674,0.9674,6600
1990-06-08,0.9674,1.0690,0.9354,0.9354,12300
1990-06-11,0.9354,1.0690,0.9354,0.9674,26100
1990-06-12,0.9354,1.0690,0.9354,1.0690,17400
1990-06-13,0.9354,0.9354,0.9354,0.9354,4500
1990-06-14,1.0022,1.0022,0.9354,0.9354,34500
1990-06-15,1.0690,1.0690,1.0690,1.0690,7800
1990-06-18,0.9354,1.0022,0.9354,0.9674,28500
1990-06-19,0.9354,1.0022,0.8686,0.8686,49200
1990-06-20,0.9674,0.9674,0.9674,0.9674,6000
1990-06-21,0.9674,0.9674,0.9674,0.9674,0
1990-06-22,0.8686,0.9674,0.8686,0.9674,55200
1990-06-25,0.9033,0.9674,0.9033,0.9033,12600
1990-06-26,0.8686,0.9354,0.8686,0.9354,5100
1990-06-27,0.9354,0.9354,0.9354,0.9354,0
1990-06-28,0.8686,0.9354,0.8686,0.8686,12000
1990-06-29,0.9354,0.9354,0.8686,0.8686,23700
1990-07-02,0.9354,0.9354,0.8686,0.8686,7500
1990-07-03,0.9033,0.9033,0.8686,0.8686,80100
1990-07-05,0.9033,0.9033,0.8338,0.8338,27600
1990-07-06,0.9033,0.9033,0.8338,0.8338,17700
1990-07-09,0.8338,0.8686,0.8338,0.8686,20700
1990-07-10,0.8338,0.8686,0.8017,0.8686,66900
1990-07-11,0.8338,0.8338,0.8017,0.8017,96600
1990-07-12,0.8017,0.8338,0.8017,0.8338,183300
1990-07-13,0.8017,0.8017,0.7349,0.7349,156900
1990-07-16,0.8017,0.8017,0.7002,0.7349,280200
1990-07-17,0.7349,0.7349,0.6521,0.6681,82200
1990-07-18,0.7002,0.7002,0.5345,0.6681,775200
1990-07-19,0.6681,0.6681,0.5345,0.6013,255000
1990-07-20,0.6013,0.6681,0.5345,0.6681,89100
1990-07-23,0.6681,0.6681,0.5345,0.6013,74700
1990-07-24,0.5345,0.6681,0.5345,0.5666,105300
1990-07-25,0.6681,0.6681,0.5666,0.6681,108900
1990-07-26,0.6681,0.6681,0.6013,0.6681,36600
1990-07-27,0.6681,0.6681,0.6361,0.6361,18600
1990-07-30,0.6681,0.7002,0.6013,0.6521,93000
1990-07-31,0.7002,0.7002,0.6013,0.6361,114900
1990-08-01,0.7002,0.7002,0.6361,0.7002,82800
1990-08-02,0.7002,0.7002,0.6013,0.6681,24600
1990-08-03,0.6681,0.6681,0.5666,0.6013,182100
1990-08-06,0.6013,0.7002,0.5666,0.7002,43200
1990-08-07,0.7002,0.7349,0.6361,0.7349,108000
1990-08-08,0.7349,0.8686,0.7002,0.8686,129000
1990-08-09,0.9354,1.0022,0.8338,1.0022,132000
1990-08-10,0.9033,1.0022,0.9033,0.9674,117900
1990-08-13,0.9354,0.9674,0.9033,0.9033,36900
1990-08-14,0.9674,0.9674,0.9033,0.9674,91800
1990-08-15,0.9674,1.0022,0.9033,1.0022,274800
1990-08-16,1.0022,1.1358,0.9674,1.1011,214500
1990-08-17,1.1011,1.1011,1.0369,1.0690,92100
1990-08-20,1.0690,1.0690,1.0369,1.0369,98100
1990-08-21,1.0369,1.0690,0.9674,1.0022,107700
1990-08-22,0.9674,1.0022,0.9674,0.9674,17400
1990-08-23,0.9674,0.9674,0.9033,0.9033,63000
1990-08-24,0.9354,0.9354,0.9033,0.9354,69000
1990-08-27,0.9354,0.9354,0.9033,0.9033,21300
1990-08-28,0.9033,0.9033,0.9033,0.9033,1500
1990-08-29,0.9354,0.9354,0.9033,0.9033,11100
1990-08-30,0.9354,0.9354,0.8338,0.9033,154500
1990-08-31,0.8017,0.9033,0.8017,0.8338,29100
1990-09-04,0.8338,0.8686,0.8338,0.8338,15600
1990-09-05,0.8338,0.8338,0.7697,0.7697,76500
1990-09-06,0.8017,0.8017,0.7349,0.7697,218700
1990-09-07,0.7697,0.7697,0.7349,0.7349,40800
1990-09-10,0.8017,0.8017,0.7697,0.7697,78600
1990-09-11,0.7349,0.7697,0.7349,0.7697,1500
1990-09-12,0.8017,0.8017,0.7349,0.7349,2700
1990-09-13,0.8017,0.8686,0.7349,0.7697,272700
1990-09-14,0.8017,0.8686,0.8017,0.8686,30300
1990-09-17,0.8017,0.8017,0.8017,0.8017,3000
1990-09-18,0.7697,0.8338,0.7697,0.8338,33600
1990-09-19,0.8338,0.8338,0.8017,0.8017,18000
1990-09-20,0.8017,0.8017,0.8017,0.8017,27600
1990-09-21,0.8017,0.8017,0.7697,0.7697,65100
1990-09-24,0.7697,0.8017,0.7002,0.7002,31800
