"MacroTrends Data Download"
"WSR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2010-08-26,4.5891,4.5891,4.3979,4.3979,243200
2010-08-27,4.3979,4.4744,4.3979,4.4017,59400
2010-08-30,4.4017,4.4706,4.3979,4.4400,42900
2010-08-31,4.4395,4.5707,4.4395,4.4897,102200
2010-09-01,4.5205,4.5514,4.5051,4.5051,21400
2010-09-02,4.5128,4.5745,4.4820,4.5013,16700
2010-09-03,4.5128,4.5745,4.4935,4.5013,34800
2010-09-07,4.5128,4.5128,4.4743,4.4743,3500
2010-09-08,4.5128,4.5398,4.4820,4.4858,19000
2010-09-09,4.4935,4.4935,4.4743,4.4781,8400
2010-09-10,4.5205,4.5205,4.3663,4.3663,31800
2010-09-13,4.3971,4.5784,4.3971,4.5514,23600
2010-09-14,4.5321,4.5553,4.5128,4.5321,12500
2010-09-15,4.5128,4.5437,4.5128,4.5398,14200
2010-09-16,4.5591,4.5707,4.5128,4.5128,19500
2010-09-17,4.5051,4.5475,4.5051,4.5128,36700
2010-09-20,4.5283,4.5437,4.4935,4.5244,19300
2010-09-21,4.5244,4.5707,4.5128,4.5668,72100
2010-09-22,4.5861,4.5938,4.5861,4.5900,9100
2010-09-23,4.6093,4.6093,4.5784,4.6054,38500
2010-09-24,4.6093,4.6093,4.5630,4.5900,13500
2010-09-27,4.5784,4.6093,4.5668,4.6015,8000
2010-09-28,4.5900,4.6401,4.5900,4.6401,6800
2010-09-29,4.6438,4.6710,4.6438,4.6710,20700
2010-09-30,4.6671,4.6788,4.6282,4.6593,7200
2010-10-01,4.7215,4.7215,4.5854,4.6671,18200
2010-10-04,4.6515,4.6826,4.6321,4.6749,11700
2010-10-05,4.6865,4.6865,4.6282,4.6749,84000
2010-10-06,4.6671,4.7060,4.6671,4.7021,25600
2010-10-07,4.6554,4.7254,4.6554,4.7176,21500
2010-10-08,4.7215,4.9588,4.6904,4.8538,37900
2010-10-11,5.0366,5.0366,4.8888,5.0016,148700
2010-10-12,4.9977,5.0288,4.8693,5.0132,112800
2010-10-13,5.0366,5.0366,4.9238,5.0132,78000
2010-10-14,5.0366,5.0482,4.9471,4.9899,50800
2010-10-15,4.9938,5.0949,4.9510,4.9977,38100
2010-10-18,5.0949,5.0949,4.9977,5.0443,71500
2010-10-19,5.0793,5.0949,5.0249,5.0366,53400
2010-10-20,5.0949,5.0988,5.0366,5.0560,83400
2010-10-21,5.0716,5.2660,5.0366,5.1182,84000
2010-10-22,5.1494,5.3244,5.1299,5.1377,78900
2010-10-25,5.1377,5.1921,5.0949,5.1727,78800
2010-10-26,5.1727,5.1727,5.0560,5.0755,63800
2010-10-27,5.0755,5.1727,5.0755,5.1532,24000
2010-10-28,5.1334,5.1805,5.1295,5.1805,28300
2010-10-29,5.1883,5.2236,5.1374,5.2236,39700
2010-11-01,5.3294,5.4979,5.1765,5.2275,45600
2010-11-02,5.3294,5.3882,5.2902,5.3490,43800
2010-11-03,5.3686,5.4626,5.3686,5.3764,37900
2010-11-04,5.3686,5.4430,5.2745,5.3450,44700
2010-11-05,5.3529,5.4391,5.2902,5.3294,18700
2010-11-08,5.3646,5.3646,5.3098,5.3215,19400
2010-11-09,5.3059,5.3882,5.2902,5.3686,21800
2010-11-10,5.3686,5.4077,5.3490,5.3882,19900
2010-11-11,5.3215,5.3686,5.3098,5.3450,9000
2010-11-12,5.3450,5.3686,5.2824,5.3294,16300
2010-11-15,5.3098,5.4665,5.3098,5.3882,18800
2010-11-16,5.4469,5.4469,5.3098,5.3255,17900
2010-11-17,5.3764,5.4313,5.2510,5.3882,10700
2010-11-18,5.3882,5.4861,5.3098,5.4587,8700
2010-11-19,5.5841,5.5841,5.3568,5.4626,17900
2010-11-22,5.4822,5.5057,5.3921,5.4979,36600
2010-11-23,5.4940,5.4940,5.3725,5.4822,10000
2010-11-24,5.4509,5.5057,5.4469,5.4783,20800
2010-11-26,5.4979,5.6037,5.4979,5.5410,8600
2010-11-29,5.5846,5.5846,5.4070,5.5057,14300
2010-11-30,5.4899,5.5215,5.4307,5.4662,12300
