"MacroTrends Data Download"
"XHR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2015-02-04,15.4874,17.4418,15.1187,15.1555,1491729
2015-02-05,14.8384,15.1924,14.8384,14.9859,1690391
2015-02-06,14.9343,15.2883,14.9343,15.2662,1187613
2015-02-09,15.1260,15.5095,15.0228,15.4579,1067470
2015-02-10,15.2809,16.0627,15.2809,15.4210,1260417
2015-02-11,15.2440,15.4505,15.1924,15.3104,902361
2015-02-12,15.1924,15.5538,15.1924,15.3399,1399443
2015-02-13,15.2293,15.4727,15.2293,15.3325,806297
2015-02-17,15.0302,15.4874,14.8900,15.2514,1071871
2015-02-18,15.1408,15.3252,15.1260,15.2440,747839
2015-02-19,15.1039,15.3030,15.0965,15.1408,879260
2015-02-20,15.0375,15.4063,14.9785,15.3030,934256
2015-02-23,15.2145,15.3030,15.1187,15.2072,779678
2015-02-24,15.1187,15.1850,14.9723,15.0597,1104033
2015-02-25,14.9933,15.4284,14.9859,15.3104,1003437
2015-02-26,15.0892,15.3915,15.0302,15.3104,927340
2015-02-27,15.2293,15.5980,15.2293,15.5317,1059906
2015-03-02,15.3473,15.9004,15.3399,15.6128,1290613
2015-03-03,15.5317,15.6128,15.4284,15.5907,1140266
2015-03-04,15.4948,15.7050,15.4874,15.6423,824389
2015-03-05,15.5685,16.0922,15.5612,15.7603,1000076
2015-03-06,15.6128,16.0037,15.2145,15.5980,860716
2015-03-09,15.5612,16.2249,15.5612,16.2028,1632799
2015-03-10,16.0922,16.2249,15.8783,16.2175,1201419
2015-03-11,16.1880,16.8518,16.1807,16.6084,2137689
2015-03-12,16.5789,17.1025,16.5679,16.6527,1363924
2015-03-13,16.5789,16.8612,15.8562,16.2249,1758806
2015-03-16,16.3355,16.8518,16.2913,16.7412,1541623
2015-03-17,16.6084,16.7707,16.2249,16.3872,853674
2015-03-18,16.4757,16.8887,16.2249,16.8518,1212166
2015-03-19,16.8149,16.9550,16.3429,16.6527,1169443
2015-03-20,16.7043,17.8769,16.7043,17.7663,10952765
2015-03-23,17.6925,17.8105,17.4565,17.5450,1536436
2015-03-24,17.4270,17.5745,16.9699,17.1394,1044325
2015-03-25,16.9845,17.2574,16.6379,16.7633,903222
2015-03-26,16.5937,16.8149,16.4683,16.7633,900813
2015-03-27,16.7089,16.7979,16.4268,16.6495,583673
2015-03-30,16.6421,17.0652,16.6421,16.9390,535198
2015-03-31,16.8128,17.0577,16.7608,16.8870,588948
2015-04-01,16.8351,16.9241,16.6866,16.7905,527361
2015-04-02,16.6866,17.2804,16.6124,17.2285,688120
2015-04-06,17.0726,17.4289,17.0281,17.3175,571328
2015-04-07,17.1839,17.2730,16.8128,16.9687,616152
2015-04-08,16.9909,17.3992,16.7905,17.3324,799522
2015-04-09,17.2953,17.5180,16.7831,16.8796,873676
2015-04-10,16.8944,17.0726,16.6346,16.9538,1162551
2015-04-13,16.9241,17.3695,16.7460,16.7757,1074688
2015-04-14,16.7905,17.0355,16.5975,16.7311,748286
2015-04-15,16.7311,16.9909,15.8998,16.7311,680426
2015-04-16,16.6495,16.7905,15.8775,16.5530,1321261
2015-04-17,16.4639,16.5085,16.2932,16.4045,741342
2015-04-20,16.4862,16.9167,16.4862,16.8944,618656
2015-04-21,16.9241,17.0355,16.2041,16.9019,721590
2015-04-22,17.0355,17.0652,16.7460,16.9984,688434
