"MacroTrends Data Download"
"ACOR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2006-02-10,37.0199,44.8799,36.5999,40.3199,155434
2006-02-13,40.3799,40.7999,35.9999,35.9999,107300
2006-02-14,36.2399,37.6799,35.9999,35.9999,16100
2006-02-15,36.5999,37.3199,35.9999,36.2399,7000
2006-02-16,36.5999,38.3399,36.5399,37.6799,5883
2006-02-17,37.6799,38.9999,37.3199,37.3199,5767
2006-02-21,39.7199,39.7199,36.7199,37.2599,6650
2006-02-22,38.9999,38.9999,37.6199,37.9799,3500
2006-02-23,38.9999,38.9999,37.6199,38.0399,2117
2006-02-24,38.0999,38.0999,36.9599,36.9599,8367
2006-02-27,38.0999,38.0999,36.9599,37.4999,5267
2006-02-28,37.1279,37.4999,36.5999,37.1999,1683
2006-03-01,37.7999,38.0399,36.5999,37.4999,6683
2006-03-02,38.2199,38.2199,36.7199,36.7199,2233
2006-03-03,36.8999,40.9799,36.8999,38.8439,11350
2006-03-06,38.9999,40.4999,38.5199,39.2999,4167
2006-03-07,39.8999,39.8999,36.8999,36.8999,2817
2006-03-08,36.8999,38.9399,36.5999,36.5999,1283
2006-03-09,38.3999,38.3999,36.0599,36.4199,1500
2006-03-10,36.2999,38.2199,36.2999,36.2999,733
2006-03-13,37.1399,38.3999,36.4799,37.0199,1583
2006-03-14,38.3999,38.3999,34.1999,36.8999,5667
2006-03-15,35.9399,35.9999,34.7999,34.9199,4483
2006-03-16,34.9199,35.7437,34.6199,35.3999,2200
2006-03-17,35.9999,35.9999,34.5599,35.1155,1983
2006-03-20,34.6199,36.2999,34.6199,35.8799,1267
2006-03-21,35.6999,35.8199,34.8599,35.0009,467
2006-03-22,34.8599,35.9999,34.8599,35.9999,2033
2006-03-23,36.2999,36.2999,34.8599,35.9999,3200
2006-03-24,35.9999,35.9999,34.9409,35.3999,2350
2006-03-27,35.8799,35.8799,34.6199,35.0999,6533
2006-03-28,34.7399,34.7999,33.6599,33.9599,967
2006-03-29,34.4999,35.0399,33.7199,34.5599,2817
2006-03-30,34.2599,34.2599,30.5999,32.2199,11300
2006-03-31,32.5799,34.1999,31.3199,31.3199,1783
2006-04-03,32.3999,32.9999,30.5999,31.1999,2517
2006-04-04,30.5999,31.7999,30.2999,30.5999,3383
2006-04-05,30.4799,32.3999,30.4199,31.4999,2383
2006-04-06,32.9999,32.9999,30.8999,32.9399,6017
2006-04-07,32.6099,32.6999,32.1599,32.3399,1133
2006-04-10,32.6999,32.6999,31.7999,31.7999,417
2006-04-11,31.2599,31.7999,31.2599,31.4399,3167
2006-04-12,32.3999,32.3999,30.5999,30.7199,36867
2006-04-13,31.7399,31.7399,30.5999,31.0199,2050
2006-04-17,31.9799,32.0399,30.5999,30.5999,1667
2006-04-18,30.8399,31.4339,30.8399,30.8399,1317
2006-04-19,30.8399,30.8999,30.0599,30.4799,2383
2006-04-20,30.2999,30.5999,27.9599,28.8599,2833
2006-04-21,29.0399,29.7119,29.0399,29.0999,667
2006-04-24,29.9399,29.9399,28.1999,29.2199,750
2006-04-25,29.9999,31.1999,29.3999,29.4599,3233
2006-04-26,29.3999,29.9399,27.3599,27.7199,2367
2006-04-27,28.1999,29.9399,28.1999,29.8199,983
2006-04-28,30.5999,30.5999,29.3999,29.3999,3467
2006-05-01,29.6999,29.6999,27.2999,27.6599,1483
2006-05-02,28.5599,29.9999,26.8799,27.1799,2900
2006-05-03,29.8799,29.9399,27.8999,28.1999,2650
2006-05-04,28.1999,30.5399,27.5999,30.3599,50133
2006-05-05,29.3999,31.1399,29.3999,30.5999,1733
2006-05-08,30.5999,30.8999,29.9999,30.1199,3600
2006-05-09,30.2999,32.8199,30.1199,31.6799,2367
2006-05-10,31.3199,31.4999,30.1199,30.6599,4017
2006-05-11,30.0599,30.8999,29.3999,29.3999,9667
2006-05-12,30.0599,31.4999,29.0999,29.2799,3750
2006-05-15,29.5799,29.5799,27.4799,27.7199,10650
2006-05-16,27.7199,27.7799,25.3199,25.3199,11717
2006-05-17,25.0199,25.0199,23.1000,23.5200,9983
2006-05-18,25.2599,25.2599,23.6400,23.7600,70050
2006-05-19,23.5800,24.4680,21.1200,21.3600,12467
2006-05-22,21.6600,22.5000,21.6600,22.5000,2283
2006-05-23,22.8600,23.1000,21.9600,22.2600,6183
2006-05-24,22.1400,22.6800,22.1400,22.6800,84150
2006-05-25,23.6400,24.0000,22.8600,23.1000,9433
2006-05-26,24.9000,25.4999,22.8600,23.1000,13117
2006-05-30,23.4000,24.8400,22.8000,23.4000,8017
2006-05-31,23.7000,24.0000,23.1000,23.1000,3467
2006-06-01,24.5400,25.5599,23.1600,23.4000,9083
2006-06-02,23.7000,25.7999,23.1000,23.1600,6333
2006-06-05,24.2400,24.7200,23.1000,23.1600,21533
2006-06-06,23.4000,24.5400,22.5000,22.5000,9517
2006-06-07,23.7000,23.7000,22.8000,22.8000,5533
2006-06-08,23.1000,23.7000,22.6800,23.1000,3267
2006-06-09,23.4000,24.1200,22.5000,22.5000,182450
2006-06-12,23.4600,24.0600,21.9000,22.2600,34933
2006-06-13,22.3200,23.2200,19.8000,20.0400,113750
2006-06-14,19.9800,23.2200,19.9800,22.7400,4167
2006-06-15,22.4400,23.4000,22.4400,23.3400,4250
2006-06-16,23.7600,23.8200,23.1600,23.1600,2433
