"MacroTrends Data Download"
"AIM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-07-12,1319.9989,1319.9989,1319.9989,1319.9989,0
1996-07-15,1451.9988,1515.3588,1451.9988,1451.9988,5
1996-07-16,1383.3589,1383.3589,1319.9989,1319.9989,9
1996-07-17,1256.6390,1319.9989,1256.6390,1319.9989,7
1996-07-18,1319.9989,1319.9989,1256.6390,1256.6390,5
1996-07-19,1256.6390,1256.6390,1187.9990,1187.9990,4
1996-07-22,1187.9990,1187.9990,1119.3591,1119.3591,35
1996-07-23,1055.9992,1187.9990,1055.9992,1055.9992,28
1996-07-24,1055.9992,1055.9992,1024.3192,1055.9992,4
1996-07-25,1055.9992,1055.9992,923.9993,955.6792,34
1996-07-26,992.6392,992.6392,992.6392,992.6392,1
1996-07-29,992.6392,992.6392,992.6392,992.6392,0
1996-07-30,992.6392,992.6392,923.9993,923.9993,12
1996-07-31,923.9993,992.6392,923.9993,992.6392,16
1996-08-01,955.6792,992.6392,892.3193,892.3193,73
1996-08-02,955.6792,955.6792,955.6792,955.6792,1
1996-08-05,955.6792,992.6392,908.1593,992.6392,71
1996-08-06,992.6392,992.6392,955.6792,992.6392,16
1996-08-07,955.6792,955.6792,955.6792,955.6792,2
1996-08-08,923.9993,992.6392,923.9993,955.6792,10
1996-08-09,860.6393,860.6393,860.6393,860.6393,2
1996-08-12,992.6392,992.6392,892.3193,892.3193,40
1996-08-13,892.3193,1024.3192,892.3193,992.6392,42
1996-08-14,1055.9992,1219.6790,1055.9992,1156.3191,36
1996-08-15,1288.3190,1483.6788,1288.3190,1420.3189,90
1996-08-16,1451.9988,1747.6786,1383.3589,1747.6786,505
1996-08-19,1911.3585,2275.6782,1847.9985,2275.6782,1503
1996-08-20,2111.9983,2703.3578,2048.6384,2080.3183,1406
1996-08-21,2143.6783,2143.6783,1816.3185,1911.3585,519
1996-08-22,1879.6785,2011.6784,1816.3185,1816.3185,316
1996-08-23,1847.9985,1911.3585,1784.6386,1847.9985,270
1996-08-26,1816.3185,1847.9985,1816.3185,1847.9985,241
1996-08-27,1847.9985,1879.6785,1747.6786,1879.6785,206
1996-08-28,1879.6785,2080.3183,1879.6785,2048.6384,407
1996-08-29,2048.6384,2143.6783,1979.9984,2080.3183,319
1996-08-30,2143.6783,2143.6783,1948.3184,2111.9983,63
1996-09-03,1979.9984,2080.3183,1911.3585,2011.6784,113
1996-09-04,2048.6384,2048.6384,1747.6786,1832.1585,212
1996-09-05,1847.9985,1847.9985,1715.9986,1847.9985,163
1996-09-06,1816.3185,1847.9985,1715.9986,1847.9985,479
1996-09-09,1816.3185,1911.3585,1816.3185,1911.3585,118
1996-09-10,1911.3585,1911.3585,1715.9986,1816.3185,382
1996-09-11,1816.3185,1847.9985,1684.3187,1784.6386,409
1996-09-12,1816.3185,1911.3585,1715.9986,1784.6386,340
1996-09-13,1784.6386,1816.3185,1747.6786,1784.6386,120
1996-09-16,1816.3185,1895.5185,1784.6386,1895.5185,429
1996-09-17,1895.5185,1979.9984,1715.9986,1800.4786,407
1996-09-18,1816.3185,1847.9985,1715.9986,1847.9985,313
1996-09-19,1832.1585,1832.1585,1784.6386,1816.3185,132
1996-09-20,1832.1585,1832.1585,1784.6386,1816.3185,72
1996-09-23,1816.3185,1832.1585,1816.3185,1832.1585,6
1996-09-24,1832.1585,1832.1585,1715.9986,1832.1585,107
1996-09-25,1832.1585,1832.1585,1784.6386,1784.6386,73
1996-09-26,1800.4786,1879.6785,1784.6386,1879.6785,305
1996-09-27,1816.3185,1863.8385,1715.9986,1800.4786,467
1996-09-30,1832.1585,1832.1585,1784.6386,1800.4786,481
1996-10-01,1816.3185,1816.3185,1784.6386,1784.6386,117
1996-10-02,1784.6386,1816.3185,1784.6386,1784.6386,477
1996-10-03,1784.6386,1816.3185,1784.6386,1784.6386,397
1996-10-04,1784.6386,1816.3185,1715.9986,1784.6386,1185
1996-10-07,1784.6386,1832.1585,1784.6386,1816.3185,765
1996-10-08,1847.9985,2143.6783,1832.1585,2111.9983,987
1996-10-09,2111.9983,2243.9982,2048.6384,2175.3583,670
1996-10-10,2243.9982,2407.6781,2143.6783,2391.8381,710
1996-10-11,2391.8381,2539.6780,2259.8382,2476.3180,610
1996-10-14,2444.6380,2476.3180,2275.6782,2307.3582,398
1996-10-15,2307.3582,2344.3181,2011.6784,2011.6784,456
1996-10-16,2111.9983,2243.9982,1979.9984,2212.3182,127
1996-10-17,2212.3182,2212.3182,2080.3183,2096.1583,161
1996-10-18,2175.3583,2175.3583,2048.6384,2175.3583,169
1996-10-21,2243.9982,2275.6782,2080.3183,2080.3183,179
1996-10-22,2143.6783,2159.5183,2048.6384,2080.3183,179
1996-10-23,2048.6384,2143.6783,2048.6384,2143.6783,110
1996-10-24,2080.3183,2159.5183,2080.3183,2111.9983,205
1996-10-25,2111.9983,2275.6782,2111.9983,2212.3182,219
1996-10-28,2175.3583,2243.9982,2111.9983,2143.6783,214
1996-10-29,2212.3182,2212.3182,2048.6384,2048.6384,84
1996-10-30,2048.6384,2143.6783,2048.6384,2048.6384,169
1996-10-31,2111.9983,2111.9983,1979.9984,2011.6784,216
1996-11-01,2080.3183,2080.3183,1863.8385,1932.4785,184
1996-11-04,1847.9985,1948.3184,1816.3185,1847.9985,100
1996-11-05,1816.3185,1847.9985,1652.6387,1684.3187,190
1996-11-06,1684.3187,1784.6386,1684.3187,1684.3187,54
1996-11-07,1715.9986,1784.6386,1684.3187,1747.6786,40
1996-11-08,1784.6386,1879.6785,1747.6786,1747.6786,105
1996-11-11,1763.5186,1784.6386,1668.4787,1684.3187,169
1996-11-12,1715.9986,1747.6786,1684.3187,1747.6786,21
1996-11-13,1784.6386,1784.6386,1652.6387,1684.3187,102
1996-11-14,1684.3187,1784.6386,1684.3187,1747.6786,102
1996-11-15,1784.6386,1784.6386,1652.6387,1668.4787,177
1996-11-18,1700.1586,1747.6786,1668.4787,1668.4787,64
1996-11-19,1747.6786,1747.6786,1668.4787,1668.4787,58
1996-11-20,1715.9986,1715.9986,1219.6790,1219.6790,804
1996-11-21,1272.4790,1420.3189,1256.6390,1319.9989,106
1996-11-22,1383.3589,1615.6787,1351.6789,1552.3188,186
1996-11-25,1451.9988,1451.9988,1288.3190,1383.3589,155
1996-11-26,1451.9988,1483.6788,1319.9989,1383.3589,134
1996-11-27,1383.3589,1816.3185,1383.3589,1784.6386,184
1996-11-29,1911.3585,1911.3585,1784.6386,1847.9985,229
1996-12-02,1847.9985,1847.9985,1763.5186,1784.6386,131
1996-12-03,1800.4786,1816.3185,1763.5186,1800.4786,216
1996-12-04,1784.6386,1847.9985,1536.4788,1583.9987,162
1996-12-05,1552.3188,2048.6384,1515.3588,1979.9984,399
1996-12-06,1964.1584,2011.6784,1847.9985,2011.6784,119
1996-12-09,2011.6784,2011.6784,1816.3185,1832.1585,69
1996-12-10,1763.5186,1832.1585,1715.9986,1747.6786,41
1996-12-11,1800.4786,1816.3185,1763.5186,1800.4786,55
1996-12-12,1747.6786,1816.3185,1731.8386,1731.8386,67
1996-12-13,1684.3187,1763.5186,1552.3188,1652.6387,262
1996-12-16,1652.6387,1715.9986,1631.5187,1652.6387,33
1996-12-17,1599.8387,1615.6787,1483.6788,1515.3588,112
1996-12-18,1451.9988,1552.3188,1451.9988,1483.6788,41
1996-12-19,1483.6788,1552.3188,1420.3189,1420.3189,70
1996-12-20,1451.9988,1451.9988,1288.3190,1288.3190,252
1996-12-23,1256.6390,1351.6789,1119.3591,1288.3190,334
1996-12-24,1288.3190,1383.3589,1288.3190,1383.3589,24
1996-12-26,1383.3589,1420.3189,1187.9990,1256.6390,216
1996-12-27,1219.6790,1219.6790,1087.6791,1087.6791,133
1996-12-30,1087.6791,1319.9989,1087.6791,1187.9990,289
1996-12-31,1119.3591,1288.3190,1119.3591,1187.9990,122
1997-01-02,1256.6390,1319.9989,1219.6790,1219.6790,60
1997-01-03,1219.6790,1288.3190,1187.9990,1187.9990,94
1997-01-06,1219.6790,1219.6790,1140.4791,1140.4791,133
1997-01-07,1156.3191,1187.9990,1156.3191,1187.9990,20
1997-01-08,1172.1591,1172.1591,1156.3191,1172.1591,33
