"MacroTrends Data Download"
"AKRO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-06-20,16.1600,21.9400,16.0600,18.3200,2983284
2019-06-21,17.5800,19.7000,16.8600,19.7000,304377
2019-06-24,19.7400,20.8300,18.7033,19.0400,296363
2019-06-25,19.1100,19.1100,17.4167,18.0800,201909
2019-06-26,18.3400,20.1300,17.4066,19.8300,138763
2019-06-27,19.7600,19.7600,18.2225,18.5600,50364
2019-06-28,18.6200,19.7300,18.5800,19.1500,87694
2019-07-01,19.3600,20.4200,18.7200,19.0300,160896
2019-07-02,18.7100,18.7700,17.6880,18.3500,60554
2019-07-03,18.4900,19.1900,17.8700,19.1900,61009
2019-07-05,19.2000,19.7200,17.1200,19.1800,144768
2019-07-08,18.8200,18.9008,17.7001,17.8500,39063
2019-07-09,17.8500,18.3500,17.1200,17.2000,85980
2019-07-10,17.4900,17.4900,16.1487,16.8900,80373
2019-07-11,16.6800,18.8500,16.0800,18.3700,153550
2019-07-12,18.5900,19.8800,17.1600,19.8800,62657
2019-07-15,20.4000,20.8100,19.8310,20.7500,99573
2019-07-16,20.8000,21.0000,20.5000,20.5300,72123
2019-07-17,20.4500,21.8900,19.0800,21.5500,138521
2019-07-18,21.2600,21.5400,20.4250,20.6400,72307
2019-07-19,20.5500,22.9061,19.5800,20.7800,34967
2019-07-22,20.5300,22.7350,19.7200,22.3800,77467
2019-07-23,22.5800,24.8200,22.5800,23.3500,120588
2019-07-24,23.3500,24.8900,22.8600,22.8600,19714
2019-07-25,22.7700,26.1800,22.2507,25.4100,39738
2019-07-26,25.6300,26.8712,25.1874,26.1200,32268
2019-07-29,26.0000,26.0000,22.3300,24.0900,123984
2019-07-30,24.3300,24.8900,23.3100,23.7600,32119
2019-07-31,23.5500,24.9000,23.5150,24.2000,47270
2019-08-01,24.4000,25.3635,24.2500,24.3700,47634
2019-08-02,24.3100,26.2800,23.5400,25.3000,40267
2019-08-05,25.1900,25.7500,23.5800,24.3100,49170
2019-08-06,24.5200,26.9100,23.6034,26.1000,99005
2019-08-07,25.8900,29.4800,24.7450,28.0100,68969
2019-08-08,27.9800,30.1300,24.5000,27.1000,62502
2019-08-09,26.9900,28.3850,24.3000,25.9500,299272
2019-08-12,25.0100,27.2100,25.0100,26.0000,86125
2019-08-13,26.2700,27.4500,25.2500,26.2800,152603
2019-08-14,26.0500,27.5000,25.0000,26.0600,57820
2019-08-15,26.4100,27.2700,24.8100,26.5000,70289
2019-08-16,26.5300,27.2217,25.6500,26.3400,81460
2019-08-19,26.5800,29.3000,25.0612,27.5900,92443
2019-08-20,27.4200,29.3700,27.0300,27.5200,80151
2019-08-21,27.7800,29.5400,27.7800,28.7400,93596
2019-08-22,28.7500,29.0000,27.5424,28.2900,74456
2019-08-23,28.1100,28.9900,27.5500,28.1600,38216
2019-08-26,28.4300,29.5386,25.3800,28.6500,146852
2019-08-27,28.6500,28.8750,27.0700,28.4100,102060
2019-08-28,28.4700,30.0650,26.8400,29.8800,183091
2019-08-29,29.9700,30.3020,28.1000,28.5300,116509
2019-08-30,28.8000,28.8500,26.7338,27.7100,89168
2019-09-03,27.7800,29.8900,27.0000,27.5300,60083
2019-09-04,27.7800,28.4150,25.8000,26.9700,92537
2019-09-05,26.6300,27.9950,25.0100,26.8500,101267
2019-09-06,27.0200,27.1550,25.4100,25.9400,77487
2019-09-09,26.0200,26.2000,21.4500,22.3700,96340
2019-09-10,22.2600,22.3900,20.5600,21.4500,117407
2019-09-11,21.4400,22.4700,20.9100,21.3200,66951
2019-09-12,20.9300,21.7850,20.1300,21.0500,77963
2019-09-13,21.0700,21.4300,20.1300,20.2000,97655
2019-09-16,20.1600,20.6300,18.3700,19.0400,138886
2019-09-17,18.9000,20.3391,17.1950,19.7400,129643
2019-09-18,19.6800,19.8000,18.5300,19.0000,197874
2019-09-19,19.0600,19.6550,17.6000,18.0100,130488
2019-09-20,18.2000,19.5000,17.7800,18.8800,911895
2019-09-23,19.0700,20.4100,19.0700,19.9600,121048
2019-09-24,20.0700,21.2600,18.9600,19.9000,180913
2019-09-25,19.7000,19.8400,18.8300,19.1600,170975
2019-09-26,19.1600,21.7000,18.9500,21.1000,94883
2019-09-27,21.2100,21.6540,19.3450,19.8300,142617
2019-09-30,19.8900,23.0900,19.8900,22.7500,160088
2019-10-01,22.7400,24.8200,22.7400,23.9600,164694
2019-10-02,23.8200,25.9700,21.5800,22.2900,153284
2019-10-03,22.5000,23.6000,20.1700,20.7500,59649
2019-10-04,20.8600,20.9800,19.0750,19.7300,54140
2019-10-07,19.3400,19.7500,18.0400,18.4500,200850
2019-10-08,18.4600,18.5000,17.1600,17.9700,90461
2019-10-09,18.1800,18.3400,17.2550,17.3700,105990
2019-10-10,17.4600,17.9450,17.0100,17.7400,48431
2019-10-11,17.8300,18.6900,17.3800,18.2500,41364
2019-10-14,18.3100,19.1190,18.1000,18.6900,60052
2019-10-15,18.8100,19.4650,18.4800,18.8900,49102
2019-10-16,19.0000,19.9900,18.6600,19.6200,51337
2019-10-17,19.7000,20.8800,19.5700,20.5800,97758
2019-10-18,20.4400,20.9800,19.5500,20.4300,53832
2019-10-21,20.5600,21.4500,20.4000,21.0300,44218
2019-10-22,21.1800,21.2900,20.3450,20.9200,49799
2019-10-23,20.9200,21.4494,19.9900,20.2900,50440
2019-10-24,20.3100,21.2850,19.9100,21.0600,111196
2019-10-25,21.0300,21.9100,20.4600,20.9900,144698
2019-10-28,21.3700,22.2100,20.1100,20.2100,76820
2019-10-29,20.2400,22.1400,19.8200,22.0100,65476
2019-10-30,22.0500,23.5500,21.6000,23.3500,89275
2019-10-31,23.3700,23.7500,22.5400,23.2100,52910
2019-11-01,23.3400,23.9000,22.2500,23.2000,44408
2019-11-04,23.3500,24.2434,21.6400,21.9600,64517
2019-11-05,21.9600,22.0350,20.8000,20.9600,45976
2019-11-06,18.9000,21.7400,18.6000,20.4700,35534
2019-11-07,20.6400,21.3450,19.0000,20.4200,47526
2019-11-08,20.3700,21.1900,19.7650,19.9700,62328
2019-11-11,19.8700,20.7800,19.4900,19.6300,67310
2019-11-12,19.2600,20.0500,17.6300,18.7700,75946
2019-11-13,18.9200,20.0700,18.6100,18.8900,35945
2019-11-14,19.0000,20.1988,18.7300,19.9700,80035
2019-11-15,20.1000,20.3800,18.6600,19.4800,77834
2019-11-18,19.4000,20.6544,19.0750,20.3200,104987
2019-11-19,20.3000,21.7100,20.0500,21.6900,131483
2019-11-20,21.8800,22.4200,20.3300,20.6500,124255
2019-11-21,21.3294,21.3294,19.8300,20.3300,64156
2019-11-22,20.7550,20.7550,19.4900,19.8300,67700
2019-11-25,19.7000,20.1400,18.1450,18.9000,91748
2019-11-26,19.0000,20.6500,18.4000,19.3600,102781
2019-11-27,19.4900,19.8350,18.7800,19.2100,69199
2019-11-29,18.5000,19.8900,18.5000,19.6900,25467
2019-12-02,19.6500,20.5800,18.9400,20.4000,44811
2019-12-03,20.2700,20.8599,18.6000,19.5600,96265
2019-12-04,19.6000,20.4200,18.8700,20.1100,81921
2019-12-05,19.8600,22.8600,19.7900,22.0600,97820
2019-12-06,22.2500,24.3100,21.3300,22.9900,125878
2019-12-09,22.9800,25.0600,22.2100,23.1700,83018
2019-12-10,23.1100,25.5000,23.1100,24.3500,91515
2019-12-11,24.3600,25.3000,22.5500,23.0000,74322
2019-12-12,23.0200,23.4500,19.6900,20.2800,106154
2019-12-13,20.5000,21.5400,20.3100,21.0900,55270
2019-12-16,20.9600,21.9400,18.8800,19.4500,141793
2019-12-17,19.5000,20.5700,18.4100,19.0900,175259
2019-12-18,19.1300,19.5500,18.8400,19.4000,92007
2019-12-19,19.3800,19.4300,18.5100,18.9900,137416
2019-12-20,18.9100,20.9400,18.9000,20.4400,528941
2019-12-23,20.6800,22.9300,20.0100,21.7200,120216
2019-12-24,21.8300,22.5800,21.2050,21.4100,35739
2019-12-26,21.5800,23.1300,21.2500,22.5500,126048
2019-12-27,22.7700,23.5200,21.5600,23.0800,104804
2019-12-30,23.1200,34.0000,22.9500,27.2700,831883
2019-12-31,26.2200,27.1352,21.8000,22.1950,349993
2020-01-02,22.3100,22.9613,19.3500,20.0800,302106
2020-01-03,20.1000,20.7900,18.8700,19.1700,187422
2020-01-06,19.0200,20.3800,16.8701,19.9400,675577
2020-01-07,20.7500,20.9000,19.7500,20.1100,311909
2020-01-08,20.0500,20.3000,19.6700,19.7500,250923
2020-01-09,19.8500,20.5050,19.8100,19.9600,118244
2020-01-10,20.1000,20.3000,19.8000,20.2300,155740
2020-01-13,20.4000,20.8700,19.7900,20.1100,606744
2020-01-14,20.1200,20.4200,19.7000,19.8400,75979
2020-01-15,19.8500,20.0800,19.6700,19.6900,85961
2020-01-16,19.7900,20.0019,19.6700,19.6900,234552
2020-01-17,19.7900,20.4500,19.7101,20.1800,121991
2020-01-21,21.4400,23.3100,21.0000,22.9400,377535
2020-01-22,23.0400,24.0900,21.8400,23.3100,216075
2020-01-23,23.4000,25.9400,23.2400,24.5000,167795
2020-01-24,24.7000,25.1600,23.1600,24.7100,152605
2020-01-27,24.4200,25.7500,23.2600,23.5900,124639
2020-01-28,23.7600,24.3600,23.4670,23.7000,67487
2020-01-29,23.5000,24.7400,23.5000,23.9000,54855
2020-01-30,24.0500,25.2900,23.7500,24.9000,81992
2020-01-31,25.0000,25.2600,24.2500,24.6900,119007
2020-02-03,24.6000,25.3200,24.2100,24.6500,123093
2020-02-04,24.7400,25.9700,24.3921,25.4000,210014
2020-02-05,25.4300,26.2600,25.2200,26.0700,70551
2020-02-06,26.2300,27.1600,26.2300,26.9200,148896
2020-02-07,26.5300,26.9200,25.3400,26.0900,110404
2020-02-10,27.1700,27.2150,26.2400,26.9200,90435
2020-02-11,27.0800,27.2700,26.5000,27.0500,105405
2020-02-12,27.1000,27.1000,24.6400,24.9700,91978
2020-02-13,25.1200,25.8900,24.6900,25.3300,81803
2020-02-14,25.6200,25.8400,22.7500,24.0200,190231
2020-02-18,25.0000,25.5000,23.9500,24.0700,88868
2020-02-19,24.1900,24.8665,23.5700,23.6900,66604
2020-02-20,23.3500,23.5400,22.5500,23.1500,125248
2020-02-21,23.1900,23.8999,22.5000,22.5900,250390
2020-02-24,22.6000,25.1000,22.6000,24.1500,561846
2020-02-25,24.1000,24.2433,22.1900,22.3400,215719
2020-02-26,22.3000,22.8700,22.0200,22.1700,107831
2020-02-27,22.0100,22.7800,21.6600,21.9900,103592
2020-02-28,21.5500,22.2100,20.5500,21.7700,153560
2020-03-02,23.2400,23.6400,22.6100,22.9200,187571
2020-03-03,23.0000,23.4900,22.4300,22.7200,132594
2020-03-04,23.1700,24.2500,23.1300,23.6600,164097
2020-03-05,23.3500,24.0000,23.0000,23.8200,164039
2020-03-06,23.4200,24.9350,23.2600,24.4100,197995
2020-03-09,23.3800,24.2100,21.7800,22.0500,185983
2020-03-10,22.4100,22.9900,21.4531,21.9500,157247
2020-03-11,21.5900,22.4000,20.5000,21.0100,185755
2020-03-12,19.9900,20.3750,14.7069,15.0050,283395
2020-03-13,15.6600,19.0600,10.7800,19.0000,335443
2020-03-16,17.0000,17.4800,12.5300,13.0400,212638
2020-03-17,13.5400,15.3800,13.0500,15.0300,201367
2020-03-18,14.3300,14.8700,12.5072,12.8000,117619
2020-03-19,12.8800,16.5000,12.8800,15.6500,156869
