"MacroTrends Data Download"
"ALPN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2015-06-17,66.0000,71.3600,59.0000,59.6800,1267841
2015-06-18,61.5200,61.5200,58.9600,59.0000,127079
2015-06-19,57.9200,60.3600,56.2800,59.0000,58080
2015-06-22,60.0000,60.0000,58.8000,59.5200,33704
2015-06-23,59.2800,60.0000,58.6820,59.4800,15160
2015-06-24,60.0000,60.0000,58.9600,59.1200,14147
2015-06-25,59.3200,59.6400,57.4400,59.2800,13106
2015-06-26,59.8000,60.0000,59.1200,59.9600,24139
2015-06-29,59.6000,60.0000,58.1200,60.0000,4642
2015-06-30,59.7600,61.1800,59.0000,60.6000,54071
2015-07-01,61.4800,63.8400,60.7592,63.7600,27139
2015-07-02,63.6400,65.0400,61.4000,64.3600,46049
2015-07-06,64.2400,64.2400,62.2152,63.9200,28239
2015-07-07,63.1600,64.6400,63.0400,63.9200,11668
2015-07-08,63.1200,64.7200,62.4800,63.4400,56588
2015-07-09,63.1600,64.0000,63.0400,63.9600,13990
2015-07-10,63.5200,67.2000,63.5200,66.4000,22620
2015-07-13,67.4800,71.9600,64.6000,65.6400,63893
2015-07-14,65.3600,67.5196,64.3600,66.4000,7523
2015-07-15,66.4000,67.4000,65.0400,65.9600,17728
2015-07-16,66.8800,70.6000,65.5520,69.9600,32045
2015-07-17,70.2000,76.8000,70.0500,76.0400,66469
2015-07-20,77.3200,78.4000,71.0000,72.4800,41704
2015-07-21,73.0000,74.9200,70.1200,72.5600,59019
2015-07-22,72.5200,73.8000,72.0000,73.4400,28890
2015-07-23,73.7200,74.9200,70.1600,71.0000,61608
2015-07-24,71.2400,72.7600,66.0976,72.4000,58940
2015-07-27,69.0800,72.8800,69.0800,72.8000,25531
2015-07-28,72.8800,72.8800,70.5600,71.4400,26152
2015-07-29,71.2800,74.0800,70.5600,71.2400,34723
2015-07-30,71.2400,72.7196,68.4804,69.6000,20662
2015-07-31,69.3600,71.0400,67.2000,67.8800,14467
2015-08-03,67.9600,67.9600,66.5200,66.8800,14961
2015-08-04,66.8000,71.1200,66.8000,69.2000,32446
2015-08-05,70.5600,71.4400,68.6400,70.7600,25555
2015-08-06,71.3600,72.2800,69.3200,70.4800,13963
2015-08-07,70.3200,71.3600,68.0800,70.8400,22599
2015-08-10,71.4400,71.4400,69.5200,69.9600,10049
2015-08-11,70.0000,71.4800,68.6400,71.4800,15121
2015-08-12,71.1600,71.2000,69.0000,69.2800,9620
2015-08-13,69.2000,70.5200,66.6000,67.3200,17133
2015-08-14,68.0400,69.0400,64.4800,68.9600,55618
2015-08-17,69.1200,75.2400,66.0404,72.6800,7675
2015-08-18,72.3600,74.6000,68.3360,73.0400,5769
2015-08-19,72.6000,75.3600,69.4800,74.1600,21719
2015-08-20,73.4800,75.9600,70.4800,74.6000,23350
2015-08-21,74.0400,81.7200,73.9600,80.6400,24709
2015-08-24,78.6000,79.1196,69.6080,70.2800,23734
2015-08-25,71.2000,74.1596,65.4800,65.6400,7788
2015-08-26,68.1200,68.1200,57.2400,61.6000,39386
2015-08-27,62.4000,63.5600,59.9604,61.8000,9495
2015-08-28,61.8000,63.1600,60.0000,60.8400,30661
2015-08-31,60.8000,72.8396,57.6400,58.1600,9292
2015-09-01,57.2000,58.6400,54.8000,57.6800,15093
2015-09-02,58.0000,58.6800,56.8400,57.7200,11186
2015-09-03,58.3600,58.8400,56.5600,57.2800,9326
2015-09-04,56.4800,57.6400,55.8400,57.5200,12200
2015-09-08,57.6000,59.0800,56.2000,57.4800,26845
2015-09-09,57.4400,60.1200,56.4400,57.4400,22121
2015-09-10,56.6400,59.6000,56.6400,58.8000,9858
2015-09-11,58.3600,63.7200,58.3600,61.1200,16641
2015-09-14,61.2800,64.6000,58.8000,62.8800,18010
2015-09-15,62.7200,64.8000,62.2800,64.1200,61541
2015-09-16,64.4400,66.2400,60.0000,62.4800,20284
2015-09-17,62.4000,74.3600,62.2400,72.0400,43621
2015-09-18,71.2800,72.5600,66.3208,69.4400,70930
2015-09-21,72.1600,73.9200,66.8800,68.0800,30798
2015-09-22,67.0800,69.7600,60.2000,61.0000,19816
2015-09-23,61.3200,64.3200,57.1200,57.9000,12613
2015-09-24,57.6400,59.6400,54.8600,56.1200,36612
2015-09-25,56.8400,60.4000,52.8800,54.7200,20819
2015-09-28,54.3600,55.2400,48.4400,50.9600,29356
2015-09-29,51.1600,55.0800,49.5600,51.0400,27161
2015-09-30,51.4000,55.0160,50.5400,51.8800,149972
2015-10-01,52.4400,54.4880,48.0400,49.8800,31323
2015-10-02,49.4800,50.9200,46.1600,47.0800,41633
2015-10-05,47.5600,48.0000,44.7600,45.7600,35373
2015-10-06,45.7200,46.4000,42.0800,45.4000,58850
2015-10-07,45.2800,48.3200,44.4400,45.6000,30036
2015-10-08,49.0800,50.8800,40.1200,40.2000,55738
2015-10-09,42.0000,42.0000,37.0004,37.4800,51598
2015-10-12,37.8400,37.8400,32.2400,33.5600,59778
2015-10-13,33.2400,34.6800,32.7600,34.1200,39496
2015-10-14,37.6000,37.6000,30.7600,32.3600,45048
2015-10-15,33.0000,34.7600,31.4400,34.4800,49677
2015-10-16,34.8000,35.3196,32.9200,33.2000,21593
2015-10-19,33.0000,34.5600,32.1200,33.2400,22841
2015-10-20,34.6000,34.6000,31.4400,31.9600,11854
2015-10-21,32.3200,34.1200,30.3440,31.0800,39860
2015-10-22,30.8000,32.0400,30.6000,31.9600,18451
2015-10-23,32.3200,33.0000,31.5200,32.5200,5156
2015-10-26,32.4800,32.6800,31.4400,32.0400,12772
2015-10-27,31.7200,32.4720,31.0000,32.0800,37611
2015-10-28,32.0400,33.3600,30.5200,33.0000,16768
2015-10-29,32.0800,33.0800,31.4228,31.9600,29194
2015-10-30,31.7600,32.5600,31.6000,32.0800,20733
2015-11-02,31.9200,33.6400,31.8800,33.1200,10794
2015-11-03,32.9600,36.4400,32.0400,33.0400,45366
2015-11-04,33.3200,35.0000,32.7928,34.9600,24700
2015-11-05,35.2400,36.7200,33.1600,33.8000,15040
2015-11-06,33.7600,35.2800,32.4000,33.6000,18925
2015-11-09,33.2800,35.6000,32.4800,34.6800,32216
2015-11-10,34.4800,35.4000,33.0000,33.3200,17001
2015-11-11,33.8000,34.7600,32.2400,32.4000,46736
2015-11-12,32.3600,33.0400,31.8000,32.4800,13638
2015-11-13,32.3600,32.6800,31.8000,32.0400,17284
2015-11-16,32.2000,32.5200,31.2800,32.1600,22250
2015-11-17,32.4000,32.8400,31.6400,32.0400,16308
2015-11-18,32.0800,33.2000,31.7600,33.0000,9985
2015-11-19,33.0000,34.4000,31.9204,32.3600,6932
2015-11-20,32.6000,33.9520,31.8400,32.5200,53290
2015-11-23,32.5200,34.0800,32.2400,33.1600,18017
2015-11-24,32.8000,35.9800,32.6800,34.4000,21766
2015-11-25,34.2800,35.1200,33.0800,34.3600,17636
2015-11-27,34.4400,34.7596,33.2000,33.8800,4512
2015-11-30,34.0400,34.5400,32.9600,33.2000,13804
2015-12-01,32.8800,33.5600,32.2400,32.4000,18985
2015-12-02,32.5600,34.1656,32.5600,32.6400,8207
2015-12-03,32.6800,33.0800,31.8400,32.0000,14122
2015-12-04,31.8800,32.6400,31.8800,32.0800,11958
2015-12-07,32.0000,32.6400,31.2000,32.0800,18124
2015-12-08,31.6000,32.3600,30.5600,32.2400,21496
2015-12-09,31.8400,32.6800,31.2400,31.7600,22654
2015-12-10,31.4800,32.7924,30.8000,31.7200,13079
2015-12-11,32.4800,32.7120,31.4400,31.8400,45602
2015-12-14,31.8400,32.3600,29.1200,31.6800,135980
2015-12-15,31.7200,31.8400,30.2400,31.5200,30750
2015-12-16,29.0000,32.0400,28.2004,31.2800,17713
2015-12-17,31.5600,32.4400,30.0000,32.1600,8740
2015-12-18,32.1600,34.1200,31.6000,33.8800,29304
2015-12-21,33.9200,36.2400,33.6400,36.0000,21327
2015-12-22,36.4400,37.8200,34.6800,35.2400,13896
2015-12-23,35.1200,35.5600,34.1204,35.0400,11799
2015-12-24,35.0800,36.0200,33.6800,34.0000,9970
2015-12-28,33.8800,34.4800,31.8400,32.4800,18033
2015-12-29,32.8400,34.0000,32.0000,33.8400,32168
2015-12-30,34.0000,34.0000,32.3200,32.5200,19325
2015-12-31,32.4800,32.6800,29.7200,30.9600,19784
2016-01-04,30.7200,30.7200,28.0400,29.1600,21624
2016-01-05,29.2800,29.3000,28.2000,28.5200,26968
2016-01-06,29.6000,29.6000,26.6000,27.4800,13764
2016-01-07,27.0000,27.3200,25.8600,27.0000,28809
2016-01-08,27.0000,27.6800,26.4400,26.6000,22566
2016-01-11,26.7200,26.8000,24.9200,25.3600,21452
2016-01-12,26.4800,26.4800,22.6800,23.6400,31897
2016-01-13,23.5600,23.5600,19.7200,20.2400,39655
2016-01-14,20.2400,20.2800,18.0800,19.9200,107563
2016-01-15,19.4400,24.4800,16.6000,23.0000,63920
2016-01-19,23.6800,23.6800,19.4600,21.4000,49406
2016-01-20,21.2000,23.6000,20.4800,22.4000,15651
2016-01-21,22.0400,23.5984,22.0400,22.5200,8160
2016-01-22,22.8000,23.6400,21.7600,22.6400,11130
2016-01-25,22.5600,23.4000,20.7204,21.6800,22579
2016-01-26,20.8400,21.8000,20.6400,21.8000,24117
2016-01-27,21.6400,21.9200,20.4000,20.6000,8063
2016-01-28,20.6000,21.6000,18.4000,18.6400,20595
2016-01-29,18.5200,19.8800,18.2560,18.7600,22709
2016-02-01,18.8000,19.9600,18.2800,19.4000,21694
2016-02-02,19.2400,20.0900,18.6400,20.0000,25344
2016-02-03,20.2400,20.4000,18.5000,20.0800,9736
2016-02-04,18.9296,20.5600,18.9296,20.2000,3837
2016-02-05,20.2800,20.6400,19.1600,19.4400,23072
2016-02-08,19.2800,19.6400,17.0000,17.7200,25632
2016-02-09,17.4800,18.9800,17.4400,17.8800,11441
2016-02-10,18.0800,19.5600,18.0600,18.6000,10730
2016-02-11,18.4000,18.8800,17.4200,17.9200,9329
2016-02-12,18.0800,19.8000,16.8000,18.8800,21866
2016-02-16,19.1600,21.0000,18.1600,19.6800,6014
2016-02-17,20.2400,20.2400,18.3200,19.1600,57795
2016-02-18,18.9200,19.5600,18.9200,19.1600,16181
2016-02-19,19.7600,19.8400,18.5600,19.0000,17147
2016-02-22,19.4816,19.4816,18.2000,18.7600,14830
2016-02-23,18.8000,19.0000,17.5400,18.0000,11149
2016-02-24,17.8000,18.3200,17.4400,18.0800,6933
2016-02-25,18.7600,18.7600,17.4400,17.7200,6181
2016-02-26,17.6800,19.2400,17.6800,18.5200,39865
2016-02-29,18.6400,18.6800,17.4800,18.1200,12050
2016-03-01,18.2000,19.1156,17.8000,18.7600,13306
2016-03-02,18.5200,20.2000,18.2400,19.2000,27067
2016-03-03,19.1600,19.6000,18.2000,19.3200,9195
2016-03-04,19.4400,20.7200,18.9600,20.4400,35911
2016-03-07,20.4400,22.6400,20.4400,22.6000,22315
2016-03-08,22.0400,22.2800,20.0000,20.6400,29377
2016-03-09,20.4400,20.4400,18.9200,19.7200,14855
2016-03-10,19.7600,20.0000,18.8800,19.2400,9139
2016-03-11,19.8000,20.0000,19.2000,19.5200,10945
2016-03-14,19.3200,20.1400,18.9600,19.1200,9978
2016-03-15,19.3200,19.6000,18.3600,18.4400,5726
2016-03-16,19.3196,19.3200,17.7200,17.9600,6706
2016-03-17,17.8000,18.4400,17.4400,18.0800,9009
2016-03-18,18.2400,19.1200,17.4800,18.0800,17208
2016-03-21,17.9600,18.9600,17.4400,17.6000,8395
2016-03-22,17.4400,17.8800,17.0200,17.2800,9561
2016-03-23,17.4400,19.2396,16.2120,16.2800,10291
2016-03-24,16.2400,17.8000,16.2400,16.8800,9044
2016-03-28,17.0400,18.3200,16.1200,16.1200,5105
2016-03-29,16.1600,16.1600,14.7200,16.0000,20764
2016-03-30,16.1600,16.1600,15.1600,15.7200,10911
2016-03-31,15.7600,17.3600,14.8000,16.6800,9966
2016-04-01,16.5600,18.1200,16.0400,17.4000,15251
2016-04-04,17.0800,18.1000,17.0800,17.2400,14277
2016-04-05,17.2400,17.4400,16.3600,16.5600,14606
2016-04-06,16.5600,18.2000,16.2000,17.9200,18751
2016-04-07,17.8400,18.5600,16.6800,17.8800,40745
2016-04-08,18.7600,18.7600,16.8400,17.3200,4688
2016-04-11,17.3600,17.8560,16.6000,16.6800,4673
2016-04-12,16.5800,17.5200,16.1600,17.4000,4812
2016-04-13,17.2800,19.0572,17.2800,18.6800,10333
2016-04-14,18.6200,19.2800,17.9204,18.6800,5685
2016-04-15,18.5600,18.9600,18.0000,18.4800,2996
2016-04-18,18.8000,19.0800,18.2800,18.7200,12959
2016-04-19,19.0796,19.0796,18.0000,18.3200,16014
2016-04-20,18.4200,18.6400,17.5884,18.0400,5235
2016-04-21,17.7200,18.6400,17.7200,18.4800,7887
2016-04-22,18.4800,19.2400,18.0100,18.9200,6819
2016-04-25,18.6400,19.4200,18.6000,19.1600,7208
2016-04-26,19.0400,19.1200,17.5200,17.9200,6951
2016-04-27,17.8000,17.8800,17.1936,17.4000,6608
2016-04-28,17.4800,18.1600,17.4000,17.4000,4127
2016-04-29,17.5200,17.5600,16.8000,16.9200,3724
2016-05-02,16.8000,16.8400,16.1600,16.7600,6588
2016-05-03,16.6800,18.0200,16.3600,18.0000,8436
2016-05-04,17.9200,18.2000,17.5600,17.8400,12505
2016-05-05,17.8000,18.1600,16.6000,17.7200,14653
2016-05-06,17.6800,18.3600,17.6000,17.8800,12585
2016-05-09,17.8800,17.8800,16.4872,16.7200,10130
2016-05-10,16.8400,17.0400,16.0000,16.9200,5486
2016-05-11,16.7600,16.7600,16.0000,16.0400,5083
2016-05-12,16.0004,16.0800,15.5200,15.6000,12585
2016-05-13,15.6800,17.0000,15.6000,16.6400,5799
2016-05-16,16.7088,18.3200,16.7088,18.2400,4352
2016-05-17,17.4800,18.1600,16.7600,16.9600,6132
2016-05-18,16.9600,17.4400,16.8800,17.3600,10124
2016-05-19,17.2800,17.6400,16.2000,16.9200,15515
2016-05-20,17.0400,17.8000,16.3600,17.6000,4540
2016-05-23,17.4800,18.4400,17.4800,18.0000,6527
2016-05-24,17.4340,18.6000,17.4340,18.4400,5017
2016-05-25,18.4000,20.3600,18.4000,20.0800,33042
2016-05-26,20.1600,20.1600,18.4400,18.6800,7733
2016-05-27,18.5600,19.8800,17.6404,19.1200,5359
2016-05-31,19.2000,20.9400,19.2000,19.9600,13880
2016-06-01,19.9600,20.8000,19.8400,20.5600,11646
2016-06-02,19.8400,20.9800,19.8400,20.6000,7260
2016-06-03,20.2000,20.2000,18.8000,19.6000,3663
2016-06-06,19.9600,20.8800,19.4400,20.2000,7462
2016-06-07,20.0800,20.9600,18.6400,19.4000,13139
2016-06-08,19.5200,19.5200,18.4000,18.4000,5067
2016-06-09,18.4000,18.7596,17.3400,17.7600,10317
2016-06-10,17.4400,18.4800,16.9200,17.6400,6556
2016-06-13,17.8000,18.2200,16.8000,16.8800,14883
2016-06-14,16.8000,18.1200,16.3200,16.5200,8292
2016-06-15,16.2400,16.6400,15.2404,16.1200,119961
2016-06-16,15.7600,15.8800,15.1600,15.7200,10813
2016-06-17,15.8000,17.0600,15.6960,15.9200,12149
2016-06-20,15.7600,16.8400,15.7600,15.9600,10983
2016-06-21,15.6400,15.9600,15.3632,15.7600,11570
2016-06-22,15.8000,17.3976,15.4000,16.6800,18594
2016-06-23,16.7200,17.5400,16.0400,17.0800,8196
2016-06-24,16.2400,17.8000,16.2400,17.4400,108069
2016-06-27,17.2000,18.3800,16.1560,16.5200,12053
2016-06-28,16.7600,18.3200,16.7200,17.9200,8019
2016-06-29,18.1600,18.6800,16.7600,17.9600,11661
2016-06-30,18.0000,18.8400,17.7200,18.4000,27624
2016-07-01,18.3200,19.2000,18.3200,19.0000,5928
2016-07-05,18.8000,19.1000,17.6800,18.6000,10203
2016-07-06,18.4000,19.2800,16.8400,17.5200,6934
2016-07-07,18.1600,18.2000,17.2004,17.8800,4329
2016-07-08,19.3000,19.3000,17.4948,18.4800,3433
2016-07-11,18.5600,20.1356,18.5600,18.9200,9913
2016-07-12,18.8800,19.7000,18.8404,19.1600,3643
2016-07-13,18.9600,19.8400,17.6400,17.8800,10410
2016-07-14,18.2000,18.7200,17.6400,17.9200,6932
2016-07-15,18.8400,19.0000,18.0000,18.6400,8112
2016-07-18,18.6400,18.6400,18.0000,18.0000,2178
2016-07-19,18.3600,18.8000,17.0800,17.6800,2627
2016-07-20,17.8800,18.7600,17.8000,18.2200,7470
2016-07-21,17.5600,18.9600,17.5600,18.9600,2500
