"MacroTrends Data Download"
"AMN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2001-11-13,21.0000,22.1000,20.0000,21.6600,5272700
2001-11-14,21.8500,21.9900,21.2500,21.6000,717600
2001-11-15,21.4000,21.7000,21.1000,21.6500,414200
2001-11-16,21.6500,21.7500,21.4000,21.5900,152900
2001-11-19,22.0000,22.2000,21.3900,21.4000,475400
2001-11-20,21.3000,23.0000,21.3000,23.0000,251700
2001-11-21,24.6500,24.6500,23.2500,23.5000,434900
2001-11-23,23.7000,23.7000,23.5100,23.5600,8600
2001-11-26,23.5500,23.9500,23.5000,23.6700,335300
2001-11-27,23.6800,23.7500,23.2000,23.5000,452200
2001-11-28,24.1200,24.1200,23.4100,23.8900,83100
2001-11-29,24.8000,24.8000,24.5000,24.6000,461700
2001-11-30,24.6500,26.0000,24.3000,26.0000,395100
2001-12-03,26.3500,26.3500,25.1500,26.3500,216700
2001-12-04,26.4000,26.7500,26.0500,26.6400,85500
2001-12-05,26.7700,27.9000,26.4000,26.4000,269600
2001-12-06,26.3800,26.3800,25.8000,25.8000,96100
2001-12-07,25.6000,25.6000,24.9000,25.2500,187300
2001-12-10,25.2500,25.6000,25.2400,25.5100,135300
2001-12-11,25.5000,25.5000,25.0000,25.2000,57900
2001-12-12,25.2000,25.6000,25.1000,25.5000,69300
2001-12-13,25.5500,25.5500,25.0000,25.0400,146300
2001-12-14,25.0100,25.1500,24.9300,24.9700,58200
2001-12-17,24.9500,24.9500,24.6500,24.6500,136500
2001-12-18,24.6500,24.9000,24.6500,24.8700,67900
2001-12-19,24.8000,26.2000,24.8000,26.2000,71900
2001-12-20,26.2000,26.7500,26.0000,26.7500,134300
2001-12-21,26.7000,27.2000,26.6200,26.8500,186300
2001-12-24,26.8500,27.1000,26.7000,27.0000,13900
2001-12-26,27.0500,27.1000,26.7700,27.1000,35300
2001-12-27,27.1000,27.3500,26.7000,27.3500,40800
2001-12-28,27.3000,27.5000,27.2600,27.5000,54400
2001-12-31,27.5000,27.6200,27.2500,27.4000,13600
2002-01-02,27.3000,27.4000,26.6000,27.4000,55000
2002-01-03,27.4500,27.4500,27.1000,27.2500,68500
2002-01-04,27.5000,27.5000,26.5000,26.9700,33100
2002-01-07,27.1100,27.1100,26.8500,26.8500,126100
2002-01-08,26.8500,26.8500,26.4500,26.5000,40300
2002-01-09,26.3500,26.4900,25.6900,25.6900,50500
2002-01-10,25.7000,25.7000,25.1500,25.2100,66600
2002-01-11,25.2000,25.3000,25.1100,25.1800,29100
2002-01-14,25.2000,25.2000,24.9400,24.9400,38900
2002-01-15,24.8400,24.8400,23.9000,24.0500,47100
2002-01-16,24.0500,24.0500,21.9000,22.3900,219500
2002-01-17,22.5000,22.8500,22.5000,22.8000,68500
2002-01-18,22.9000,23.0000,22.8000,22.8000,19800
2002-01-22,22.8000,22.8000,20.5000,21.0100,397500
2002-01-23,22.5600,22.5600,21.0000,22.5000,135400
2002-01-24,22.6000,23.2500,22.5000,23.2500,80000
2002-01-25,23.2000,23.3000,23.0000,23.0800,52700
2002-01-28,23.3500,23.3500,23.1600,23.1900,46900
2002-01-29,23.2500,23.3000,23.0000,23.0500,38600
2002-01-30,23.0500,23.1000,22.9000,23.0000,227800
2002-01-31,23.0000,23.4000,22.9500,23.4000,607500
2002-02-01,24.6000,24.6000,23.9900,24.5500,116500
2002-02-04,24.6000,24.6000,24.4000,24.4900,300800
2002-02-05,24.3500,24.3500,23.6500,23.8500,49300
2002-02-06,23.8000,23.8000,23.5000,23.5000,6600
2002-02-07,23.5000,23.5100,22.6000,22.7000,22300
2002-02-08,22.7000,23.5800,22.6900,23.5800,40300
2002-02-11,23.5800,23.9400,23.5800,23.9400,24100
2002-02-12,24.0500,24.8500,24.0500,24.7300,153700
2002-02-13,24.7300,24.7300,24.1000,24.3500,99500
2002-02-14,24.3600,26.5000,24.3600,26.0000,906800
2002-02-15,26.9500,26.9500,26.1500,26.5500,78000
2002-02-19,26.3500,27.1500,26.3500,26.9900,292700
2002-02-20,28.4000,28.4000,26.9000,28.0000,237700
2002-02-21,27.9900,28.0000,27.5000,27.7700,69600
2002-02-22,27.7700,27.9500,27.3000,27.3000,56700
2002-02-25,27.4000,27.5000,26.9200,27.2500,43300
2002-02-26,27.2800,27.4000,26.2100,26.3700,214700
2002-02-27,26.4500,26.5500,26.3000,26.3900,113300
2002-02-28,26.3800,26.6000,26.1500,26.2500,75600
2002-03-01,26.2500,26.3000,25.9500,25.9500,125900
2002-03-04,25.9000,26.0000,25.0000,25.3500,49400
2002-03-05,25.5500,26.1000,25.4000,25.6000,106600
2002-03-06,25.6000,26.2500,25.5800,26.2500,63600
2002-03-07,26.3000,26.6000,25.9000,26.2100,237300
2002-03-08,26.4100,26.7500,26.3000,26.5000,96300
2002-03-11,26.5000,27.0000,26.4300,27.0000,289800
2002-03-12,27.5500,27.5500,26.9000,27.5500,81300
2002-03-13,27.3000,28.0000,26.9500,26.9500,81700
2002-03-14,26.9000,26.9000,26.0000,26.4500,105600
2002-03-15,26.4000,26.6500,26.3000,26.5000,172000
2002-03-18,26.5000,26.8000,26.4000,26.4900,116000
2002-03-19,26.5000,26.7000,26.3500,26.5500,204400
2002-03-20,26.5500,27.0000,26.4100,27.0000,158800
2002-03-21,27.1300,27.1300,26.8500,27.0000,177300
2002-03-22,27.0500,27.0500,26.5000,26.5000,51600
2002-03-25,26.5000,26.7000,26.4900,26.5000,25200
2002-03-26,26.4000,26.5000,26.3800,26.4900,151000
2002-03-27,26.6300,26.6300,26.3500,26.6000,64300
2002-03-28,26.8000,27.0000,26.7500,26.9000,77100
2002-04-01,26.9500,26.9500,26.6400,26.7000,176600
2002-04-02,26.7000,26.8000,26.0000,26.0000,67800
2002-04-03,26.0000,27.5000,26.0000,27.5000,127300
2002-04-04,27.5000,29.2500,27.5000,28.7600,212500
2002-04-05,28.7600,29.0500,28.3000,28.8500,84700
2002-04-08,28.8600,29.0000,28.5500,29.0000,82900
2002-04-09,28.9000,29.0500,28.7600,28.9800,99600
2002-04-10,28.8800,29.2500,28.7100,29.2500,65000
2002-04-11,29.1700,29.2500,28.2000,28.3000,105200
2002-04-12,28.3000,28.5500,28.0000,28.2500,64800
2002-04-15,28.3500,29.4500,28.3500,29.1100,215300
2002-04-16,29.1100,29.5000,28.7600,28.9800,247900
2002-04-17,28.9900,31.1000,28.8000,30.9000,521500
2002-04-18,30.8000,31.4900,30.2500,30.5000,175200
2002-04-19,30.5000,30.6500,30.0000,30.2500,51800
2002-04-22,30.0200,30.1200,29.5000,29.7900,42600
2002-04-23,29.8000,30.4500,29.6500,30.4500,177500
2002-04-24,30.4500,30.4500,29.0000,29.3000,301800
2002-04-25,29.4500,30.0000,29.3500,29.9700,84500
2002-04-26,30.0000,30.4500,29.6000,29.9900,63100
2002-04-29,30.1000,31.6400,30.0500,31.5000,111100
2002-04-30,31.5000,31.5400,30.7800,30.8100,84500
2002-05-01,31.0000,31.5000,30.9500,31.4500,46100
2002-05-02,31.4900,31.6500,30.9600,31.0400,101400
2002-05-03,31.0500,32.9500,30.4900,32.0000,77700
2002-05-06,32.0100,32.0500,31.5300,32.0000,103800
2002-05-07,31.9000,31.9100,31.0000,31.1700,26200
2002-05-08,31.2500,31.5500,29.7500,30.2400,112700
2002-05-09,30.0900,30.1000,28.3500,29.5000,450700
2002-05-10,29.4000,30.0000,29.4000,29.8100,90700
2002-05-13,29.8100,30.2000,28.9300,29.6900,73900
2002-05-14,29.8400,31.1000,29.8400,30.4700,245900
2002-05-15,30.4200,30.9600,30.1200,30.4300,102200
2002-05-16,30.4300,31.8900,30.4000,31.5900,357300
2002-05-17,32.0000,33.0000,32.0000,33.0000,3417000
2002-05-20,33.0000,33.6900,32.4600,33.5200,586700
2002-05-21,33.5300,33.8200,32.0100,32.3300,416100
2002-05-22,32.4200,32.9000,32.4000,32.6500,298800
2002-05-23,32.6400,33.2400,32.5000,33.1900,366200
2002-05-24,33.2000,33.5000,32.7900,33.0300,90100
2002-05-28,33.1500,33.9400,32.9000,33.7500,136700
2002-05-29,33.7600,34.4000,33.7600,34.0100,398800
2002-05-30,33.4500,34.2800,33.4500,34.2000,461700
2002-05-31,34.0000,35.1900,33.7000,34.9700,466200
2002-06-03,34.9700,35.2700,34.6000,34.9600,173500
2002-06-04,34.8000,34.8000,32.0000,33.5700,418300
2002-06-05,33.5700,35.1000,33.5700,34.8500,221200
2002-06-06,35.0000,35.9500,34.9100,35.7600,450600
2002-06-07,35.7600,36.5000,34.8000,36.3000,397800
2002-06-10,36.8000,37.4000,35.9100,36.0900,544000
2002-06-11,36.1500,36.6000,36.1500,36.3100,245100
2002-06-12,36.3100,36.5500,35.0500,35.3600,392300
2002-06-13,35.3700,36.2500,35.2100,35.3500,251700
2002-06-14,35.2500,35.2500,33.3300,34.8200,602500
2002-06-17,34.8200,36.0800,34.8200,36.0000,229200
2002-06-18,36.9500,37.0500,35.8800,36.5000,429900
2002-06-19,36.5000,36.8500,36.1500,36.5500,442600
2002-06-20,36.6000,37.1000,36.2000,36.2100,162800
2002-06-21,36.1100,36.1200,34.3500,34.6500,238300
2002-06-24,34.6500,34.6500,33.5000,33.8500,164200
2002-06-25,33.6000,33.6700,32.9000,33.5300,172300
2002-06-26,33.5300,33.8900,31.5000,33.6000,285000
2002-06-27,33.8500,34.7900,33.8500,34.7500,277500
2002-06-28,34.7800,35.7500,34.4500,35.0100,304100
2002-07-01,35.0600,35.0600,32.9500,33.3100,197900
2002-07-02,33.3100,33.3800,29.2500,31.2000,961900
2002-07-03,31.1000,31.1000,29.6500,30.4100,571700
2002-07-05,30.5000,31.6000,30.5000,31.6000,168900
2002-07-08,31.5800,32.4400,30.7200,31.8900,327100
2002-07-09,31.8900,31.8900,30.6000,30.7000,191800
2002-07-10,30.7000,30.7000,29.0900,29.2200,321700
2002-07-11,29.1200,29.3500,28.3000,29.0500,509700
2002-07-12,29.1500,30.7500,29.1500,29.9800,336700
