"MacroTrends Data Download"
"AMYT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-07-08,14.2600,15.5000,10.2450,11.2500,37977
2020-07-09,12.4900,12.4900,11.0000,11.0000,63209
2020-07-10,10.3500,11.5000,10.3500,11.0750,4742
2020-07-13,11.1500,11.4900,10.6681,11.4900,5124
2020-07-14,11.3800,12.2500,11.0000,11.5000,2750
2020-07-15,11.0600,11.5650,10.7501,11.0100,13658
2020-07-16,11.0000,12.0000,10.9900,11.5000,4985
2020-07-17,10.7501,11.9699,10.7500,11.0000,9722
2020-07-20,11.2500,12.0000,11.0001,11.1121,21473
2020-07-21,12.0000,12.0000,10.2300,11.7950,60333
2020-07-22,11.5000,11.9899,11.5000,11.5100,65549
2020-07-23,12.0400,12.3450,11.6500,11.6500,11673
2020-07-24,11.9150,11.9150,11.5000,11.5000,4654
2020-07-27,11.7600,11.7600,10.0600,11.5000,4264
2020-07-28,11.1538,11.4950,11.0000,11.3900,4979
2020-07-29,11.2000,11.3900,11.0000,11.3300,11829
2020-07-30,11.1300,11.1300,10.1400,10.8000,6628
2020-07-31,10.8000,11.0600,10.6800,10.9900,9040
2020-08-03,10.5900,11.8200,10.2500,11.2500,32615
2020-08-04,12.2200,12.2200,11.2500,11.4500,45597
2020-08-05,11.7000,11.9999,10.6110,11.1250,16881
2020-08-06,11.7500,11.9000,11.1500,11.3400,153667
2020-08-07,11.3900,11.7800,11.3800,11.6100,6998
2020-08-10,12.0300,12.3974,11.2000,11.3000,17767
2020-08-11,11.2500,11.7878,11.2001,11.3000,16464
2020-08-12,11.3000,12.0050,11.3000,11.5800,21193
2020-08-13,11.1100,11.5500,11.1100,11.3900,11559
2020-08-14,11.3100,11.5100,11.3000,11.5000,23353
2020-08-17,11.3015,11.3200,11.0300,11.2400,38634
2020-08-18,11.4500,11.5000,11.0100,11.2400,76213
2020-08-19,11.4300,12.0000,11.2400,11.3300,24060
2020-08-20,11.4000,11.4000,11.3500,11.4000,504
2020-08-21,11.4800,11.5998,10.8001,11.4100,9261
2020-08-24,11.4100,11.4100,11.4100,11.4100,194
2020-08-25,11.6400,11.7200,11.1000,11.5800,29920
2020-08-26,12.2200,12.2200,11.3600,11.3600,10212
