"MacroTrends Data Download"
"ANIP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2000-05-05,212.4000,212.4000,212.4000,212.4000,0
2000-05-08,212.4000,212.4000,212.4000,212.4000,0
2000-05-09,212.4000,212.4000,212.4000,212.4000,0
2000-05-10,212.4000,212.4000,212.4000,212.4000,0
2000-05-11,212.4000,212.4000,212.4000,212.4000,0
2000-05-12,187.2000,212.4000,187.2000,212.4000,0
2000-05-15,212.4000,212.4000,212.4000,212.4000,0
2000-05-16,212.4000,212.4000,212.4000,212.4000,0
2000-05-17,212.4000,212.4000,212.4000,212.4000,0
2000-05-18,187.2000,212.4000,187.2000,198.0000,0
2000-05-19,198.0000,198.0000,198.0000,198.0000,0
2000-05-22,198.0000,198.0000,198.0000,198.0000,0
2000-05-23,198.0000,198.0000,198.0000,198.0000,0
2000-05-24,180.0000,198.0000,180.0000,180.0000,0
2000-05-25,172.8000,172.8000,172.8000,172.8000,0
2000-05-26,172.8000,172.8000,172.8000,172.8000,0
2000-05-30,172.8000,172.8000,172.8000,172.8000,0
2000-05-31,198.0000,252.0000,169.2000,252.0000,100
2000-06-01,252.0000,252.0000,230.4000,252.0000,0
2000-06-02,252.0000,450.0000,241.2000,450.0000,0
2000-06-05,406.8000,406.8000,277.2000,360.0000,0
2000-06-06,342.0000,342.0000,270.0000,270.0000,0
2000-06-07,270.0000,270.0000,270.0000,270.0000,0
2000-06-08,288.0000,316.8000,270.0000,270.0000,0
2000-06-09,316.8000,316.8000,316.8000,316.8000,0
2000-06-12,316.8000,360.0000,302.4000,320.4000,100
2000-06-13,338.4000,378.0000,298.8000,378.0000,0
2000-06-14,378.0000,381.6000,360.0000,360.0000,0
2000-06-15,342.0000,342.0000,291.6000,327.6000,0
2000-06-16,331.2000,360.0000,316.8000,342.0000,0
2000-06-19,316.8000,378.0000,316.8000,378.0000,0
2000-06-20,392.4000,392.4000,302.4000,349.2000,0
2000-06-21,316.8000,360.0000,316.8000,360.0000,0
2000-06-22,360.0000,360.0000,316.8000,316.8000,0
2000-06-23,360.0000,360.0000,316.8000,316.8000,0
2000-06-26,338.4000,338.4000,316.8000,338.4000,0
2000-06-27,360.0000,360.0000,360.0000,360.0000,0
2000-06-28,360.0000,360.0000,360.0000,360.0000,0
2000-06-29,291.6000,360.0000,288.0000,360.0000,0
2000-06-30,360.0000,360.0000,302.4000,302.4000,0
2000-07-03,327.6000,327.6000,327.6000,327.6000,0
2000-07-05,360.0000,360.0000,302.4000,320.4000,0
2000-07-06,360.0000,367.2000,342.0000,367.2000,0
2000-07-07,338.4000,370.8000,338.4000,367.2000,0
2000-07-10,370.8000,370.8000,356.4000,370.8000,0
2000-07-11,367.2000,367.2000,360.0000,360.0000,0
2000-07-12,327.6000,327.6000,327.6000,327.6000,0
2000-07-13,356.4000,367.2000,356.4000,360.0000,0
2000-07-14,360.0000,360.0000,331.2000,331.2000,0
2000-07-17,367.2000,367.2000,349.2000,349.2000,0
2000-07-18,342.0000,342.0000,342.0000,342.0000,0
2000-07-19,342.0000,342.0000,342.0000,342.0000,0
2000-07-20,342.0000,367.2000,338.4000,367.2000,0
2000-07-21,327.6000,360.0000,327.6000,360.0000,0
2000-07-24,302.4000,302.4000,302.4000,302.4000,0
2000-07-25,302.4000,302.4000,302.4000,302.4000,0
2000-07-26,288.0000,288.0000,288.0000,288.0000,0
2000-07-27,302.4000,327.6000,302.4000,302.4000,500
2000-07-28,291.6000,291.6000,288.0000,288.0000,0
2000-07-31,291.6000,291.6000,291.6000,291.6000,0
2000-08-01,291.6000,291.6000,291.6000,291.6000,0
2000-08-02,338.4000,338.4000,338.4000,338.4000,0
2000-08-03,338.4000,338.4000,338.4000,338.4000,0
2000-08-04,338.4000,338.4000,327.6000,327.6000,0
2000-08-07,291.6000,291.6000,291.6000,291.6000,0
2000-08-08,302.4000,302.4000,302.4000,302.4000,0
2000-08-09,302.4000,302.4000,302.4000,302.4000,0
2000-08-10,327.6000,327.6000,298.8000,298.8000,100
2000-08-11,338.4000,342.0000,338.4000,342.0000,0
2000-08-14,327.6000,327.6000,291.6000,309.6000,0
2000-08-15,302.4000,302.4000,302.4000,302.4000,0
2000-08-16,298.8000,316.8000,291.6000,316.8000,0
2000-08-17,327.6000,327.6000,291.6000,302.4000,0
2000-08-18,302.4000,302.4000,302.4000,302.4000,0
2000-08-21,298.8000,327.6000,298.8000,327.6000,0
2000-08-22,327.6000,327.6000,327.6000,327.6000,0
