"MacroTrends Data Download"
"ARCT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-05-22,57.7501,58.1001,50.1201,52.8501,225428
2013-05-23,50.7501,52.5001,50.1201,50.4701,23543
2013-05-24,50.4001,51.8001,47.9500,50.7501,12286
2013-05-28,55.3001,55.3001,47.6700,48.7900,9129
2013-05-29,49.6300,49.6300,47.8100,47.9500,9286
2013-05-30,48.6500,50.1901,47.7400,50.1901,3200
2013-05-31,53.9701,53.9701,48.8600,50.4001,3386
2013-06-03,49.7000,49.9800,48.0900,48.1600,1757
2013-06-04,49.3500,49.3500,46.6900,47.8800,3514
2013-06-05,48.8593,49.9100,46.2000,49.9100,4086
2013-06-06,48.7900,50.0501,48.7200,49.0000,1671
2013-06-07,49.1463,50.5401,49.1463,50.5401,1743
2013-06-10,50.4001,50.4001,49.2107,49.2107,500
2013-06-11,48.3007,49.6328,48.3000,49.0000,1100
2013-06-12,48.2300,49.5600,47.7400,47.9500,1243
2013-06-13,47.7407,49.8400,47.7400,48.5100,2429
2013-06-14,50.5401,50.5401,48.7200,49.7000,1486
2013-06-17,49.0000,50.1194,48.5100,48.6500,2700
2013-06-18,50.1677,50.1677,46.9000,49.0000,4200
2013-06-19,49.0700,51.7294,48.0900,49.5600,3243
2013-06-20,48.7200,49.8400,48.6500,49.7000,400
2013-06-21,49.4200,49.4200,47.3207,48.3700,1043
2013-06-24,47.3200,50.3301,45.5000,46.4800,3857
2013-06-25,51.5551,51.5894,46.9700,47.3200,3343
2013-06-26,47.5300,48.3700,47.2500,47.3900,1957
2013-06-27,47.4600,48.9293,47.3900,47.3900,1671
2013-06-28,47.8100,48.9293,46.9000,47.9500,1300
2013-07-01,48.2993,48.5100,47.8100,48.5100,243
2013-07-02,47.6007,49.7000,47.6007,48.6500,1557
2013-07-03,50.1901,50.2601,48.1600,48.4407,443
2013-07-05,49.3500,49.3500,47.8100,47.8800,900
2013-07-08,50.1201,57.1194,49.1400,55.3001,14443
2013-07-09,57.0501,58.8701,55.0901,58.3101,17771
2013-07-10,59.5001,66.5701,58.4501,63.4201,17114
2013-07-11,67.6551,67.9701,62.3001,67.2001,17443
2013-07-12,66.5701,78.9601,66.5001,74.8301,37943
2013-07-15,79.7301,80.1501,68.3908,71.7501,17471
2013-07-16,71.5401,76.2994,70.0701,70.0701,7657
2013-07-17,71.6101,71.6101,68.2501,70.0001,7400
2013-07-18,70.0001,70.0701,67.2001,69.2301,10000
2013-07-19,69.3001,70.0001,68.2501,69.7901,4371
2013-07-22,69.6501,70.7001,69.4401,70.0701,5943
2013-07-23,71.1201,71.4701,69.6501,70.0701,9929
2013-07-24,71.0501,73.5001,70.9101,71.4001,8757
2013-07-25,71.4001,72.4501,71.4001,71.4001,1229
2013-07-26,70.7421,72.1001,70.0001,71.0501,3014
2013-07-29,70.7001,71.4001,66.9901,69.9301,2286
2013-07-30,69.7901,70.2801,69.3071,70.2801,3329
2013-07-31,71.3931,73.5001,70.0001,72.4501,2757
2013-08-01,77.0001,86.6594,77.0001,84.0001,20400
2013-08-02,84.7701,101.1501,84.7001,98.0001,20214
2013-08-05,102.9001,106.1901,98.1401,102.2701,21029
2013-08-06,107.3801,110.8101,88.5501,92.0501,16571
2013-08-07,88.5501,92.3294,81.2001,90.9301,8443
2013-08-08,93.8701,100.4501,91.2101,100.3801,9114
2013-08-09,100.8001,105.3501,99.7501,100.9401,7543
2013-08-12,100.5901,103.5301,95.9708,101.3601,8557
2013-08-13,102.4101,103.1094,98.0708,99.8901,6329
2013-08-14,101.5001,101.5001,95.1301,99.8201,2729
2013-08-15,99.7501,99.7501,96.2501,97.7201,1929
2013-08-16,89.3201,97.8531,80.4651,96.3901,11971
2013-08-19,93.8001,97.2931,93.8001,96.3201,771
2013-08-20,97.4401,97.9301,93.3101,93.3101,486
2013-08-21,94.0801,96.6701,92.0501,96.6701,871
2013-08-22,95.8301,97.3001,92.4701,92.5401,5857
2013-08-23,95.7601,96.3201,93.3801,94.5001,2971
2013-08-26,96.5721,96.5721,92.5401,94.4301,3500
2013-08-27,92.4708,93.1001,89.7401,90.2301,1914
2013-08-28,88.8301,91.6301,84.2801,91.0701,2214
2013-08-29,88.4801,93.0973,88.4801,91.7701,1514
2013-08-30,93.8631,93.8631,89.8801,90.2301,1586
2013-09-03,91.4201,91.9731,87.5001,87.5701,1186
2013-09-04,91.0001,91.0001,86.0308,87.2901,1800
2013-09-05,89.6001,93.8001,89.6001,93.7126,2343
2013-09-06,91.5601,97.9301,89.7408,96.3201,2414
2013-09-09,97.0901,102.4801,96.9501,102.1301,5414
2013-09-10,103.4601,108.5001,102.2001,104.7201,8829
2013-09-11,105.8401,118.2301,104.7208,113.3301,8429
2013-09-12,113.8201,117.2431,108.7101,113.4701,2543
2013-09-13,115.4301,116.2001,108.7101,113.7501,1829
2013-09-16,115.9901,118.2994,112.0701,112.0701,2229
2013-09-17,115.0101,115.0101,108.5001,109.7601,3029
2013-09-18,109.7601,111.9301,109.5501,109.5508,843
2013-09-19,109.7671,112.0001,109.7601,109.7601,1743
2013-09-20,110.0401,111.9294,110.0401,111.4401,429
2013-09-23,110.3901,110.3901,108.5701,109.7601,471
2013-09-24,108.5008,109.3401,105.3501,105.5601,1743
2013-09-25,105.7001,111.8601,105.7001,111.2301,1643
2013-09-26,112.0001,120.8901,110.7226,118.3001,3586
2013-09-27,117.2501,132.7201,116.9001,130.9701,7686
2013-09-30,132.8601,132.9301,122.5001,126.2801,6186
2013-10-01,127.6801,131.1801,126.1751,126.7701,2586
2013-10-02,129.5001,145.9501,129.3993,143.3601,11286
2013-10-03,143.0801,164.5002,140.0001,162.8202,6957
2013-10-04,163.6602,188.7202,163.6602,172.7602,14914
2013-10-07,173.6002,188.0202,173.6002,178.5702,12171
2013-10-08,182.1402,187.4602,137.9001,159.3902,20343
2013-10-09,161.0002,164.5002,142.3801,144.7601,11086
2013-10-10,145.0401,166.6002,145.0401,155.7502,5700
2013-10-11,154.7702,155.1202,141.1901,155.1202,5257
2013-10-14,155.4002,155.4002,143.6401,150.2902,5843
2013-10-15,150.4652,150.4652,130.6201,140.3501,12457
2013-10-16,138.2501,148.7501,118.0201,132.7901,16800
2013-10-17,135.1701,140.4831,126.0701,135.0301,6800
2013-10-18,134.1201,138.9501,129.8501,135.0301,6857
2013-10-21,137.6201,137.6201,124.2501,126.8401,4157
2013-10-22,125.6501,125.6501,109.9001,114.0301,16600
2013-10-23,114.1001,114.1001,103.4601,109.7601,19714
2013-10-24,108.9901,123.1301,104.3701,119.7001,23129
2013-10-25,124.2501,131.2501,118.8601,119.0701,138886
2013-10-28,122.5001,122.9901,119.3501,119.8401,20957
