"MacroTrends Data Download"
"ASRT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1997-12-03,15.5200,15.5200,15.0000,15.0000,1400
1997-12-04,15.0000,15.0000,15.0000,15.0000,0
1997-12-05,15.0000,15.0000,15.0000,15.0000,0
1997-12-08,15.0000,15.0000,15.0000,15.0000,0
1997-12-09,15.0000,15.0000,15.0000,15.0000,1300
1997-12-10,15.0000,15.5200,15.0000,15.5200,10375
1997-12-11,15.0000,15.0000,15.0000,15.0000,3675
1997-12-12,15.0000,15.0000,14.4800,14.4800,3175
1997-12-15,14.4800,14.7600,14.4800,14.7600,1500
1997-12-16,14.0000,14.0000,13.5200,13.5200,1750
1997-12-17,12.4800,14.0000,12.4800,12.4800,225
1997-12-18,12.4800,14.0000,10.0000,10.0000,14250
1997-12-19,11.7600,11.7600,11.7600,11.7600,3425
1997-12-22,11.7600,12.2400,10.7600,11.2400,6850
1997-12-23,12.0000,13.0000,11.7600,13.0000,9150
1997-12-24,14.0000,16.0000,14.0000,15.0000,4250
1997-12-26,15.5200,15.5200,14.7600,14.7600,375
1997-12-29,14.7600,18.7600,14.7600,17.7600,8100
1997-12-30,18.0000,18.4800,15.7600,15.7600,11400
1997-12-31,16.0000,17.0000,15.7600,17.0000,9225
1998-01-02,16.0000,17.0000,16.0000,17.0000,1350
1998-01-05,18.0000,18.0000,16.0000,16.0000,6750
1998-01-06,17.0000,17.5200,16.0000,16.7600,9100
1998-01-07,17.5200,17.5200,16.0000,16.4800,25000
1998-01-08,17.5200,18.0000,17.0000,17.0000,8400
1998-01-09,17.5200,23.5200,17.5200,21.0000,13575
1998-01-12,20.0000,21.5200,18.4800,19.5200,9300
1998-01-13,19.0000,19.0000,18.0000,19.0000,8900
1998-01-14,19.0000,20.0000,19.0000,20.0000,7275
1998-01-15,20.0000,20.2400,18.0000,20.0000,19075
1998-01-16,20.0000,22.0000,20.0000,22.0000,7300
1998-01-20,22.4800,24.4800,22.4800,22.4800,6850
1998-01-21,23.0000,25.5200,23.0000,25.0000,19425
1998-01-22,26.0000,30.0000,26.0000,29.5200,32375
1998-01-23,29.7600,31.5200,27.5200,29.7600,49375
1998-01-26,30.0000,31.5200,29.2400,29.5200,18300
1998-01-27,30.0000,31.0000,29.5200,30.4800,8500
1998-01-28,31.0000,34.7600,30.0000,34.0000,30400
1998-01-29,35.5200,40.0000,34.0000,38.4800,24675
1998-01-30,39.5200,41.0000,39.0000,41.0000,24625
1998-02-02,41.0000,52.0000,40.4800,50.4800,60575
1998-02-03,53.0000,54.0000,46.2400,47.0000,51900
1998-02-04,47.5200,47.5200,42.4800,45.0000,28275
1998-02-05,46.0000,47.0000,45.5200,47.0000,12900
1998-02-06,48.0000,49.0000,45.5200,48.0000,11975
1998-02-09,46.4800,49.5200,46.4800,48.0000,7375
1998-02-10,47.0000,50.4800,47.0000,50.4800,5575
1998-02-11,50.0000,54.0000,50.0000,53.0000,21950
1998-02-12,52.0000,55.0000,52.0000,53.5200,6600
1998-02-13,54.4800,56.4800,54.0000,55.5200,11325
1998-02-17,56.0000,56.4800,55.0000,56.0000,16675
1998-02-18,57.0000,57.0000,46.0000,47.5200,8525
1998-02-19,47.7600,49.0000,47.5200,48.4800,5350
1998-02-20,47.5200,56.0000,47.0000,54.4800,6700
1998-02-23,56.4800,57.0000,54.4800,57.0000,3050
1998-02-24,57.0000,57.0000,55.0000,55.0000,9175
1998-02-25,52.4800,55.0000,43.0000,49.0000,10700
1998-02-26,48.0000,51.5200,48.0000,51.0000,7675
1998-02-27,51.0000,51.5200,49.5200,51.5200,7150
1998-03-02,51.0000,53.0000,51.0000,51.0000,900
1998-03-03,54.0000,54.0000,50.4800,53.7600,7100
1998-03-04,54.4800,55.5200,50.0000,51.5200,11775
1998-03-05,51.5200,51.5200,49.5200,50.0000,6900
1998-03-06,50.2400,51.5200,50.0000,50.2400,1350
1998-03-09,52.0000,52.0000,47.0000,49.5200,6300
1998-03-10,49.5200,49.5200,45.0000,45.5200,2825
1998-03-11,48.0000,48.0000,44.4800,46.4800,875
1998-03-12,47.7600,48.0000,47.0000,47.0000,3075
1998-03-13,47.0000,48.0000,47.0000,47.5200,2225
1998-03-16,47.7600,47.7600,47.5200,47.5200,925
1998-03-17,48.4800,48.4800,47.5200,48.0000,7825
1998-03-18,47.5200,47.5200,47.5200,47.5200,2000
1998-03-19,44.0000,47.0000,42.4800,47.0000,4525
1998-03-20,47.0000,47.0000,45.5200,47.0000,3475
1998-03-23,45.0000,46.0000,45.0000,46.0000,1300
1998-03-24,45.5200,45.7600,45.5200,45.7600,1825
1998-03-25,45.5200,46.0000,45.5200,45.5200,1500
1998-03-26,45.2400,45.5200,42.4800,42.4800,3425
1998-03-27,42.0000,42.2400,36.4800,38.4800,9275
1998-03-30,39.0000,39.0000,31.0000,37.0000,9650
1998-03-31,39.0000,49.5200,37.5200,49.5200,10000
1998-04-01,50.0000,50.0000,43.5200,45.5200,5575
1998-04-02,46.0000,46.0000,39.0000,42.4800,6425
1998-04-03,42.0000,47.0000,42.0000,42.2400,9450
1998-04-06,41.5200,44.4800,41.0000,42.0000,1950
1998-04-07,44.0000,46.0000,44.0000,44.0000,975
1998-04-08,47.0000,47.0000,44.0000,44.4800,2475
1998-04-09,42.0000,44.0000,42.0000,42.0000,1600
1998-04-13,43.0000,44.0000,40.0000,44.0000,3150
1998-04-14,44.0000,45.0000,41.5200,45.0000,2050
1998-04-15,40.0000,43.5200,40.0000,41.0000,3900
1998-04-16,43.5200,46.0000,42.4800,46.0000,1250
1998-04-17,47.0000,47.0000,44.0000,44.0000,2600
1998-04-20,42.0000,47.0000,42.0000,43.0000,4775
1998-04-21,44.0000,44.0000,41.5200,41.5200,450
1998-04-22,42.0000,42.0000,39.0000,42.0000,1100
1998-04-23,38.4800,41.5200,38.4800,40.0000,250
1998-04-24,40.0000,40.4800,40.0000,40.0000,1325
1998-04-27,37.0000,40.0000,37.0000,40.0000,225
1998-04-28,37.0000,40.0000,37.0000,40.0000,100
1998-04-29,41.0000,41.0000,37.5200,38.7600,8875
1998-04-30,41.0000,47.0000,41.0000,44.0000,11775
1998-05-01,44.0000,47.0000,44.0000,44.0000,3375
1998-05-04,46.0000,46.0000,45.0000,45.5200,1375
1998-05-05,45.0000,45.0000,43.5200,43.5200,1500
1998-05-06,44.0000,46.0000,44.0000,45.0000,4225
1998-05-07,45.0000,45.2400,45.0000,45.0000,1850
1998-05-08,45.0000,47.0000,45.0000,46.2400,2375
1998-05-11,47.5200,49.0000,46.4800,47.0000,3400
1998-05-12,47.0000,47.5200,47.0000,47.5200,1875
1998-05-13,47.0000,49.0000,47.0000,49.0000,2050
1998-05-14,49.0000,49.0000,48.0000,48.0000,800
1998-05-15,48.0000,48.0000,43.0000,47.5200,625
