"MacroTrends Data Download"
"AVDL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-06-07,12.0000,12.2500,11.7500,11.7500,987100
1996-06-10,11.7500,11.8700,11.7500,11.7500,156700
1996-06-11,11.7500,12.1300,11.7500,11.7500,140700
1996-06-12,11.7500,12.1300,11.7500,11.7500,247100
1996-06-13,11.7500,12.1300,11.7500,11.9400,139800
1996-06-14,11.7500,12.1300,11.7500,12.0000,156000
1996-06-17,11.7500,12.1300,11.7500,11.7500,19400
1996-06-18,12.1300,12.1300,11.7500,11.7500,108400
1996-06-19,11.7500,12.1300,11.6200,11.6200,10700
1996-06-20,11.6200,12.1300,9.5000,9.5000,120400
1996-06-21,9.3800,9.3800,7.5000,8.7500,211800
1996-06-24,8.8700,9.1300,8.3800,8.3800,47100
1996-06-25,8.7500,9.0000,6.8800,7.0000,159500
1996-06-26,7.1200,8.2500,7.1200,7.7500,47300
1996-06-27,8.1200,8.2500,7.6300,7.7500,264500
1996-06-28,8.1200,8.1200,7.7500,8.0600,300400
1996-07-01,7.7500,8.8700,7.7500,8.8700,21500
1996-07-02,9.2500,10.2500,9.2500,10.0000,56700
1996-07-03,10.7500,10.7500,9.5000,10.2500,201200
1996-07-05,10.2500,10.2500,9.5000,9.5000,5300
1996-07-08,9.5000,10.2500,9.5000,9.5000,47000
1996-07-09,9.7500,10.2500,8.5000,8.5000,48100
1996-07-10,8.3800,8.7500,7.3700,7.7500,136700
1996-07-11,7.6300,8.0000,7.2500,7.2500,231500
1996-07-12,7.0000,7.3700,7.0000,7.0000,4400
1996-07-15,7.1200,7.3700,5.0000,5.7500,108900
1996-07-16,6.5000,6.5000,5.8700,5.8700,120700
1996-07-17,6.5000,7.2500,6.0000,6.8800,302100
1996-07-18,7.2500,7.5000,7.0000,7.3700,57600
1996-07-19,7.3700,7.7500,7.3700,7.5000,17900
1996-07-22,7.3700,7.7500,7.3700,7.7500,2000
1996-07-23,7.3700,7.7500,7.3700,7.3700,8100
1996-07-24,7.0000,7.5600,5.7500,6.5000,100100
1996-07-25,6.7500,6.7500,6.4800,6.4800,15300
1996-07-26,6.3800,6.7500,6.3800,6.7500,900
1996-07-29,6.7500,7.0000,6.5000,7.0000,22600
1996-07-30,6.8800,7.6300,6.7500,7.2500,41800
1996-07-31,7.3700,7.6300,7.2500,7.2500,27000
1996-08-01,7.2500,7.6300,7.2500,7.2500,21800
1996-08-02,7.6300,7.7500,7.5000,7.5000,8100
