"MacroTrends Data Download"
"AVXL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2015-10-28,9.2300,10.3500,8.7200,9.4500,1986450
2015-10-29,9.6000,10.1900,9.5000,9.7500,1204172
2015-10-30,9.9900,10.8200,9.7800,10.5800,2000369
2015-11-02,11.1800,13.0000,11.0600,13.0000,4093621
2015-11-03,13.6600,14.8399,12.1500,14.3300,6873337
2015-11-04,14.1800,14.4200,13.0800,13.3000,2745883
2015-11-05,12.4000,13.2000,10.5000,10.9200,6995756
2015-11-06,10.5700,10.6000,8.0500,8.2000,6213293
2015-11-09,9.0900,9.2000,6.0500,6.2000,16102189
2015-11-10,4.5800,5.8900,3.6000,5.4400,16852630
2015-11-11,5.4500,6.4400,4.9200,5.4400,7889551
2015-11-12,5.6800,5.9200,4.9500,5.2300,2309865
2015-11-13,5.2100,5.2100,4.4700,4.5500,3135366
2015-11-16,4.6000,4.8800,4.1500,4.2200,1631543
2015-11-17,3.9000,3.9900,3.1600,3.2400,4658250
2015-11-18,4.1000,6.0300,3.8700,5.3000,34225029
2015-11-19,6.3300,6.9600,5.6500,5.9000,14098549
2015-11-20,5.6700,6.3000,5.3800,5.8300,3866790
2015-11-23,6.0700,6.3600,5.9100,6.0000,2486617
2015-11-24,5.9500,6.0400,5.5000,5.6100,1784718
2015-11-25,5.6500,5.8501,5.5000,5.5200,991258
2015-11-27,5.6300,6.0000,5.3800,6.0000,828929
2015-11-30,7.2500,8.1400,6.9100,6.9900,20072794
2015-12-01,7.0600,7.0840,6.2100,6.3300,3430778
2015-12-02,5.7800,6.4400,5.5700,5.7600,3441292
2015-12-03,5.8600,6.4400,5.7600,6.4050,1498814
2015-12-04,6.5200,6.6900,6.2100,6.3300,1909198
2015-12-07,6.3500,6.5900,6.1001,6.4600,1017659
2015-12-08,6.2800,7.2900,6.1600,6.5600,2586865
2015-12-09,6.6700,7.1499,6.6500,6.7500,1264896
2015-12-10,7.0400,7.1000,6.6500,6.7200,1128813
2015-12-11,6.6100,7.1500,6.5500,7.1100,2058677
2015-12-14,7.4400,7.9900,7.3900,7.6100,3481797
2015-12-15,7.7400,8.0300,6.8600,6.8700,3534635
2015-12-16,7.0000,7.2900,6.8700,7.1500,1708448
2015-12-17,7.2600,7.5500,7.0500,7.4600,1284295
2015-12-18,7.4600,7.9500,7.3000,7.4900,3265858
2015-12-21,7.6700,7.8600,7.4900,7.7700,1638179
2015-12-22,7.5300,7.7700,7.2600,7.5000,1031599
2015-12-23,7.5200,7.6400,7.2100,7.4200,660560
2015-12-24,7.4500,7.5000,7.1000,7.1000,703395
2015-12-28,7.1000,7.1200,6.5000,7.0300,1782325
2015-12-29,5.9600,6.7400,5.5400,6.2800,6586472
2015-12-30,5.8900,6.0600,5.4000,5.5000,3806269
2015-12-31,5.0900,5.6100,4.6000,5.5700,4387587
2016-01-04,5.4900,6.3400,5.3000,6.2600,2658611
2016-01-05,6.1200,6.3273,6.0000,6.1200,1443753
2016-01-06,6.0500,6.0500,4.9500,5.1100,2643150
2016-01-07,4.9800,5.1099,4.4700,4.5300,1965904
2016-01-08,4.7000,4.8799,3.7700,4.6000,3365984
2016-01-11,5.6800,5.8000,4.8200,5.1600,5227009
2016-01-12,5.0300,5.0900,4.0600,4.1000,2681484
2016-01-13,4.0500,4.0529,3.5000,3.6700,2214350
2016-01-14,3.7700,4.2900,3.3000,4.0500,2056345
2016-01-15,3.7600,4.1800,3.7600,4.0100,1064002
2016-01-19,4.0200,4.0700,3.6500,3.7200,1169004
2016-01-20,3.5500,3.6000,3.2900,3.5800,1375650
2016-01-21,3.5500,3.8800,3.5200,3.6100,727864
2016-01-22,3.6500,3.7810,3.5300,3.6600,461694
2016-01-25,3.7000,4.1799,3.5000,4.1200,1041948
2016-01-26,4.0600,4.1799,3.7800,3.8100,946738
2016-01-27,3.7600,3.8299,3.5800,3.6000,730803
2016-01-28,3.6500,3.7400,3.4100,3.4300,444102
2016-01-29,3.4200,3.6200,3.3700,3.5900,555260
2016-02-01,3.6000,3.9500,3.5101,3.8900,553110
2016-02-02,4.0000,4.9000,3.9500,4.2700,3712606
2016-02-03,4.2500,4.6700,4.0500,4.4500,1606595
2016-02-04,4.3700,4.8300,4.3600,4.7400,1115773
2016-02-05,4.7000,4.7356,4.5200,4.6400,722686
2016-02-08,4.2500,4.4000,4.0800,4.3200,980657
2016-02-09,4.1200,4.4000,3.6030,3.7100,1205886
2016-02-10,3.8300,3.9500,3.4700,3.5000,770851
2016-02-11,3.4000,3.6600,3.3000,3.6200,676233
2016-02-12,3.7200,3.7700,3.5700,3.7700,328087
2016-02-16,3.7800,3.8400,3.5500,3.6400,403022
2016-02-17,3.7200,3.9500,3.7160,3.8100,553028
2016-02-18,3.8200,4.3500,3.8200,4.2500,962375
2016-02-19,4.2500,4.2600,3.8500,3.9800,729520
2016-02-22,3.9500,4.1300,3.8000,4.0300,491192
2016-02-23,3.9300,4.0700,3.9170,4.0500,260276
2016-02-24,3.8900,4.2800,3.8300,4.2400,447367
2016-02-25,4.1600,4.5000,4.1501,4.4000,592951
2016-02-26,4.5000,4.5200,4.3200,4.4400,296098
2016-02-29,4.5000,4.6200,4.2999,4.4700,437284
2016-03-01,4.4500,4.5900,4.3678,4.5500,342237
2016-03-02,4.4600,4.7000,4.4100,4.6300,428640
2016-03-03,4.6000,4.9100,4.5400,4.8000,506080
2016-03-04,4.8900,4.9000,4.3600,4.4700,766716
2016-03-07,4.4500,4.7200,4.4000,4.6100,506732
2016-03-08,4.6200,4.9500,4.5601,4.8000,528488
2016-03-09,4.8400,5.2400,4.7800,5.1600,866408
2016-03-10,5.5000,5.5000,4.7200,5.4800,1637626
2016-03-11,5.6400,5.6400,5.0200,5.0900,1167781
2016-03-14,4.7600,5.0890,4.5800,4.9300,1351982
2016-03-15,4.8700,4.9000,4.5100,4.5200,549112
2016-03-16,4.5000,4.6600,4.3800,4.5500,442653
2016-03-17,4.5900,4.8600,4.5001,4.7200,423157
2016-03-18,4.6900,4.9500,4.6900,4.9200,335310
2016-03-21,4.9200,5.0500,4.7249,4.7900,423183
2016-03-22,4.8000,4.9500,4.6800,4.8400,312542
2016-03-23,4.8100,4.9000,4.5601,4.6300,333158
2016-03-24,4.5400,4.8400,4.5100,4.6300,275996
2016-03-28,4.6300,4.7600,4.5500,4.6100,146216
2016-03-29,4.8200,4.9500,4.6500,4.7800,487445
2016-03-30,4.7800,5.1700,4.7500,4.9400,643750
2016-03-31,5.0100,5.0200,4.7701,4.9000,439865
2016-04-01,5.0100,5.1700,4.8100,5.0300,512286
