"MacroTrends Data Download"
"BAX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1981-10-27,0.8994,0.8994,0.8848,0.8901,7902800
1981-10-28,0.8929,0.9114,0.8907,0.9096,8542304
1981-10-29,0.9022,0.9022,0.8771,0.8830,12468600
1981-10-30,0.8660,0.8765,0.8521,0.8589,20808400
1981-11-03,0.8360,0.8490,0.8282,0.8490,17826800
1981-11-04,1.6701,1.6701,1.6286,1.6509,10684952
1981-11-05,1.6583,1.6800,1.6336,1.6559,15323400
1981-11-06,1.6756,1.6756,1.6286,1.6682,13890300
1981-11-10,1.6905,1.6961,1.6528,1.6818,8894700
1981-11-11,1.6756,1.6961,1.6756,1.6855,6523900
1981-11-12,1.6787,1.6979,1.6719,1.6979,6679800
1981-11-13,1.6905,1.7610,1.6905,1.7610,15894700
1981-11-17,1.7598,1.7647,1.6893,1.7307,7501200
1981-11-18,1.7307,1.7610,1.6825,1.6825,7301700
1981-11-19,1.7375,1.7425,1.6701,1.7134,11480400
1981-11-20,1.7183,1.7202,1.6800,1.6800,9582600
1981-11-24,1.6961,1.7307,1.6825,1.7029,10488500
1981-11-25,1.6973,1.7202,1.6750,1.7047,8751100
1981-11-26,1.7239,1.7425,1.6930,1.7288,8127500
1981-12-01,1.7579,1.7796,1.7579,1.7610,9606800
1981-12-02,1.7616,1.7641,1.7319,1.7455,7604700
1981-12-03,1.7462,1.7907,1.7462,1.7548,7564600
1981-12-04,1.7610,1.7950,1.7561,1.7765,6729600
1981-12-08,1.8192,1.8711,1.8192,1.8420,18231900
1981-12-31,2.0604,2.0721,2.0486,2.0721,105200
1982-01-04,2.1111,2.1340,2.0802,2.1185,489600
