"MacroTrends Data Download"
"BFRI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-10-29,4.0900,4.7000,3.9000,4.4100,5831732
2021-11-01,4.8050,4.9900,4.0500,4.1400,5236217
2021-11-02,3.8700,4.2202,3.5000,3.9200,3565367
2021-11-03,3.7950,3.9000,3.7000,3.7800,995743
2021-11-04,3.7500,3.8400,3.5300,3.5600,921514
2021-11-05,3.5400,3.5500,3.1401,3.2400,865714
2021-11-08,3.2200,3.2672,3.0200,3.1300,455298
2021-11-09,3.0800,3.2793,2.9500,3.1900,651105
2021-11-10,3.1200,3.1600,2.9500,3.0300,430642
2021-11-11,3.0200,3.5300,2.9400,3.4400,2652842
2021-11-12,3.8100,4.0500,3.2700,3.3700,4934634
2021-11-15,3.1900,3.2229,3.0000,3.1300,841381
2021-11-16,3.1500,3.1800,2.7000,2.8700,766084
2021-11-17,2.7700,2.8400,2.6018,2.6400,467697
2021-11-18,2.6400,2.6700,2.4600,2.5400,218372
2021-11-19,2.5000,2.6700,2.4700,2.6700,103941
2021-11-22,2.6500,2.6500,2.2501,2.4699,324284
2021-11-23,2.4100,2.7000,2.3700,2.6300,323299
2021-11-24,5.9800,7.3600,4.7500,5.2200,222214829
2021-11-26,7.2000,9.4900,6.5800,7.9000,103249329
2021-11-29,7.2500,10.4000,6.3000,7.1000,74245684
2021-11-30,6.6600,7.2900,5.2500,5.9900,9296198
2021-12-01,6.0300,6.0800,4.3000,4.3300,4509631
2021-12-02,4.3600,6.5800,4.2300,5.2500,72417331
2021-12-03,5.0300,5.0996,4.0600,4.2700,4056245
2021-12-06,4.0500,4.7700,3.7000,4.2500,5532812
2021-12-07,4.1200,4.4600,4.0000,4.3700,2007720
2021-12-08,4.3000,5.7500,4.2500,4.9000,6150973
2021-12-09,5.0200,5.6493,4.6500,4.7700,2560751
2021-12-10,5.0400,6.6000,5.0000,5.3700,32755726
2021-12-13,6.6500,8.2500,5.8200,6.8200,76105510
2021-12-14,6.3200,7.9100,5.4200,5.5000,16059591
2021-12-15,7.0200,7.8900,6.5100,6.9500,85140602
2021-12-16,7.1600,7.4900,6.3100,6.9000,10174986
2021-12-17,6.7200,8.5700,6.6501,7.1000,27588759
2021-12-20,7.2000,7.9499,7.0600,7.6200,8913211
2021-12-21,9.9800,14.6300,9.5801,11.0300,103542702
2021-12-22,10.9100,12.0500,9.5856,10.5000,17368857
2021-12-23,10.9000,14.1000,10.1000,13.1700,31973388
2021-12-27,13.2600,13.9200,11.0351,11.4900,18291512
2021-12-28,10.7700,10.7700,8.0800,8.1000,14280875
2021-12-29,8.0700,9.8200,7.8200,8.7600,26330012
2021-12-30,8.6500,8.6914,7.3500,7.5400,6467250
2021-12-31,8.2700,8.4600,7.3100,7.5200,7063903
2022-01-03,7.2800,7.3800,6.3600,6.9200,5825762
2022-01-04,6.4000,6.7000,6.1300,6.4600,4110581
2022-01-05,6.1000,6.9300,5.7000,5.8600,7540339
2022-01-06,5.8264,5.8900,5.2200,5.3000,2515455
2022-01-07,5.1900,5.9500,4.8700,5.1300,6582158
2022-01-10,5.1400,6.5799,4.9100,6.2600,8594336
2022-01-11,5.7100,6.1700,5.6100,5.6900,3288624
2022-01-12,5.6600,5.9406,5.3600,5.4600,1973697
2022-01-13,5.3500,5.6499,4.9500,5.0400,2015058
2022-01-14,4.9100,5.1800,4.7300,4.9500,2079032
2022-01-18,4.6800,4.8400,4.4200,4.6200,2121352
2022-01-19,4.5300,4.6100,4.0600,4.1500,1069511
2022-01-20,4.1300,4.6000,3.9300,4.0000,1760669
2022-01-21,3.8600,3.9900,3.4110,3.4700,2876520
2022-01-24,3.0500,3.7400,2.8700,3.5000,2906501
2022-01-25,3.2000,3.8500,3.2000,3.5200,2077390
2022-01-26,3.4600,3.6200,3.1500,3.1900,997358
2022-01-27,3.1600,3.3000,2.9200,2.9700,730730
2022-01-28,2.8700,3.2300,2.8001,3.0400,1080384
2022-01-31,3.0200,3.4700,3.0200,3.3900,1505199
2022-02-01,3.4800,4.4500,3.4200,4.3000,42789640
2022-02-02,4.0000,4.0100,3.6900,3.9800,2691274
2022-02-03,3.6885,4.1231,3.6100,3.9700,1444833
2022-02-04,3.8500,4.6399,3.8500,4.3900,2739513
2022-02-07,4.5500,4.7320,4.3200,4.4300,1698759
2022-02-08,4.3400,4.3600,3.9100,3.9200,1372977
2022-02-09,3.9700,4.0400,3.8500,3.9000,1274009
2022-02-10,3.7900,3.8900,3.6400,3.6800,931801
2022-02-11,3.6700,3.7500,3.3171,3.4300,687617
2022-02-14,3.3600,3.4000,3.1500,3.2400,591802
2022-02-15,3.2400,3.6500,3.2400,3.3400,1547072
2022-02-16,3.3200,3.4400,3.2400,3.3800,555435
2022-02-17,3.2900,3.3563,3.0500,3.0500,677725
2022-02-18,3.0900,3.1180,2.8736,2.9300,568074
2022-02-22,2.8900,2.9200,2.7500,2.7900,651580
2022-02-23,2.8100,2.8499,2.5350,2.5700,491484
2022-02-24,2.2900,2.9600,2.2300,2.9600,925699
2022-02-25,2.9900,3.1100,2.8200,3.0800,462262
2022-02-28,2.9700,3.1650,2.8800,2.9500,549198
2022-03-01,2.9700,3.0000,2.8100,2.8300,256583
2022-03-02,2.8900,3.0890,2.8300,2.9600,389834
2022-03-03,2.9700,2.9900,2.7600,2.8400,380595
2022-03-04,2.8500,2.8900,2.6300,2.6800,315661
2022-03-07,2.5300,2.6700,2.4500,2.4800,750970
2022-03-08,2.3600,2.4200,2.2000,2.2500,811205
2022-03-09,2.3900,2.6800,2.3000,2.5800,1544411
2022-03-10,2.4800,2.5310,2.3300,2.4600,395935
2022-03-11,2.4300,2.6779,2.3000,2.3500,775643
2022-03-14,2.4700,2.4886,2.2600,2.2700,458024
2022-03-15,2.2800,2.4252,2.2700,2.4100,352795
2022-03-16,2.4600,2.7800,2.4600,2.7400,1640061
2022-03-17,2.7500,3.2400,2.7000,3.2200,1165965
2022-03-18,3.2000,3.4900,2.9500,2.9500,1406901
2022-03-21,2.9900,3.1500,2.9300,3.0300,765339
2022-03-22,3.0300,3.2000,2.9600,3.0200,569595
2022-03-23,3.0600,3.1800,3.0000,3.0300,344802
2022-03-24,3.0400,3.1800,2.9500,3.1300,393485
2022-03-25,3.1500,3.4800,2.9400,2.9800,1531524
2022-03-28,2.9700,3.4200,2.9600,3.3100,871379
2022-03-29,3.4000,3.5000,3.2500,3.3500,508282
2022-03-30,3.3400,3.6400,3.2400,3.3000,639323
2022-03-31,3.2600,3.4999,3.2500,3.3300,909113
2022-04-01,3.3200,3.7000,3.3000,3.5100,1463235
2022-04-04,3.5500,3.7300,3.4900,3.6400,669006
2022-04-05,3.6300,3.7700,3.3700,3.5900,463814
2022-04-06,3.4600,3.5900,3.1800,3.5400,804023
2022-04-07,3.5300,4.6500,3.4250,4.0400,4772092
2022-04-08,4.8000,5.4200,4.3000,4.6200,36099694
2022-04-11,3.9100,4.2300,3.8000,4.1600,1420440
2022-04-12,3.8600,4.1300,3.6200,3.7000,796856
2022-04-13,3.7400,6.1200,3.4600,4.9600,31920253
2022-04-14,4.4000,4.7300,4.0200,4.2000,3523353
2022-04-18,4.0600,4.0600,3.7200,3.7700,820518
2022-04-19,3.9000,4.3000,3.7700,3.9900,1381395
2022-04-20,3.9800,4.2280,3.7700,3.9500,994447
2022-04-21,3.9200,4.0500,3.7300,3.8000,625691
2022-04-22,3.7800,4.1500,3.7600,3.9900,1299274
2022-04-25,3.9200,4.1400,3.8100,4.0600,1114146
2022-04-26,3.9800,4.2900,3.6904,3.7200,1136071
2022-04-27,3.7500,3.8000,3.4900,3.5300,488889
2022-04-28,3.4300,3.6500,3.2600,3.5600,395653
2022-04-29,3.5100,3.9000,3.5100,3.7000,531840
2022-05-02,3.7100,3.8600,3.6038,3.7900,334088
2022-05-03,3.8400,3.8600,3.6200,3.7600,316690
2022-05-04,3.6400,3.9100,3.5500,3.8500,259296
2022-05-05,3.8500,3.8500,3.4300,3.6100,325099
2022-05-06,3.5500,3.6500,3.4000,3.4800,166230
2022-05-09,3.4000,3.4500,3.0800,3.0900,329828
2022-05-10,3.1200,3.2299,2.9500,3.1100,203120
2022-05-11,2.9800,3.1200,2.7000,2.7000,323354
2022-05-12,2.6400,2.9700,2.6255,2.8500,325517
2022-05-13,2.8700,3.1199,2.6500,2.7700,781758
2022-05-16,2.6000,2.7000,2.5900,2.6200,176893
2022-05-17,2.7400,2.7400,2.5900,2.6800,309324
2022-05-18,2.6000,2.6800,2.4400,2.6100,234716
2022-05-19,2.5900,2.8000,2.5600,2.8000,289044
2022-05-20,2.8600,2.9100,2.7300,2.8800,265285
2022-05-23,2.9200,2.9300,2.7300,2.8800,81553
2022-05-24,2.8900,3.0100,2.6550,2.6800,383133
2022-05-25,2.6400,2.8000,2.6400,2.7500,87902
2022-05-26,2.8300,2.9550,2.7506,2.8700,150132
2022-05-27,2.8700,2.9500,2.8200,2.9400,106877
