"MacroTrends Data Download"
"BIOR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-06-19,15.1100,15.9200,12.6500,13.1200,3023188
2020-06-22,13.8900,13.9500,11.7600,11.9700,580111
2020-06-23,11.9600,12.3740,10.6000,11.3000,556572
2020-06-24,11.3600,11.7860,11.0300,11.5200,313306
2020-06-25,11.5000,11.5000,10.2500,10.5000,369697
2020-06-26,10.5100,10.6000,9.5400,9.9800,209071
2020-06-29,9.8300,10.1800,9.1600,9.7500,192580
2020-06-30,9.6000,9.8100,8.8100,9.0000,259100
2020-07-01,9.0700,9.0700,7.6300,7.9800,827457
2020-07-02,8.3900,9.0000,7.9000,8.8000,390696
2020-07-06,8.7500,8.9900,8.6101,8.7300,271859
2020-07-07,8.5100,9.7900,8.5100,9.4200,302159
2020-07-08,9.6300,10.4201,9.1800,10.0500,243889
2020-07-09,10.0200,10.0200,8.9900,9.2500,123117
2020-07-10,9.1900,9.6300,8.8401,9.5300,51477
2020-07-13,9.6000,9.6100,8.7200,8.7400,83934
2020-07-14,8.5000,9.5365,8.0700,9.2900,103091
2020-07-15,9.4500,10.5000,9.1500,10.2000,269161
2020-07-16,10.1800,10.9000,9.7100,10.7900,145616
2020-07-17,10.9800,10.9999,10.2700,10.7100,84086
2020-07-20,10.6100,10.6100,10.0700,10.2900,44586
2020-07-21,10.1300,10.5200,8.8600,9.0500,200171
2020-07-22,9.0600,9.4800,8.5900,9.0400,91229
2020-07-23,8.8100,9.3050,8.8000,9.0100,126080
2020-07-24,9.2600,9.2800,8.9000,8.9400,48919
2020-07-27,9.0200,9.0200,8.6500,8.7000,44098
2020-07-28,8.5800,8.8400,8.3601,8.5200,63187
2020-07-29,8.4600,8.6203,8.1600,8.2900,58319
2020-07-30,8.6400,8.8491,8.4006,8.7700,27196
2020-07-31,8.5300,9.1100,8.4500,9.1100,75665
2020-08-03,9.2300,9.2300,8.8000,9.0800,29800
2020-08-04,9.0300,9.2400,8.9300,9.0900,32746
2020-08-05,9.0500,9.0900,8.6900,8.7400,49049
2020-08-06,8.6200,9.1400,8.6200,9.0000,28621
2020-08-07,8.9900,9.0975,8.6400,9.0900,17655
2020-08-10,8.8900,9.1399,8.8900,9.1000,41886
2020-08-11,9.0200,9.0700,8.8000,8.9600,24126
2020-08-12,9.0000,9.3100,8.8301,9.1300,35229
2020-08-13,9.0400,9.3750,8.8500,8.9500,40721
2020-08-14,8.3100,8.5000,7.7100,7.7100,101745
2020-08-17,7.8800,9.5400,7.8500,9.5400,131410
2020-08-18,9.4400,10.2700,8.9500,9.5600,151918
2020-08-19,9.5600,9.6750,8.8000,8.8500,72641
2020-08-20,8.8500,9.5500,8.5200,9.5500,44346
2020-08-21,9.7300,9.7500,8.9301,9.0700,28519
2020-08-24,9.7000,9.7100,8.6700,9.1500,31730
2020-08-25,9.0300,9.1950,8.6600,8.7800,22826
2020-08-26,8.7800,9.0300,8.7800,8.9800,18030
2020-08-27,8.9800,9.2400,8.8000,8.9000,14025
2020-08-28,8.7900,9.4500,8.7900,9.1000,50950
2020-08-31,8.8500,9.2500,8.8200,9.2300,36121
2020-09-01,9.2200,9.2200,8.5100,9.0500,33258
2020-09-02,8.7550,9.0000,8.5100,8.9900,35997
2020-09-03,8.9200,8.9800,8.1100,8.2900,75268
2020-09-04,8.3300,8.9800,8.1000,8.9000,66713
2020-09-08,9.2800,9.6200,8.3600,8.9900,93800
2020-09-09,8.9800,9.6650,8.9800,9.6000,69994
2020-09-10,9.4000,9.4000,8.5200,8.6400,36026
2020-09-11,8.6800,9.2100,8.5800,8.9200,68061
2020-09-14,8.9900,9.5300,8.4100,9.4500,224477
2020-09-15,9.5300,9.7500,9.0410,9.1600,246779
2020-09-16,9.3000,9.6600,9.1700,9.2100,41696
2020-09-17,9.0800,9.5300,9.0100,9.1900,76182
2020-09-18,9.2400,9.4000,8.4300,8.4800,497835
2020-09-21,8.4500,9.3000,8.0500,8.3100,48054
2020-09-22,8.4500,8.5600,8.2200,8.3000,27681
2020-09-23,8.2500,8.9700,8.1200,8.7100,151275
2020-09-24,8.9200,8.9200,8.2500,8.5300,88165
2020-09-25,8.7500,8.8100,8.5301,8.7500,55615
2020-09-28,8.8200,9.1000,8.6300,8.8500,76082
2020-09-29,8.8500,9.0000,8.6301,8.8700,35232
2020-09-30,8.9100,9.0700,8.6700,9.0200,57103
2020-10-01,9.0200,9.5000,9.0200,9.3500,63673
2020-10-02,9.0900,9.3000,8.7600,9.2900,49082
2020-10-05,9.3700,9.3700,8.8242,9.1000,26704
2020-10-06,9.2900,9.2900,9.0400,9.0900,24883
2020-10-07,9.1000,9.5600,9.0100,9.2200,27739
2020-10-08,9.2800,9.5400,9.2800,9.4800,43897
2020-10-09,9.4550,9.5100,9.1300,9.2600,15961
2020-10-12,9.2600,9.3217,9.0000,9.1300,22935
2020-10-13,9.1700,9.1700,8.7400,9.1400,50647
2020-10-14,9.3300,9.4800,8.9000,8.9800,18966
2020-10-15,8.8400,9.1500,8.8400,9.0000,12650
2020-10-16,8.9700,9.4100,8.8400,9.0300,19658
2020-10-19,9.1400,9.1650,8.8300,8.9600,11148
2020-10-20,8.9000,9.1600,8.1300,8.1300,73443
2020-10-21,8.2600,8.5657,7.9200,7.9900,57416
2020-10-22,7.9500,8.1800,7.8000,7.8000,20572
2020-10-23,8.0100,8.2400,7.8500,7.9100,14754
2020-10-26,7.9600,8.0350,7.8400,7.9500,14274
2020-10-27,8.1200,8.2000,7.9050,7.9100,24648
2020-10-28,7.8700,7.9300,7.6000,7.6900,73212
2020-10-29,7.7200,7.7200,5.9200,5.9600,468594
2020-10-30,6.0500,6.0500,4.9900,4.9900,199045
2020-11-02,5.1800,5.1800,4.2400,4.2700,202701
2020-11-03,4.5200,4.6944,4.2600,4.3000,72747
2020-11-04,4.3100,4.5300,4.0000,4.3200,132336
2020-11-05,4.2600,5.1400,4.2200,5.1000,120117
2020-11-06,5.3500,5.3500,4.7300,4.8800,84764
2020-11-09,5.1000,5.2500,4.5800,4.8700,115003
2020-11-10,4.8800,5.1900,4.5600,4.6000,147711
2020-11-11,4.6000,4.8900,4.6000,4.7200,141878
2020-11-12,4.7900,4.8950,4.3000,4.3900,67589
2020-11-13,4.4900,4.8400,4.3900,4.4700,130654
2020-11-16,4.6500,4.7600,4.3200,4.3900,76103
2020-11-17,4.4600,4.5343,4.1800,4.2100,104016
2020-11-18,4.2100,4.4200,4.0100,4.1600,135139
2020-11-19,4.1100,4.2400,3.9700,4.0000,158436
2020-11-20,4.0300,4.1067,3.8600,3.9200,264442
2020-11-23,4.0100,4.0293,3.6400,3.6400,438654
2020-11-24,3.8000,4.2000,3.6600,3.9000,449528
2020-11-25,4.0314,4.1500,3.8400,3.9100,293186
2020-11-27,3.9500,4.0000,3.7900,3.9000,170023
2020-11-30,3.9800,4.1500,3.9100,4.0100,359866
2020-12-01,3.6788,3.8500,3.5700,3.6300,1068525
2020-12-02,3.6700,3.6800,3.2700,3.2850,709475
2020-12-03,3.1800,3.3100,3.0800,3.2650,2940608
2020-12-04,3.3000,3.3500,3.1800,3.2700,961184
2020-12-07,3.5000,3.7100,3.3700,3.5000,1613210
2020-12-08,3.7800,3.8900,3.3000,3.4200,1050636
2020-12-09,3.5600,3.5600,3.3400,3.4700,1114239
2020-12-10,3.7418,4.0100,3.5600,3.9700,3080014
2020-12-11,4.2000,4.8800,4.0700,4.7300,4063961
2020-12-14,5.0000,5.0628,4.0200,4.1300,2199244
2020-12-15,4.2000,4.3400,3.9100,4.1600,941500
2020-12-16,4.3300,4.7900,4.1000,4.6500,1737378
2020-12-17,5.0000,5.6700,4.9400,5.4400,2573096
2020-12-18,5.5400,6.4200,5.5000,6.3200,3443685
2020-12-21,6.2800,6.9200,5.2100,6.8500,2014384
2020-12-22,6.8000,7.5500,6.5000,6.6800,2008397
2020-12-23,6.8000,6.9411,6.2900,6.7400,1066880
2020-12-24,6.6600,6.7500,5.8000,6.0000,807887
2020-12-28,6.0900,6.4000,5.2600,5.3500,1194212
2020-12-29,5.4100,5.4489,4.7000,4.7700,1228660
2020-12-30,4.7800,5.5000,4.6700,5.2500,898012
2020-12-31,5.1700,5.3800,4.9500,5.3100,418183
2021-01-04,5.5100,5.6308,4.7600,5.2200,784956
2021-01-05,5.2700,6.2250,5.0000,5.9900,2012524
2021-01-06,6.1900,6.3500,5.6100,5.8400,894155
2021-01-07,6.1000,6.4700,5.9800,6.1000,745455
2021-01-08,6.0500,6.3800,5.8550,6.2800,378326
2021-01-11,6.2000,6.7400,6.2000,6.2800,416683
2021-01-12,6.3300,6.3516,5.9000,6.0400,525521
2021-01-13,6.0100,6.1000,5.6300,5.7600,487159
2021-01-14,5.9600,5.9830,5.3200,5.4000,840217
2021-01-15,5.4300,5.7000,5.2199,5.4200,532879
2021-01-19,5.5200,6.3500,5.5180,6.3200,900931
2021-01-20,6.3600,6.7800,6.0500,6.1100,536519
2021-01-21,6.2400,6.3343,5.9700,6.2200,458777
2021-01-22,6.0800,6.2600,5.9500,6.2000,430764
2021-01-25,6.3400,6.4800,6.1000,6.3800,479650
2021-01-26,6.4100,7.4698,6.2200,7.2700,1769515
2021-01-27,7.2100,7.8600,7.1500,7.2600,803452
2021-01-28,7.2600,7.4400,6.4200,7.3100,713545
2021-01-29,7.2200,7.2600,6.7500,6.8800,268838
2021-02-01,6.8600,7.2200,6.8501,7.0000,218497
2021-02-02,7.0500,7.2500,6.7500,7.0800,262884
2021-02-03,7.1000,7.1646,6.3000,6.4000,785041
2021-02-04,6.5500,6.6784,6.2200,6.2500,410436
2021-02-05,6.3500,6.4386,6.0100,6.2100,479599
2021-02-08,6.0100,6.1300,5.6500,5.7900,1480781
2021-02-09,5.8500,6.2300,5.5800,6.1200,784368
2021-02-10,6.2500,6.3323,5.8000,5.9800,454825
2021-02-11,6.0300,6.1490,5.5800,5.6200,441438
2021-02-12,5.7700,5.8700,5.5200,5.6000,374629
2021-02-16,5.6500,5.7900,5.5400,5.6600,352617
2021-02-17,5.6700,5.8452,5.6000,5.7000,353485
2021-02-18,5.6900,5.7600,5.3200,5.3400,382530
2021-02-19,5.3800,5.7500,5.3600,5.5900,276885
2021-02-22,5.6000,6.1800,5.5000,6.0500,584867
2021-02-23,5.8200,5.9646,5.2500,5.5600,576622
2021-02-24,5.7500,5.9900,5.5200,5.8700,276828
2021-02-25,5.8900,5.9100,5.2700,5.5700,501091
2021-02-26,5.4100,5.6100,5.4000,5.4700,319879
2021-03-01,5.4600,5.8000,5.4600,5.4900,314814
2021-03-02,5.5600,5.6400,5.3300,5.3400,261185
2021-03-03,5.4100,5.4100,4.7300,4.7700,948847
2021-03-04,4.8000,4.9399,3.9100,4.0500,790867
2021-03-05,4.1000,4.1350,3.6000,3.9900,529513
2021-03-08,4.0600,4.1800,3.9100,3.9100,237221
2021-03-09,3.9700,4.2700,3.9500,4.2000,350231
2021-03-10,4.2600,4.4600,4.1100,4.1500,503227
2021-03-11,4.2500,4.4800,4.1500,4.4100,347271
2021-03-12,4.3000,4.8700,4.2500,4.8400,343545
2021-03-15,4.8635,5.1100,4.6500,4.7300,440092
2021-03-16,4.7500,4.9000,4.5600,4.8600,301614
2021-03-17,4.7100,5.0000,4.6848,4.9800,252819
2021-03-18,4.9400,4.9799,4.2800,4.3900,512852
2021-03-19,4.4500,4.9800,4.2500,4.8200,1721400
2021-03-22,4.9200,4.9900,4.6900,4.9000,194455
2021-03-23,4.8700,4.8900,4.5600,4.6800,141455
2021-03-24,4.7500,4.7500,4.1000,4.1200,318798
2021-03-25,4.1800,4.3600,4.0200,4.1300,315733
2021-03-26,4.1800,4.5900,4.1800,4.4300,256287
2021-03-29,4.3300,4.7900,4.3000,4.7000,335488
2021-03-30,4.5900,4.6800,4.3000,4.6200,270325
2021-03-31,4.7100,4.8800,4.5500,4.7600,214710
2021-04-01,4.8000,5.0900,4.7000,4.9200,293021
2021-04-05,4.9400,5.1300,4.9010,4.9350,445301
2021-04-06,4.9700,5.0300,4.4400,4.5800,243364
2021-04-07,4.6100,4.6500,4.2100,4.2400,285979
2021-04-08,4.3200,4.3300,3.9700,4.0600,330152
2021-04-09,4.1000,4.1000,3.8400,3.8700,332589
2021-04-12,3.9100,4.0000,3.7200,3.7500,738487
2021-04-13,3.7400,3.7500,3.4500,3.5200,331687
2021-04-14,3.5500,3.7800,3.4500,3.5000,424663
2021-04-15,3.4900,3.5400,3.3100,3.4100,320636
2021-04-16,3.4500,3.5000,3.2258,3.3700,353931
2021-04-19,3.3900,3.3900,3.0300,3.1800,342703
2021-04-20,3.1200,3.2600,2.9900,3.0100,294041
2021-04-21,3.0100,3.1650,2.9300,2.9900,445279
2021-04-22,3.1000,3.1800,2.9800,3.0200,388857
2021-04-23,3.0300,3.0900,2.9800,3.0400,370067
2021-04-26,3.0600,3.1600,2.9400,3.1400,491494
