"MacroTrends Data Download"
"BLI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-07-17,51.0500,68.3800,50.2600,65.4500,4507133
2020-07-20,58.5100,64.5000,58.5100,62.1000,360810
2020-07-21,65.2100,65.6900,57.5100,58.5000,379530
2020-07-22,56.9800,57.7900,55.0000,56.0000,251636
2020-07-23,56.6700,61.9900,55.4000,58.1000,761358
2020-07-24,58.1600,59.9300,57.0100,59.5000,202374
2020-07-27,59.5800,60.8000,56.2500,57.6000,227404
2020-07-28,57.6300,59.0000,56.1250,57.9000,72113
2020-07-29,57.2000,60.0000,56.8750,59.0000,126109
2020-07-30,58.7400,60.0000,56.9700,58.6000,113114
2020-07-31,58.4900,60.6800,58.0200,59.9700,245232
2020-08-03,59.9900,71.2200,59.5100,71.2000,290730
2020-08-04,71.6000,77.9900,71.5100,71.8600,195850
2020-08-05,72.9400,72.9400,65.7650,65.9600,164107
2020-08-06,66.3600,69.3150,61.3500,64.0000,224535
2020-08-07,64.6700,65.2000,57.3100,57.5500,258020
2020-08-10,58.2200,62.1000,57.7600,58.1500,185698
2020-08-11,58.3500,59.9900,55.8500,56.4200,205758
2020-08-12,58.2900,61.2200,56.8200,60.0000,274030
2020-08-13,60.4500,65.0100,60.0500,61.1100,284303
2020-08-14,61.5000,64.3750,60.6500,62.2700,209063
2020-08-17,62.3700,63.4500,58.5350,59.7500,270338
2020-08-18,60.2900,62.0400,58.0000,58.7700,50789
2020-08-19,58.4800,60.3035,56.7000,57.7300,83323
2020-08-20,57.7000,63.1200,56.1000,61.5200,87629
2020-08-21,61.1900,63.4800,60.0822,63.3000,165043
2020-08-24,63.3000,66.7900,61.3630,65.9300,97247
2020-08-25,65.8000,74.2550,63.2998,71.8500,160863
2020-08-26,68.0600,68.4000,61.0300,63.0000,293393
2020-08-27,63.2600,65.6000,63.0000,63.6800,78143
2020-08-28,61.8935,70.4000,61.8935,67.7100,102330
2020-08-31,68.0000,69.6000,64.5000,65.4000,66689
2020-09-01,65.9800,68.0899,64.5500,64.8800,121979
2020-09-02,65.3300,66.9150,65.0100,66.1700,179175
2020-09-03,66.9800,67.0800,59.1400,63.2500,170671
2020-09-04,62.7000,65.6200,60.8000,62.4000,113047
2020-09-08,61.9900,62.3600,60.0000,60.4500,67089
2020-09-09,60.9000,62.2300,59.4300,60.0200,135864
2020-09-10,60.5500,62.8699,59.0000,59.5600,280278
2020-09-11,59.7500,60.7200,58.0000,58.7000,128720
2020-09-14,59.2300,62.7700,58.8064,60.5700,102025
2020-09-15,61.6300,63.6200,60.1000,61.7100,98939
2020-09-16,61.8200,62.7250,61.2300,61.8100,109274
2020-09-17,61.3500,68.3000,61.1850,66.5100,195916
2020-09-18,67.2000,74.8800,66.9600,72.3100,926239
2020-09-21,72.0000,73.9000,68.7000,72.6900,179694
2020-09-22,72.8100,74.5700,69.0700,70.3900,119722
2020-09-23,70.5100,72.0000,65.0400,68.6900,159344
2020-09-24,68.1300,71.6500,66.4630,68.0400,94858
2020-09-25,68.0600,69.2665,65.9600,66.6000,97397
2020-09-28,67.7500,71.9800,67.2000,70.1900,123510
2020-09-29,70.0400,76.8700,68.1223,74.3800,164958
2020-09-30,74.5200,78.7300,74.5200,76.3600,168396
2020-10-01,76.6300,80.8800,75.0550,76.9900,173342
2020-10-02,75.8200,78.9300,74.4000,78.1800,163185
2020-10-05,78.6300,85.5000,77.9300,81.6200,176581
2020-10-06,81.7600,87.4900,80.7000,85.0800,230193
2020-10-07,85.8800,89.6700,85.1700,86.5000,136909
2020-10-08,87.3000,88.1925,83.0000,84.6000,60673
2020-10-09,85.0000,87.0000,83.2700,83.9700,55963
2020-10-12,83.5900,84.7800,82.4350,83.6100,67407
2020-10-13,82.5200,83.7000,80.6800,81.0500,113490
2020-10-14,80.7500,82.3766,79.7100,80.3900,77331
2020-10-15,80.1700,80.5000,75.5000,77.4400,146991
2020-10-16,78.4700,78.9500,74.3600,75.1100,77976
2020-10-19,75.5100,76.9548,73.7300,74.9600,111670
2020-10-20,76.0000,81.2100,76.0000,78.5600,169549
2020-10-21,78.8300,80.0500,75.8000,77.1400,90430
2020-10-22,76.8600,79.3300,76.5200,78.5600,37581
2020-10-23,78.5700,79.3650,74.6400,75.6000,125589
2020-10-26,75.4500,75.8500,73.3850,73.8000,81661
2020-10-27,73.0700,77.6100,70.6500,74.7500,102100
2020-10-28,73.4500,78.3800,71.3200,78.0600,81349
2020-10-29,78.3500,79.7523,74.3401,75.9000,113337
2020-10-30,74.7300,75.4800,71.5250,72.5700,77666
2020-11-02,72.4100,74.8150,69.0000,70.3800,82139
2020-11-03,70.3800,72.3950,70.3800,71.9600,75746
2020-11-04,72.4300,75.6500,72.0250,75.2700,40242
2020-11-05,75.5450,80.2000,75.5450,79.7400,50704
2020-11-06,80.5400,84.7500,77.8250,83.4500,85863
2020-11-09,83.0000,87.7800,82.5700,87.7300,101316
2020-11-10,89.5600,91.2500,78.7600,87.0600,284172
2020-11-11,87.9200,88.1100,81.2800,82.5700,115168
2020-11-12,83.3900,91.7200,82.7300,90.8300,163418
2020-11-13,88.0000,96.0475,81.1000,95.0000,342951
2020-11-16,98.9300,98.9300,85.5100,90.1700,147781
2020-11-17,87.2100,87.3100,83.4400,86.0800,158360
2020-11-18,88.3000,96.1700,87.3050,93.0100,160114
2020-11-19,84.4800,85.6450,81.5000,81.6300,2136879
2020-11-20,83.3100,84.8900,79.2600,83.7800,591697
2020-11-23,84.5000,85.4050,81.2200,83.3600,448909
2020-11-24,83.5800,84.5400,80.4500,82.4900,208060
2020-11-25,82.1400,82.1400,77.0200,77.9800,440948
2020-11-27,77.7900,82.8300,76.5900,81.9400,251109
2020-11-30,81.8300,84.0000,78.5300,82.8600,279228
2020-12-01,84.6800,85.2500,79.5200,79.9300,209785
2020-12-02,80.1900,80.6600,76.5000,79.0000,367002
2020-12-03,78.5200,79.4200,76.8101,77.2700,273213
2020-12-04,77.5800,82.1600,77.4400,81.2800,210521
2020-12-07,81.8000,87.7600,81.8000,85.3800,345432
2020-12-08,87.4900,89.8200,83.2341,89.3500,323276
2020-12-09,89.9700,95.9700,85.8600,87.6200,532801
2020-12-10,86.5400,94.1000,86.5400,90.0000,728848
2020-12-11,91.3700,96.7200,85.0700,89.5100,672447
2020-12-14,89.6800,92.2550,82.1800,82.8100,369628
2020-12-15,82.9700,85.5300,82.5000,83.5700,400246
2020-12-16,83.4600,87.7032,82.8050,87.0400,230697
2020-12-17,87.4100,91.7600,86.4300,88.6500,393770
2020-12-18,89.2900,94.9700,89.2900,94.2050,537733
2020-12-21,94.0000,104.9900,92.2600,103.5600,556467
2020-12-22,104.6000,109.7800,92.2400,106.0000,895726
2020-12-23,110.9300,113.5299,101.2800,103.4500,434655
2020-12-24,103.1400,108.0200,101.7600,103.3800,157422
2020-12-28,106.0800,106.1000,98.0900,98.7400,426552
2020-12-29,98.5000,101.0000,88.1800,89.5000,536006
2020-12-30,92.2400,99.9999,91.3100,92.0000,338392
2020-12-31,92.1100,93.8400,84.8200,89.4100,442048
2021-01-04,90.5000,90.9400,80.3400,83.5400,641073
2021-01-05,83.1700,93.0200,83.1700,88.6500,647333
2021-01-06,91.7700,91.7700,85.5400,87.8000,499383
2021-01-07,90.4400,91.7100,87.0000,89.0600,1040209
2021-01-08,93.7600,98.3900,87.8300,88.8500,889356
2021-01-11,88.5300,91.0355,85.4000,89.2600,511779
2021-01-12,89.2300,92.5800,87.4800,87.7500,511444
2021-01-13,87.7600,87.8000,78.9700,83.7100,2722130
2021-01-14,84.4500,86.1400,84.0000,85.4200,1173949
2021-01-15,85.8400,90.0900,82.6500,83.7500,1415165
2021-01-19,84.2700,84.5450,79.6100,80.8300,1353278
2021-01-20,81.0800,85.0900,79.5050,82.7800,1311174
2021-01-21,82.9600,83.2800,80.6700,83.0100,833950
2021-01-22,81.9300,82.3200,79.7300,81.0300,1217922
2021-01-25,81.7400,83.3700,79.0710,79.9500,1145934
2021-01-26,80.2100,80.2800,72.9300,73.2200,1875187
2021-01-27,74.8000,79.6700,70.0100,71.3400,1576571
2021-01-28,70.3000,75.0500,70.1000,74.5500,1604182
2021-01-29,75.0000,76.1022,71.0200,72.0000,613539
2021-02-01,71.9700,74.7900,71.2000,71.8600,1156994
2021-02-02,72.7100,79.2200,72.4850,77.1800,1542713
2021-02-03,78.0200,79.0100,74.9000,76.9700,755371
2021-02-04,77.5000,77.9400,75.6588,77.6000,435245
2021-02-05,77.6000,79.3700,76.0850,78.3100,853860
2021-02-08,78.4000,79.2774,73.5000,79.0100,995872
2021-02-09,79.0000,80.7500,78.0500,80.0000,856720
2021-02-10,80.9900,82.4200,77.0000,78.6200,579098
2021-02-11,79.2300,80.0800,77.1600,78.8100,532860
2021-02-12,79.8000,80.0100,78.6000,79.9800,529583
2021-02-16,80.8800,80.8900,76.4350,76.6200,454408
2021-02-17,75.5500,76.2000,73.3000,74.5500,400548
2021-02-18,73.5700,73.9800,70.3500,73.0200,710564
2021-02-19,73.1300,74.3958,71.6700,72.0200,378064
2021-02-22,71.6000,74.1664,68.8950,69.3400,616036
2021-02-23,66.5000,71.7700,61.0100,67.8300,1304477
2021-02-24,68.8300,71.1600,66.7400,67.5000,875163
2021-02-25,67.7500,67.7800,61.2000,61.9100,1172927
2021-02-26,62.2800,65.4200,61.8000,61.9700,1963209
2021-03-01,62.1600,62.8000,56.8700,62.3000,2352616
2021-03-02,65.0300,65.2000,61.7100,61.8500,1869158
2021-03-03,63.6500,63.6500,58.6600,58.7800,1481111
2021-03-04,57.7700,57.8100,52.7100,53.7200,2158280
2021-03-05,54.0000,54.6900,47.2800,49.7450,3064350
2021-03-08,50.1300,52.6900,47.3900,47.8200,1637327
2021-03-09,50.0000,54.6900,49.9700,53.3100,1262154
2021-03-10,52.5500,55.3700,52.0000,53.0900,1721388
2021-03-11,55.6200,55.8300,53.6300,55.4500,1118692
2021-03-12,54.3000,55.0500,53.1200,54.2400,826051
2021-03-15,54.1700,55.1800,52.7500,54.2600,1121861
2021-03-16,55.0100,55.3600,52.9350,54.2100,1187668
2021-03-17,53.2500,55.5000,53.2400,54.8700,1241866
2021-03-18,54.1500,54.7000,49.4700,49.8900,1705760
2021-03-19,50.3000,52.3500,48.6200,48.8100,2368198
2021-03-22,49.9800,51.9400,49.7100,51.1400,1274547
2021-03-23,51.0600,51.3750,48.8200,49.4000,1184977
2021-03-24,49.5900,49.9750,46.2306,47.1500,1431861
2021-03-25,45.5000,46.6200,43.8800,45.4500,1203580
2021-03-26,45.5700,47.0400,42.5494,44.7800,2224428
2021-03-29,44.8000,45.4900,43.2000,44.4900,788957
2021-03-30,44.0000,45.7600,42.0300,44.3300,918434
2021-03-31,44.9300,50.5900,44.3700,50.2300,1161994
2021-04-01,50.6400,52.3300,47.7700,48.8550,1661942
2021-04-05,50.0600,51.5350,49.4000,51.3000,643031
2021-04-06,51.1700,51.6100,48.6000,50.4600,669446
2021-04-07,50.1900,51.6500,49.7665,50.7900,538989
2021-04-08,51.7100,52.2600,48.0100,49.0800,1052323
2021-04-09,48.9200,48.9200,46.6800,47.2400,502859
2021-04-12,47.4700,48.2000,45.8950,47.6400,940149
2021-04-13,47.7300,49.2300,47.1500,48.7800,554190
2021-04-14,49.2800,50.5399,47.3600,48.4300,436602
2021-04-15,48.9800,50.1600,48.9500,49.0700,320847
2021-04-16,48.8400,48.8400,46.7000,47.9300,411292
2021-04-19,47.1700,47.8500,45.5100,46.8800,408978
2021-04-20,46.9600,47.5800,45.2900,46.7600,457952
2021-04-21,46.4300,48.0200,45.6200,48.0200,357530
2021-04-22,48.9600,49.5900,47.5300,48.8500,405975
2021-04-23,49.1900,50.6224,48.8000,50.0400,589300
2021-04-26,50.5000,53.0000,50.0000,52.9900,921368
2021-04-27,52.9800,52.9800,50.7500,52.8000,679380
2021-04-28,52.3800,53.4200,51.7400,52.9500,509518
2021-04-29,53.1600,53.2100,49.2068,50.3800,417810
2021-04-30,49.9400,50.5934,48.7283,49.1100,428348
2021-05-03,49.2000,49.8200,48.8400,49.3100,434777
2021-05-04,48.5800,49.0000,46.7900,48.1900,502984
2021-05-05,48.5800,50.4500,47.8100,49.1200,603908
2021-05-06,48.9100,48.9100,45.8201,47.9200,1450099
2021-05-07,49.6041,49.7800,46.3800,46.5000,826117
2021-05-10,45.6100,47.7200,44.6400,45.5400,1271448
2021-05-11,42.9205,44.1200,40.2210,43.1300,2536124
2021-05-12,41.9400,43.6100,39.2150,39.5300,1318292
2021-05-13,39.7200,40.0000,35.5100,36.4000,1615255
2021-05-14,37.0800,37.7100,35.8100,37.1300,1659130
2021-05-17,36.8100,38.1700,35.8100,38.1300,1005406
2021-05-18,38.0000,39.8500,37.4700,39.0900,1065217
2021-05-19,38.5000,40.3200,37.5200,39.9300,621159
2021-05-20,40.4400,42.9800,39.7393,42.2000,720577
2021-05-21,42.3800,43.2800,41.2100,42.5300,446509
2021-05-24,42.9000,43.6500,42.0400,42.1800,482402
2021-05-25,42.5300,43.8100,41.6600,42.5700,336269
2021-05-26,42.4400,43.9600,42.4400,43.8200,354646
