"MacroTrends Data Download"
"BXRX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-11-22,144.2000,169.4000,126.0000,156.8000,16678
2019-11-25,125.3000,161.0000,124.9500,159.6000,4260
2019-11-26,166.6000,294.3500,161.1680,240.1000,19842
2019-11-27,248.8500,270.2000,182.0000,196.0000,19059
2019-11-29,193.9000,199.5000,182.0000,187.9500,4066
2019-12-02,191.1000,198.4500,178.8500,189.0000,7319
2019-12-03,187.2500,202.8250,177.8000,197.7500,2886
2019-12-04,204.0500,215.6000,192.5000,202.3000,6800
2019-12-05,204.7500,238.7000,200.7250,221.5500,8029
2019-12-06,224.3500,238.3500,218.7500,233.4500,7507
2019-12-09,236.2500,236.2500,213.5000,218.7500,3559
2019-12-10,218.7500,229.2500,214.2350,223.6500,8677
2019-12-11,223.6500,223.8740,211.0500,215.2500,4906
2019-12-12,215.6000,222.6000,210.3500,220.5000,2031
2019-12-13,222.2500,222.2500,206.5000,211.7500,4603
2019-12-16,211.7500,223.6500,210.0000,215.2500,2778
2019-12-17,214.5500,228.9000,205.1000,206.5000,4748
2019-12-18,205.4500,206.5000,186.5500,191.1000,6851
2019-12-19,192.5000,207.2000,186.1230,196.0000,2868
2019-12-20,196.3500,205.0650,192.8500,200.2000,4885
2019-12-23,197.0500,253.7080,197.0500,242.2000,6762
2019-12-24,245.0000,247.6705,223.3000,234.5000,1321
2019-12-26,233.1000,257.7750,225.0500,252.0000,3798
2019-12-27,254.8000,289.7965,252.0000,253.4000,6059
2019-12-30,253.7500,266.7000,236.6000,244.3000,2220
2019-12-31,243.6000,252.7000,241.5000,242.2000,1777
2020-01-02,243.2500,243.2500,222.6000,228.5500,3747
2020-01-03,227.5000,250.2500,217.0000,246.7500,3376
2020-01-06,247.4500,249.8965,222.2500,238.0000,6373
2020-01-07,238.0000,243.2500,222.6000,241.8500,1071
2020-01-08,238.0000,253.7465,238.0000,245.3500,1998
2020-01-09,244.6500,248.8500,235.5500,244.3000,2376
2020-01-10,249.2000,262.5000,245.0000,253.4000,7505
2020-01-13,255.8500,278.2500,253.7500,273.7000,6873
2020-01-14,278.2500,278.2500,255.5000,256.5500,2047
2020-01-15,268.4290,268.4290,233.4500,241.5000,3578
2020-01-16,245.0000,266.3220,245.0000,261.4500,1987
2020-01-17,262.1500,273.3500,252.3500,258.3000,1928
2020-01-21,258.3000,278.2500,245.0000,246.4000,3295
2020-01-22,277.9000,315.0000,269.1885,298.5500,22151
2020-01-23,320.6000,336.0000,295.4000,296.1000,13024
2020-01-24,301.3500,317.1000,262.5000,290.6750,3572
2020-01-27,287.0000,319.2000,280.3500,297.8500,4064
2020-01-28,308.3500,317.6705,301.0000,304.1500,3798
2020-01-29,317.8000,324.3170,292.9500,303.8000,3870
2020-01-30,303.8000,310.8000,292.7330,300.6500,3894
2020-01-31,300.6500,304.5000,285.6385,292.9500,3687
2020-02-03,303.1000,306.6000,285.6000,296.1000,3745
2020-02-04,297.8500,306.5510,292.2500,297.1500,3042
2020-02-05,297.5000,336.0000,287.7000,323.0500,6045
2020-02-06,328.6500,331.3135,315.3500,318.5000,3992
2020-02-07,322.0000,329.0000,311.8500,315.0000,3493
2020-02-10,315.3500,323.3160,283.2445,292.9500,5520
2020-02-11,291.5500,295.7500,267.7500,285.9500,6561
2020-02-12,282.4500,298.9000,282.4500,290.5000,3475
2020-02-13,289.1000,310.8665,289.1000,299.2500,3958
2020-02-14,297.8500,303.8875,287.0000,288.0500,4558
2020-02-18,297.1500,307.0480,287.3500,293.3000,8060
2020-02-19,304.5000,313.9500,274.4000,274.4000,16073
2020-02-20,291.9000,295.7500,261.1000,279.9650,34394
2020-02-21,344.7500,354.9000,303.1000,320.6000,226336
2020-02-24,304.5000,336.0000,297.8500,313.2500,41138
2020-02-25,321.3000,323.7500,278.9500,280.0000,28000
2020-02-26,285.9500,285.9500,242.5500,254.1000,24191
2020-02-27,247.1000,248.5000,214.0250,235.2000,16871
2020-02-28,219.8000,258.3000,217.0000,244.3000,20031
2020-03-02,248.5000,258.2965,236.2500,244.6500,13697
2020-03-03,245.0000,247.8000,221.2000,227.5000,11033
2020-03-04,231.0000,277.1965,229.6000,266.3500,20812
2020-03-05,266.0000,270.9000,242.9000,250.2500,6768
2020-03-06,237.6500,243.8450,223.6500,225.4000,15828
2020-03-09,208.6000,209.3000,190.5750,194.2500,9536
2020-03-10,205.1000,216.2685,174.8250,194.9500,11522
2020-03-11,188.6500,194.7750,171.8500,172.9000,7686
2020-03-12,154.3500,171.1500,147.9695,155.4000,12086
2020-03-13,169.7500,172.2000,140.3500,147.3500,8503
2020-03-16,140.0000,159.2500,128.8000,144.9000,5783
2020-03-17,145.9500,185.5000,145.9500,175.7000,8103
2020-03-18,166.9500,174.6500,141.7500,147.7000,5081
2020-03-19,147.7000,190.0500,147.7000,162.4000,5159
2020-03-20,166.2500,169.7500,142.8000,148.7500,6517
2020-03-23,150.1500,156.8000,140.0000,152.9500,4537
2020-03-24,104.6500,104.6500,75.6000,79.4500,123310
2020-03-25,82.2500,85.4000,77.0000,81.9000,36122
2020-03-26,82.2500,92.4000,78.0500,91.0000,61412
2020-03-27,91.0000,97.6500,85.7500,92.7500,30586
2020-03-30,96.2500,97.3000,85.4000,87.5000,27098
2020-03-31,86.1000,89.9500,80.1500,86.8000,29965
2020-04-01,86.4500,87.5000,79.8000,80.1500,18145
2020-04-02,79.4500,85.4000,75.9500,77.0000,21099
2020-04-03,77.7000,84.0000,76.3000,77.0000,20642
2020-04-06,81.5500,88.2000,78.7500,83.3000,27698
2020-04-07,87.8500,90.3000,83.3000,83.6500,20571
2020-04-08,84.3500,88.5500,80.5000,84.0000,20507
2020-04-09,87.8500,88.2000,84.0000,84.1750,11968
2020-04-13,85.0500,87.5000,77.0000,82.2500,11732
2020-04-14,85.7500,86.1000,80.8500,82.2500,12536
2020-04-15,80.1500,84.7000,78.7500,83.6500,11762
2020-04-16,84.0000,84.6965,79.1000,82.2500,12992
2020-04-17,83.6500,85.7465,81.0250,81.9000,8827
2020-04-20,81.9000,86.4500,81.5500,83.6500,16663
2020-04-21,83.6500,87.5000,82.2500,86.4500,15120
2020-04-22,88.9000,100.1000,86.8000,92.7500,41097
2020-04-23,94.5000,101.1500,91.0000,97.3000,43535
2020-04-24,99.4000,106.0500,95.5500,101.1500,44842
2020-04-27,103.9500,110.6000,99.7500,109.5500,59914
2020-04-28,111.3000,121.8000,109.5500,119.3500,50881
2020-04-29,123.9000,123.9000,106.7500,113.9250,42820
2020-04-30,110.9500,114.8000,105.7000,107.6250,19501
2020-05-01,106.0500,113.4000,101.8500,109.5500,24131
2020-05-04,108.8500,114.4500,106.7500,112.0000,26527
2020-05-05,113.7500,119.0000,108.8500,111.6500,27427
2020-05-06,110.9500,112.0000,101.8500,106.7500,17756
2020-05-07,107.1000,108.1500,102.2000,104.3000,16121
2020-05-08,102.2000,108.8500,101.5000,106.0500,17190
2020-05-11,107.1000,108.3775,102.2000,106.7500,21110
2020-05-12,108.5000,135.8000,108.1500,122.5000,55197
2020-05-13,122.5000,136.5000,122.5000,127.0500,41162
2020-05-14,129.1500,129.4545,119.0000,121.1000,22105
2020-05-15,128.4500,173.2500,122.8500,151.9000,141801
2020-05-18,157.5000,161.0000,135.1000,147.0000,72048
2020-05-19,143.1500,147.3500,140.0000,140.3500,14412
2020-05-20,140.7000,149.1000,140.7000,142.1000,21077
2020-05-21,143.5000,144.5500,135.4500,139.3000,14236
2020-05-22,140.0000,143.1500,134.7500,141.0500,12994
2020-05-26,152.2500,157.5000,147.0000,152.6000,29867
2020-05-27,158.5500,165.5465,150.5000,158.2000,25384
2020-05-28,158.2000,164.5000,152.9500,153.6500,17266
2020-05-29,152.9500,154.4060,143.5000,148.7500,18047
2020-06-01,148.7500,152.9500,142.4500,143.5000,14596
2020-06-02,145.2500,145.2500,132.3000,137.9000,20527
2020-06-03,139.6500,145.2500,137.9000,140.7000,14835
