"MacroTrends Data Download"
"CAH - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1987-12-31,0.5388,0.5537,0.5319,0.5537,66297
1988-01-04,0.5537,0.5537,0.5537,0.5537,23796
1988-01-05,0.5606,0.5606,0.5606,0.5606,109498
1988-01-06,0.5606,0.5894,0.5462,0.5894,67500
1988-01-07,0.5894,0.6037,0.5750,0.6037,55898
1988-01-08,0.6181,0.6394,0.6181,0.6181,93299
1988-01-11,0.6181,0.6537,0.6181,0.6537,164696
1988-01-12,0.6537,0.6537,0.6537,0.6537,898
1988-01-13,0.6394,0.6394,0.6394,0.6394,14403
1988-01-14,0.6394,0.6394,0.6181,0.6394,32399
1988-01-15,0.6394,0.6537,0.6256,0.6537,30298
1988-01-18,0.6537,0.6537,0.6394,0.6394,8199
1988-01-19,0.6394,0.6394,0.6181,0.6394,12697
1988-01-20,0.6181,0.6181,0.6181,0.6181,69700
1988-01-21,0.6181,0.6181,0.6181,0.6181,60002
1988-01-22,0.6181,0.6256,0.6181,0.6256,15697
1988-01-25,0.6256,0.6256,0.6256,0.6256,99
1988-01-26,0.6256,0.6394,0.6037,0.6394,12697
1988-01-27,0.6394,0.6394,0.6037,0.6394,42402
1988-01-28,0.6394,0.6394,0.6394,0.6394,8998
1988-01-29,0.6394,0.6687,0.6394,0.6687,74199
1988-02-01,0.6900,0.7618,0.6900,0.7331,305999
1988-02-02,0.7331,0.7331,0.6900,0.7331,30298
1988-02-03,0.7331,0.7331,0.6900,0.6900,17097
1988-02-04,0.6900,0.7187,0.6831,0.7187,47403
1988-02-05,0.7043,0.7043,0.6687,0.6687,39699
1988-02-08,0.6687,0.6900,0.6537,0.6537,92697
1988-02-09,0.6537,0.6900,0.6537,0.6537,8998
1988-02-10,0.6687,0.6900,0.6687,0.6687,33898
1988-02-11,0.6756,0.6900,0.6756,0.6900,12697
1988-02-12,0.6900,0.6900,0.6687,0.6900,59400
1988-02-16,0.6900,0.6900,0.6687,0.6900,50798
