"MacroTrends Data Download"
"CMAX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-09-21,9.9000,9.9000,9.9000,9.9000,49573
2020-09-22,10.4500,10.4500,10.1001,10.1300,2500
2020-09-23,10.1300,10.1300,10.1300,10.1300,2
2020-09-24,10.1300,10.1300,10.1300,10.1300,0
2020-09-25,10.1300,10.1300,10.1300,10.1300,0
2020-09-28,10.1300,10.1300,10.1300,10.1300,19
2020-09-29,10.1300,10.1300,10.1300,10.1300,41
2020-09-30,10.2000,10.8400,10.1500,10.5000,15224
2020-10-01,11.0200,11.1050,10.5000,10.6200,22189
2020-10-02,10.2000,10.4000,10.2000,10.2100,1470
2020-10-05,10.2000,10.6200,10.2000,10.6200,2290
2020-10-06,10.2500,10.5200,10.2000,10.5200,4203
2020-10-07,10.5500,11.0950,10.3750,10.4450,9705
2020-10-08,10.6500,10.6500,10.6500,10.6500,152
2020-10-09,10.5499,10.5499,10.5499,10.5499,166
2020-10-12,10.5499,10.5499,10.5499,10.5499,53
2020-10-13,10.2000,10.2000,10.2000,10.2000,19538
2020-10-14,10.2200,10.2200,10.2000,10.2000,2635
2020-10-15,10.2500,10.5100,10.2000,10.2700,12935
2020-10-16,10.2700,10.2700,10.2700,10.2700,41
2020-10-19,10.6500,10.6500,10.2500,10.2500,1548
2020-10-20,10.2500,10.2500,10.2500,10.2500,3
2020-10-21,10.7500,10.7500,10.2050,10.2050,831
2020-10-22,10.2050,10.2050,10.2050,10.2050,70
2020-10-23,10.2000,10.2500,10.1600,10.2000,5647
2020-10-26,10.1500,10.1500,10.1500,10.1500,1521
2020-10-27,10.2500,10.2600,10.2500,10.2500,936
2020-10-28,10.3000,10.3000,10.3000,10.3000,402
2020-10-29,10.3000,10.3000,10.3000,10.3000,2
2020-10-30,10.2000,10.2000,10.1000,10.1000,18912
2020-11-02,10.1600,10.1600,10.1000,10.1200,210470
2020-11-03,10.3500,10.3500,10.3500,10.3500,105
2020-11-04,10.2000,10.2500,10.1500,10.2500,1505
2020-11-05,10.2500,10.2500,10.2500,10.2500,2101
2020-11-06,10.2050,10.2150,10.2000,10.2000,2330
2020-11-09,10.2000,10.2000,10.2000,10.2000,91
2020-11-10,10.1500,10.1500,10.1500,10.1500,12014
2020-11-11,10.1600,10.1600,10.1500,10.1500,40308
2020-11-12,10.1500,10.2000,10.1500,10.2000,5000
2020-11-13,10.2000,10.2000,10.2000,10.2000,2467
