"MacroTrends Data Download"
"GEG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2016-11-28,4.1500,4.2000,4.0000,4.2000,3706
2016-11-29,3.8945,4.1500,3.8945,4.1000,8035
2016-11-30,4.0000,4.0000,3.8000,3.9500,7168
2016-12-01,3.8500,3.9500,3.7500,3.7500,5694
2016-12-02,3.7500,3.9000,3.7000,3.7000,7886
2016-12-05,3.7127,3.8000,3.7065,3.7500,14700
2016-12-06,3.7001,3.8000,3.7000,3.7500,15977
2016-12-07,3.7500,3.9000,3.7500,3.7500,3550
2016-12-08,3.9500,3.9500,3.7990,3.8500,11374
2016-12-09,3.8500,3.8500,3.7000,3.8000,25328
2016-12-12,3.7500,3.8000,3.7000,3.8000,13068
2016-12-13,3.7500,4.3250,3.7500,4.3000,392895
2016-12-14,4.3000,4.5500,4.2000,4.4000,252664
2016-12-15,4.4292,4.4292,4.1500,4.1500,11057
2016-12-16,4.1000,4.1500,4.0500,4.1000,42974
2016-12-19,4.1500,4.1754,3.9000,4.0000,27304
2016-12-20,3.9000,4.0001,3.9000,3.9500,27610
2016-12-21,3.8500,3.9500,3.8010,3.8500,32276
2016-12-22,3.7500,3.9500,3.6500,3.7500,66963
2016-12-23,3.7000,4.1500,3.6000,4.1000,65500
2016-12-27,3.8500,4.1000,3.8000,4.0001,22871
2016-12-28,3.9000,3.9000,3.8000,3.8500,21489
2016-12-29,3.6250,3.7000,3.4501,3.6501,21766
2016-12-30,3.5750,3.7500,3.5500,3.7500,45929
2017-01-03,3.7501,3.8500,3.6000,3.8000,30891
2017-01-04,3.8500,3.8500,3.5500,3.6000,114073
