"MacroTrends Data Download"
"ACHR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-12-18,10.1500,10.1500,9.9600,9.9700,54454
2020-12-21,10.3400,10.3400,9.8300,10.0700,23651
2020-12-22,10.0900,10.1200,9.9600,10.0200,186020
2020-12-23,10.1400,10.2300,9.7300,10.0600,30508
2020-12-24,10.0500,10.1900,9.9500,10.0300,254252
2020-12-28,11.0100,11.8200,10.2000,10.4400,333088
2020-12-29,10.4900,10.4900,10.1500,10.2200,109380
2020-12-30,10.2900,10.4500,10.1900,10.2000,50894
2020-12-31,10.3200,10.3200,10.0600,10.0600,132717
2021-01-04,10.1090,10.1500,10.0700,10.0900,25100
2021-01-05,10.1900,10.2800,10.1200,10.1600,135191
2021-01-06,10.3100,10.5200,10.1300,10.1500,210086
2021-01-07,10.2900,10.3900,10.1200,10.2200,121074
2021-01-08,10.2700,10.4200,10.2000,10.3700,284346
2021-01-11,10.4000,10.4001,10.2600,10.3600,251680
2021-01-12,10.4000,10.6800,10.2600,10.4600,247923
2021-01-13,10.6000,10.6800,10.4200,10.4800,858641
2021-01-14,10.5900,10.5900,10.4400,10.4900,925527
2021-01-15,10.5100,10.5400,10.3800,10.4200,211340
2021-01-19,10.4900,10.5900,10.4100,10.5600,1115313
2021-01-20,10.6200,10.6200,10.4600,10.5000,284113
2021-01-21,10.6000,10.7200,10.5200,10.5600,272156
2021-01-22,10.5500,10.6500,10.4800,10.6000,463445
2021-01-25,10.7400,10.8700,10.5300,10.7300,505310
2021-01-26,10.8500,10.9000,10.5300,10.5800,396233
2021-01-27,10.4400,10.5000,10.2100,10.2500,576803
2021-01-28,10.4100,10.5600,10.2800,10.4400,547748
2021-01-29,10.4400,10.5000,10.2800,10.3400,229068
2021-02-01,10.4200,10.7000,10.4000,10.6700,249461
2021-02-02,10.6400,10.8800,10.6400,10.7500,364679
2021-02-03,10.6900,11.1050,10.6500,10.7900,590553
2021-02-04,11.0800,11.2300,10.8700,11.0000,851215
2021-02-05,11.1500,11.7800,11.0200,11.3200,804799
2021-02-08,11.4700,11.6600,11.1600,11.3200,536217
2021-02-09,11.4100,11.5200,11.1200,11.2400,424474
2021-02-10,15.4300,15.7500,13.4000,13.6800,29410543
2021-02-11,14.5000,14.8300,13.5600,14.0800,14332715
2021-02-12,13.8500,13.8500,13.0000,13.5600,6635940
2021-02-16,14.8700,14.8700,13.6100,14.1400,8002512
2021-02-17,16.4300,16.5000,15.1700,16.1000,14959634
2021-02-18,16.4200,18.6000,16.1600,17.1400,15593356
2021-02-19,17.6000,18.0800,16.0000,16.2800,9096389
2021-02-22,16.5500,17.2900,14.5100,14.8700,8342234
2021-02-23,13.4000,13.8600,11.6400,13.4000,9801176
2021-02-24,13.5600,14.2600,13.0100,13.5200,5540579
2021-02-25,13.2500,13.4000,12.0000,12.1600,6254531
2021-02-26,12.6800,12.9000,11.8800,11.9000,6203155
2021-03-01,12.9100,13.3700,12.6500,12.8500,3997686
2021-03-02,13.0900,13.4100,12.2800,12.3600,6901018
2021-03-03,12.4900,12.7295,11.2000,11.2200,7977363
