"MacroTrends Data Download"
"CAT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1962-01-02,1.3955,1.4089,1.3817,1.3955,163200
1962-01-03,1.3955,1.4089,1.3817,1.4089,155196
1962-01-04,1.4408,1.4861,1.4408,1.4455,355200
1962-01-05,1.4455,1.4770,1.4408,1.4589,163200
1962-01-08,1.4589,1.4814,1.4498,1.4680,203196
1962-01-09,1.4680,1.4951,1.4545,1.4814,289596
1962-01-10,1.4814,1.4904,1.4589,1.4632,182400
1962-01-11,1.4632,1.4861,1.4498,1.4861,384000
1962-01-12,1.4861,1.5133,1.4680,1.4951,351996
1962-01-15,1.4951,1.5042,1.4680,1.4904,279996
1962-01-16,1.4770,1.4770,1.4589,1.4680,163200
1962-01-17,1.4680,1.4861,1.4589,1.4632,159996
1962-01-18,1.4632,1.4951,1.4632,1.4951,260796
1962-01-19,1.4951,1.5223,1.4680,1.5223,356796
1962-01-22,1.5223,1.5404,1.5176,1.5176,260796
1962-01-23,1.5176,1.5314,1.4861,1.4861,222396
1962-01-24,1.4861,1.4861,1.4498,1.4770,120000
1962-01-25,1.4770,1.4999,1.4727,1.4861,150396
1962-01-26,1.4861,1.4999,1.4680,1.4861,107196
1962-01-29,1.4861,1.4999,1.4814,1.4999,121596
1962-01-30,1.4951,1.4951,1.4727,1.4770,120000
1962-01-31,1.4770,1.4999,1.4770,1.4861,188796
1962-02-01,1.4861,1.5223,1.4861,1.5133,111996
1962-02-02,1.5133,1.5176,1.4999,1.5042,198396
1962-02-05,1.5042,1.5089,1.4999,1.4999,96000
1962-02-06,1.5042,1.5176,1.5042,1.5089,105600
1962-02-07,1.5089,1.5176,1.4904,1.4904,121596
1962-02-08,1.4904,1.4951,1.4904,1.4904,140796
1962-02-09,1.4904,1.4951,1.4727,1.4727,115200
1962-02-12,1.4727,1.4770,1.4545,1.4770,97596
1962-02-13,1.4770,1.4814,1.4632,1.4727,86400
1962-02-14,1.4727,1.4727,1.4498,1.4589,177600
1962-02-15,1.4545,1.4545,1.4317,1.4498,59196
1962-02-16,1.4498,1.4680,1.4226,1.4589,87996
1962-02-19,1.4589,1.4727,1.4455,1.4589,169596
1962-02-20,1.4589,1.4632,1.4498,1.4545,67200
1962-02-21,1.4545,1.4545,1.4136,1.4226,97596
1962-02-23,1.4226,1.4408,1.4136,1.4226,96000
1962-02-26,1.4498,1.4770,1.4498,1.4770,158400
1962-02-27,1.4770,1.4861,1.4589,1.4632,116796
1962-02-28,1.4632,1.4814,1.4498,1.4632,139200
1962-03-01,1.4632,1.4814,1.4632,1.4632,73596
1962-03-02,1.4632,1.4680,1.4498,1.4680,105600
1962-03-05,1.4680,1.4727,1.4498,1.4680,78396
1962-03-06,1.4680,1.4814,1.4498,1.4589,97596
1962-03-07,1.4589,1.4589,1.4317,1.4408,172800
1962-03-08,1.4408,1.4455,1.4226,1.4270,97596
1962-03-09,1.4270,1.4317,1.4226,1.4226,86400
1962-03-12,1.4226,1.4270,1.4045,1.4045,96000
1962-03-13,1.4045,1.4226,1.3817,1.4136,140796
1962-03-14,1.4183,1.4455,1.4183,1.4455,116796
1962-03-15,1.4455,1.4455,1.4226,1.4317,139200
1962-03-16,1.4317,1.4455,1.4317,1.4455,78396
1962-03-19,1.4455,1.4632,1.4361,1.4455,105600
1962-03-20,1.4498,1.4770,1.4498,1.4770,177600
1962-03-21,1.4770,1.4814,1.4317,1.4408,231996
1962-03-22,1.4498,1.4727,1.4498,1.4632,268800
1962-03-23,1.4632,1.4770,1.4545,1.4632,188796
1962-03-26,1.4632,1.4680,1.4408,1.4545,124800
1962-03-27,1.4545,1.4589,1.4498,1.4545,111996
1962-03-28,1.4545,1.4814,1.4545,1.4814,145596
1962-03-29,1.4814,1.4814,1.4589,1.4632,91200
1962-03-30,1.4632,1.4814,1.4589,1.4814,86400
1962-04-02,1.4770,1.4770,1.4455,1.4545,230400
1962-04-03,1.4545,1.4727,1.4455,1.4498,168000
1962-04-04,1.4498,1.4632,1.4455,1.4545,115200
1962-04-05,1.4545,1.4680,1.4498,1.4680,192000
1962-04-06,1.4632,1.4632,1.4455,1.4632,148800
1962-04-09,1.4632,1.4632,1.4455,1.4455,124800
