"MacroTrends Data Download"
"EVEX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-01-07,10.5000,10.5000,10.1300,10.1952,163212
2021-01-08,10.3000,10.6000,10.2910,10.4400,511609
2021-01-11,10.4400,10.6000,10.3502,10.4000,499790
2021-01-12,10.4500,10.6500,10.3800,10.5200,686149
2021-01-13,10.5900,10.7266,10.4900,10.5900,824455
2021-01-14,10.6500,10.8500,10.6100,10.6400,1200363
2021-01-15,10.9700,10.9700,10.7300,10.7600,1225979
2021-01-19,10.9950,11.3700,10.9600,11.3500,2589350
2021-01-20,12.0300,12.1600,11.5000,11.7700,2337819
2021-01-21,12.8000,13.1700,12.2200,12.5700,4093462
2021-01-22,12.3000,13.2100,12.2000,13.1000,2609907
2021-01-25,14.2700,14.3999,12.4000,13.0100,3729390
2021-01-26,13.7500,14.0000,12.2800,12.4700,3017903
2021-01-27,11.7600,12.4000,11.5100,11.7000,2657522
2021-01-28,12.2000,12.3000,11.8300,12.0000,1267270
2021-01-29,11.8100,12.0800,11.6000,11.8500,1155910
2021-02-01,12.6400,12.9500,12.2600,12.6100,1681639
2021-02-02,13.0000,13.1600,12.7700,12.9000,1802723
2021-02-03,12.9200,13.5000,12.9000,13.4700,1298819
2021-02-04,13.2900,13.4500,13.2000,13.3600,699770
2021-02-05,13.6400,14.3600,13.6200,14.1400,1631226
2021-02-08,14.8100,14.9500,14.2800,14.3900,2119814
2021-02-09,14.0100,14.2500,13.8600,14.1800,981130
2021-02-10,14.6100,14.6700,13.4000,14.1300,1332886
2021-02-11,14.0500,14.1000,13.5000,13.8500,1120655
2021-02-12,12.9400,13.1800,12.7600,13.0500,2286737
2021-02-16,12.6150,13.2200,12.5100,12.7300,1845917
2021-02-17,12.6900,12.8500,12.1700,12.5200,1287463
2021-02-18,12.2000,12.5974,12.1500,12.3400,931777
2021-02-19,12.4900,13.1100,12.3800,12.7000,1456501
2021-02-22,12.3200,12.5200,12.1400,12.1500,1239227
2021-02-23,11.4260,11.7000,10.6100,11.7000,2281405
2021-02-24,11.4200,11.6400,11.2500,11.3300,1205533
2021-02-25,11.2500,11.2900,10.7300,10.9400,1579879
2021-02-26,10.9400,10.9900,10.4500,10.8900,1534767
2021-03-01,11.0300,11.1400,10.9000,10.9600,844077
2021-03-02,10.8800,10.9000,10.4500,10.5700,1238941
2021-03-03,10.5300,10.5898,10.1000,10.3500,2293635
2021-03-04,10.1600,10.2900,10.1200,10.2000,2121847
2021-03-05,10.1200,10.4300,10.0100,10.3600,1744690
2021-03-08,10.2300,10.3500,10.1500,10.1900,812110
2021-03-09,10.1800,10.2800,10.1300,10.2300,649454
2021-03-10,10.1854,10.2800,10.1500,10.2000,769330
2021-03-11,10.1800,10.4900,10.1500,10.4600,932468
2021-03-12,10.2600,10.4200,10.2400,10.4200,378645
2021-03-15,10.3500,10.3800,10.2200,10.2400,505787
2021-03-16,10.2200,10.2700,10.1200,10.2000,612913
2021-03-17,10.1700,10.2900,10.0800,10.2400,459885
2021-03-18,10.1500,10.1900,10.0600,10.1200,646943
2021-03-19,10.0600,10.1450,10.0400,10.0700,545207
2021-03-22,10.0900,10.1500,10.0300,10.1200,562516
2021-03-23,10.0600,10.0900,9.9500,9.9900,641603
2021-03-24,9.9500,9.9900,9.9000,9.9600,728731
2021-03-25,9.8400,9.9800,9.8200,9.9800,806351
2021-03-26,9.9500,10.0900,9.9000,10.0500,410689
2021-03-29,10.0000,10.1200,9.9800,10.1000,270142
2021-03-30,9.9800,10.0600,9.9600,9.9900,626170
2021-03-31,10.0000,10.0700,9.9400,9.9500,551639
2021-04-01,9.9900,10.0100,9.9600,10.0000,248268
2021-04-05,10.0100,10.0600,9.9800,10.0500,371021
2021-04-06,10.0100,10.0500,9.9900,10.0300,242606
2021-04-07,10.0100,10.0800,10.0100,10.0700,415148
2021-04-08,10.1100,10.1100,10.0400,10.0800,290059
2021-04-09,10.0800,10.1000,10.0500,10.0900,414899
2021-04-12,10.0500,10.1100,10.0400,10.0800,688383
2021-04-13,10.0600,10.0700,10.0200,10.0300,406326
2021-04-14,10.0300,10.0900,10.0300,10.0900,387347
2021-04-15,10.0400,10.0700,10.0300,10.0600,486610
2021-04-16,10.0400,10.0500,10.0200,10.0400,723808
2021-04-19,10.0200,10.0300,10.0000,10.0200,1221724
2021-04-20,10.0100,10.0200,9.9900,10.0100,404056
2021-04-21,10.0000,10.0398,9.9900,10.0200,244873
2021-04-22,10.0300,10.0300,9.9900,10.0000,456811
2021-04-23,9.9900,10.0210,9.9900,10.0100,135842
2021-04-26,10.0000,10.0300,10.0000,10.0100,211954
2021-04-27,10.0000,10.0200,9.9900,10.0100,113446
2021-04-28,10.0000,10.0200,10.0000,10.0100,86198
2021-04-29,10.0200,10.0700,10.0000,10.0300,171838
2021-04-30,10.0000,10.0180,9.9900,10.0100,127442
2021-05-03,10.0000,10.0200,10.0000,10.0100,129923
2021-05-04,10.0000,10.0600,10.0000,10.0400,328232
2021-05-05,10.0200,10.0400,10.0200,10.0300,125834
2021-05-06,10.0200,10.0400,10.0200,10.0300,229964
2021-05-07,10.0100,10.0400,10.0050,10.0200,334268
2021-05-10,10.0200,10.0300,10.0100,10.0200,213724
2021-05-11,10.0100,10.0200,9.9900,10.0000,407163
2021-05-12,10.0000,10.0300,10.0000,10.0200,263278
2021-05-13,10.0000,10.0300,10.0000,10.0200,371060
2021-05-14,10.0200,10.0400,10.0100,10.0300,316048
2021-05-17,10.0100,10.0200,10.0100,10.0200,234812
2021-05-18,10.0100,10.0200,10.0100,10.0200,186909
2021-05-19,10.0100,10.0200,10.0100,10.0200,67412
2021-05-20,10.0100,10.0200,10.0100,10.0100,77730
2021-05-21,10.0100,10.0200,10.0100,10.0100,198601
2021-05-24,10.0000,10.0200,10.0000,10.0100,271388
2021-05-25,10.0100,10.0300,10.0100,10.0100,142834
2021-05-26,10.0100,10.0300,10.0100,10.0200,112828
2021-05-27,10.0200,10.0300,10.0198,10.0200,102201
2021-05-28,10.0200,10.0300,10.0200,10.0200,69714
2021-06-01,10.0100,10.0300,10.0100,10.0200,80264
2021-06-02,10.0200,10.0350,10.0200,10.0200,80809
2021-06-03,10.0300,10.0300,10.0200,10.0200,76314
2021-06-04,10.0200,10.0500,10.0200,10.0400,117348
2021-06-07,10.0400,10.0600,10.0200,10.0500,133585
2021-06-08,10.0500,10.0800,10.0400,10.0700,217430
2021-06-09,10.0900,10.1000,10.0500,10.0700,448116
2021-06-10,10.0500,10.1400,10.0500,10.1000,617481
2021-06-11,10.1000,10.1100,10.0900,10.1000,107096
2021-06-14,10.1000,10.1000,10.0800,10.0900,120734
2021-06-15,10.0810,10.0900,10.0800,10.0900,70657
2021-06-16,10.0700,10.0900,10.0700,10.0800,145088
2021-06-17,10.0700,10.0800,10.0700,10.0700,79966
