"MacroTrends Data Download"
"LMT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1977-01-03,1.9517,1.9791,1.9517,1.9791,165200
1977-01-04,1.9791,2.0044,1.8715,1.9791,179800
1977-01-05,1.9791,2.0297,1.9791,2.0297,189600
1977-01-06,2.0297,2.1373,2.0297,2.1373,384200
1977-01-07,2.1373,2.1627,2.1099,2.1627,345200
1977-01-10,2.1627,2.1901,2.1373,2.1627,311000
1977-01-11,2.1627,2.1627,2.1099,2.1099,155400
1977-01-12,2.0825,2.0825,2.0297,2.0572,198400
1977-01-13,2.0572,2.0572,2.0044,2.0297,155400
1977-01-14,2.0297,2.0572,2.0297,2.0297,116200
1977-01-17,2.0572,2.1373,2.0572,2.0825,222000
1977-01-18,2.1099,2.1373,2.1099,2.1373,112400
1977-01-19,2.1373,2.1627,2.1099,2.1099,149600
1977-01-20,2.1099,2.1373,2.0825,2.0825,179800
1977-01-21,2.0825,2.1099,2.0572,2.0572,185800
1977-01-24,2.1373,2.2407,2.1373,2.2407,850800
1977-01-25,2.2407,2.3209,2.2154,2.2407,502600
1977-01-26,2.2407,2.2407,2.1901,2.2154,263000
1977-01-27,2.2154,2.2407,2.1627,2.2154,258000
1977-01-28,2.2154,2.2407,2.1627,2.2154,122200
1977-01-31,2.1901,2.1901,2.1373,2.1627,114400
1977-02-01,2.1627,2.1627,2.1373,2.1627,81000
1977-02-02,2.1373,2.1373,2.0825,2.0825,112400
1977-02-03,2.0825,2.1099,2.0297,2.1099,153400
1977-02-04,2.1099,2.1373,2.1099,2.1099,121200
1977-02-07,2.1373,2.1901,2.1373,2.1373,82000
1977-02-08,2.1373,2.1373,2.1099,2.1099,115400
1977-02-09,2.1099,2.1627,2.1099,2.1099,283600
1977-02-10,2.1099,2.1099,2.0572,2.0825,74200
1977-02-11,2.0825,2.0825,2.0044,2.0044,152400
