"MacroTrends Data Download"
"PCAR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1986-07-09,0.7583,0.7650,0.7550,0.7550,317804
1986-07-10,0.7550,0.7617,0.7550,0.7617,494100
1986-07-11,0.7550,0.7617,0.7550,0.7550,194400
1986-07-14,0.7550,0.7583,0.7516,0.7550,656100
1986-07-15,0.7516,0.7583,0.7483,0.7583,2565594
1986-07-16,0.7583,0.7583,0.7516,0.7516,451494
1986-07-17,0.7516,0.7550,0.7516,0.7516,394794
1986-07-18,0.7516,0.7583,0.7516,0.7550,658004
1986-07-21,0.7550,0.7583,0.7550,0.7550,208494
1986-07-22,0.7550,0.7583,0.7383,0.7383,1350594
1986-07-23,0.7450,0.7450,0.7249,0.7249,1168304
1986-07-24,0.7249,0.7267,0.6848,0.6848,2188904
1986-07-25,0.6848,0.6915,0.6514,0.6548,1247400
1986-07-28,0.6548,0.6548,0.6481,0.6548,398804
1986-07-29,0.6514,0.6514,0.6398,0.6414,1101600
1986-07-30,0.6414,0.6447,0.6280,0.6314,868604
1986-07-31,0.6314,0.6314,0.6214,0.6280,410994
1986-08-01,0.6214,0.6280,0.6214,0.6214,595310
1986-08-04,0.6214,0.6214,0.5846,0.5913,2300400
1986-08-05,0.5846,0.5913,0.5679,0.5679,410994
1986-08-06,0.5679,0.5712,0.5679,0.5712,172004
1986-08-07,0.5679,0.5746,0.5679,0.5746,93110
1986-08-08,0.5679,0.5679,0.5679,0.5679,137700
1986-08-11,0.5712,0.5712,0.5679,0.5679,91004
1986-08-12,0.5712,0.5746,0.5679,0.5746,180104
1986-08-13,0.5746,0.5980,0.5746,0.5946,884804
1986-08-14,0.5980,0.6113,0.5980,0.6113,886910
1986-08-15,0.6147,0.6147,0.6080,0.6147,153900
1986-08-18,0.6147,0.6180,0.6147,0.6180,52610
