"MacroTrends Data Download"
"TREX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-04-08,1.2500,1.5625,1.2500,1.4225,7154400
1999-04-09,1.5313,1.7350,1.5075,1.6100,2672800
1999-04-12,1.6250,1.7025,1.5700,1.6250,1526400
1999-04-13,1.6638,1.7650,1.6325,1.7188,512000
1999-04-14,1.7263,1.7425,1.6250,1.7113,900000
1999-04-15,1.7263,1.7813,1.6875,1.7500,1294400
1999-04-16,1.7500,1.8438,1.7025,1.8363,370400
1999-04-19,1.8513,1.9613,1.8438,1.9450,654400
1999-04-20,1.9225,2.0000,1.7813,1.9375,914400
1999-04-21,1.9688,2.1100,1.9138,1.9225,1368800
1999-04-22,1.8750,1.8825,1.7350,1.7813,1296800
1999-04-23,1.7975,1.8600,1.7500,1.8600,776800
1999-04-26,1.8750,2.0000,1.8750,1.9688,1161600
1999-04-27,2.0000,2.0313,1.9375,1.9525,279200
1999-04-28,2.0000,2.0550,1.9925,2.0313,227200
1999-04-29,2.0625,2.0775,2.0000,2.0625,372800
1999-04-30,2.0625,2.1100,2.0000,2.0000,280800
1999-05-03,2.0313,2.1875,2.0313,2.1563,1390400
1999-05-04,2.1250,2.2188,2.1250,2.1725,620800
1999-05-05,2.1725,2.2025,2.0938,2.1563,348800
1999-05-06,2.1563,2.2500,2.1250,2.2113,135200
1999-05-07,2.2425,2.2975,2.2025,2.2025,521600
1999-05-10,2.2650,2.3275,2.2188,2.3125,876800
1999-05-11,2.2813,2.4850,2.2813,2.4063,1185600
1999-05-12,2.5000,2.5000,2.3438,2.3750,1321600
1999-05-13,2.3750,2.4300,2.3750,2.3900,1012000
1999-05-14,2.3900,2.4063,2.3750,2.3825,278400
1999-05-17,2.3900,2.4063,2.3750,2.4063,248800
1999-05-18,2.3988,2.4063,2.3600,2.3988,769600
1999-05-19,2.3988,2.4850,2.3988,2.4525,352000
1999-05-20,2.4450,2.7188,2.4375,2.6638,414400
1999-05-21,2.6725,2.7425,2.6400,2.7113,458400
1999-05-24,2.7350,2.8438,2.7350,2.8200,895200
1999-05-25,2.8750,2.9525,2.8600,2.8900,1114400
1999-05-26,2.9688,3.1250,2.9375,3.0625,1536000
1999-05-27,3.0625,3.0625,2.5000,2.6175,2413600
1999-05-28,2.6100,2.7500,2.5938,2.7425,1197600
1999-06-01,2.7738,2.8600,2.7738,2.8363,362400
1999-06-02,2.8438,2.9688,2.8438,2.9063,605600
1999-06-03,2.9138,2.9525,2.8900,2.9375,1001600
1999-06-04,2.9688,3.3275,2.9375,3.1800,1428800
1999-06-07,3.2113,3.2113,3.0150,3.0625,368000
1999-06-08,3.0775,3.0938,2.9225,2.9688,360000
1999-06-09,2.9525,2.9613,2.8438,2.9138,268000
1999-06-10,2.9138,2.9925,2.9138,2.9850,173600
1999-06-11,3.0475,3.0550,2.9375,2.9763,1095200
1999-06-14,2.9925,2.9925,2.7813,2.8675,529600
1999-06-15,2.8125,2.8125,2.5938,2.6175,2026400
1999-06-16,2.6175,2.6725,2.5625,2.6400,441600
1999-06-17,2.6725,2.7425,2.6563,2.7425,188000
1999-06-18,2.7738,2.8050,2.7500,2.7813,112800
1999-06-21,2.7975,2.8438,2.7975,2.8125,117600
1999-06-22,2.8200,2.8275,2.7025,2.7025,151200
1999-06-23,2.6875,2.7113,2.5938,2.5938,140000
1999-06-24,2.6250,2.7813,2.6250,2.7650,466400
1999-06-25,2.7813,2.8675,2.7813,2.8675,147200
1999-06-28,2.8750,3.0000,2.8675,2.9925,257600
1999-06-29,3.0075,3.1250,2.9763,2.9763,240000
1999-06-30,3.0075,3.1875,2.9063,3.1725,533600
1999-07-01,3.1725,3.2500,3.0313,3.0938,475200
1999-07-02,3.0938,3.2025,3.0938,3.1800,163200
1999-07-06,3.1875,3.4138,3.1875,3.2650,457600
1999-07-07,3.2975,3.3600,3.2263,3.3600,170400
1999-07-08,3.3600,3.6013,3.3275,3.5313,379200
1999-07-09,3.5938,3.5938,3.4525,3.5700,364000
1999-07-12,3.5700,3.6725,3.5700,3.6013,253600
1999-07-13,3.5625,3.5938,3.5000,3.5475,368800
1999-07-14,3.5475,3.5938,3.4688,3.4925,160000
1999-07-15,3.4613,3.4850,3.1725,3.3675,551200
1999-07-16,3.3600,3.4688,3.3600,3.4525,87200
1999-07-19,3.5000,3.5150,3.4525,3.4763,148000
1999-07-20,3.4450,3.4688,3.3750,3.3900,221600
1999-07-21,3.4450,3.4525,3.3513,3.3675,250400
1999-07-22,3.3600,3.3750,3.3125,3.3438,329600
1999-07-23,3.3675,3.3750,3.3438,3.3438,27200
1999-07-26,3.3438,3.4300,3.3438,3.4300,296000
1999-07-27,3.4300,3.5475,3.4300,3.5075,297600
1999-07-28,3.5388,3.5475,3.5000,3.5000,72000
1999-07-29,3.5000,3.5150,3.4525,3.4850,99200
1999-07-30,3.4925,3.5313,3.4763,3.5313,141600
1999-08-02,3.4925,3.4925,3.1013,3.2188,2729600
1999-08-03,3.2813,3.3275,3.1488,3.1563,624800
1999-08-04,3.1563,3.2425,3.0700,3.1400,520800
1999-08-05,3.1250,3.1250,2.9450,2.9925,464800
1999-08-06,2.9850,3.2813,2.9225,3.2188,268000
1999-08-09,3.2500,3.3125,3.2025,3.2425,180000
1999-08-10,3.2188,3.2188,3.0388,3.0625,252800
1999-08-11,3.0775,3.1100,3.0775,3.1013,288000
1999-08-12,3.1325,3.1563,3.0938,3.1100,270400
1999-08-13,3.1250,3.3438,3.1250,3.2188,100000
1999-08-16,3.1875,3.2188,3.1563,3.2113,47200
1999-08-17,3.2113,3.2113,3.1325,3.1563,43200
1999-08-18,3.1400,3.1400,3.0775,3.0775,137600
1999-08-19,3.0625,3.0700,3.0313,3.0625,80800
1999-08-20,3.0625,3.0625,3.0000,3.0150,68800
1999-08-23,3.0313,3.0475,2.9300,2.9613,184800
1999-08-24,2.9613,2.9613,2.7025,2.7500,409600
1999-08-25,2.7738,2.7738,2.4063,2.4375,748800
1999-08-26,2.4375,2.7500,2.4300,2.7425,1102400
1999-08-27,2.7738,2.7975,2.7263,2.7350,265600
1999-08-30,2.7500,2.7500,2.5938,2.6100,210400
1999-08-31,2.6100,2.6175,2.5775,2.6013,73600
1999-09-01,2.6175,2.7188,2.6175,2.7025,280800
1999-09-02,2.6875,2.7188,2.6563,2.7025,68000
1999-09-03,2.7188,2.7500,2.6563,2.6725,84800
1999-09-07,2.6725,2.6800,2.6325,2.6725,72800
1999-09-08,2.6800,2.8050,2.6800,2.7263,167200
1999-09-09,2.7500,2.7500,2.6875,2.6875,60800
1999-09-10,2.7188,2.7188,2.6250,2.6638,106400
1999-09-13,2.6800,2.6800,2.6250,2.6725,27200
1999-09-14,2.6800,2.6800,2.5775,2.5775,93600
1999-09-15,2.6100,2.6725,2.5938,2.6725,86400
1999-09-16,2.6875,2.7738,2.6875,2.7738,59200
1999-09-17,2.7888,2.8363,2.7888,2.8275,80800
1999-09-20,2.8200,2.8675,2.7975,2.8675,73600
1999-09-21,2.8513,2.9375,2.8363,2.9225,324800
1999-09-22,2.9375,2.9850,2.8988,2.9525,116800
1999-09-23,2.9613,3.0000,2.9613,2.9763,51200
1999-09-24,3.0000,3.0000,2.9525,3.0000,96800
1999-09-27,3.0000,3.0238,2.9925,3.0000,57600
1999-09-28,3.0000,3.0150,2.9525,2.9613,135200
1999-09-29,2.9613,3.1950,2.9613,3.1638,255200
1999-09-30,3.2188,3.3275,3.1875,3.3200,215200
1999-10-01,3.3438,3.3750,3.3125,3.3125,689600
1999-10-04,3.3363,3.3363,3.1725,3.1725,374400
1999-10-05,3.1725,3.1725,3.1250,3.1638,132000
1999-10-06,3.1725,3.2650,3.1725,3.2575,113600
1999-10-07,3.2500,3.2500,3.2025,3.2113,86400
1999-10-08,3.2113,3.2263,3.1875,3.2263,16800
1999-10-11,3.2263,3.2263,3.1875,3.2025,68800
1999-10-12,3.1950,3.1950,3.1400,3.1488,172800
1999-10-13,3.1400,3.1400,3.1100,3.1250,162400
1999-10-14,3.1013,3.1250,3.0775,3.0775,168000
1999-10-15,3.0313,3.0313,2.9450,3.0150,152800
1999-10-18,3.0000,3.0000,2.8675,2.8675,196800
1999-10-19,2.8825,3.0150,2.8750,3.0075,192800
1999-10-20,2.9925,3.0863,2.9925,3.0150,47200
1999-10-21,3.0150,3.0475,3.0000,3.0313,36000
1999-10-22,3.0075,3.0863,3.0000,3.0075,68800
1999-10-25,2.9925,3.0000,2.9375,2.9375,83200
1999-10-26,2.9375,2.9688,2.9375,2.9375,26400
1999-10-27,2.9375,3.0150,2.9375,2.9925,103200
1999-10-28,3.0000,3.0000,2.9613,2.9688,21600
1999-10-29,2.9850,3.0000,2.9375,2.9613,46400
1999-11-01,2.9613,3.0150,2.9525,3.0150,73600
1999-11-02,3.3438,3.5238,3.3363,3.5000,787200
1999-11-03,3.5313,3.6100,3.5150,3.5700,231200
1999-11-04,3.5388,3.5700,3.5150,3.5313,259200
1999-11-05,3.5000,3.5313,3.5000,3.5313,174400
1999-11-08,3.5475,3.7650,3.5475,3.7650,440000
1999-11-09,3.7813,4.0625,3.7813,3.9925,371200
1999-11-10,4.0000,4.0388,3.9375,3.9613,641600
1999-11-11,3.9450,3.9688,3.8988,3.8988,319200
1999-11-12,3.9300,3.9300,3.8125,3.8513,109600
1999-11-15,3.8438,3.8600,3.8200,3.8438,132000
1999-11-16,3.8275,3.8275,3.5625,3.5775,408000
1999-11-17,3.5775,3.5775,3.3275,3.4375,265600
1999-11-18,3.4525,3.4525,3.4063,3.4300,76800
1999-11-19,3.4138,3.4613,3.3900,3.4525,327200
1999-11-22,3.4525,3.4525,3.4375,3.4450,321600
1999-11-23,3.4300,3.4300,3.3125,3.3438,142400
1999-11-24,3.3600,3.3750,3.2500,3.2500,403200
1999-11-26,3.2500,3.2650,3.2263,3.2263,21600
1999-11-29,3.2425,3.2425,3.1400,3.1400,72800
1999-11-30,3.1638,3.2263,3.1400,3.2188,311200
1999-12-01,3.2188,3.2813,3.2188,3.2650,197600
1999-12-02,3.2813,3.3825,3.2813,3.3675,274400
1999-12-03,3.3750,3.4063,3.3600,3.4063,179200
1999-12-06,3.4063,3.4225,3.3900,3.3988,76800
1999-12-07,3.3988,3.4225,3.3988,3.4138,261600
1999-12-08,3.4138,3.4138,3.3600,3.3825,98400
1999-12-09,3.3825,3.3900,3.3513,3.3600,96000
1999-12-10,3.3600,3.3600,3.2975,3.2975,135200
1999-12-13,3.2650,3.2650,3.1400,3.1563,204000
1999-12-14,3.1250,3.1250,3.0625,3.0863,200800
1999-12-15,3.0938,3.0938,3.0550,3.0550,93600
1999-12-16,3.0550,3.0700,3.0075,3.0238,189600
1999-12-17,3.0475,3.0475,3.0150,3.0238,96800
1999-12-20,3.0075,3.0313,2.9688,2.9925,80800
1999-12-21,3.0000,3.1563,3.0000,3.1563,129600
1999-12-22,3.1250,3.2813,3.1250,3.2575,149600
1999-12-23,3.2738,3.3675,3.2650,3.2975,74400
