"MacroTrends Data Download"
"UPS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-11-10,36.3860,39.3584,36.1061,38.2053,80793700
1999-11-11,38.4852,43.0698,38.4852,41.9838,28309000
1999-11-12,42.5436,42.8963,38.7651,39.4648,14768100
1999-11-15,39.4648,39.6775,37.6791,38.6251,8675100
1999-11-16,37.9982,38.0653,36.3860,36.9458,6978600
1999-11-17,36.6995,38.1717,36.4587,37.8918,5806900
1999-11-18,38.0317,38.5915,37.0185,37.1193,4718700
1999-11-19,37.1193,37.1193,35.9661,36.3860,5091100
1999-11-22,35.8598,35.9661,34.1468,35.3392,4785400
1999-11-23,35.4791,37.5055,35.4064,37.0521,2832200
1999-11-24,37.1095,38.3409,37.0758,38.0597,2179400
1999-11-26,38.4814,39.0437,38.3409,38.8694,1322500
1999-11-29,39.3586,39.4991,37.6718,38.3071,1987000
1999-11-30,37.8854,38.0260,37.1432,37.1432,1686100
1999-12-01,37.2501,37.8854,36.9015,37.0420,1405700
1999-12-02,37.1095,37.7055,37.0420,37.7055,1391000
1999-12-03,37.9192,38.0597,37.2838,37.3569,1753500
1999-12-06,37.3906,37.3906,36.7609,37.2501,1398900
1999-12-07,37.0758,38.2340,37.0420,38.2340,1793100
1999-12-08,38.2340,38.4477,37.5312,38.4477,1774000
1999-12-09,38.4477,38.6557,37.4637,37.9529,1713600
1999-12-10,37.3232,37.6718,36.7609,37.1826,1248600
1999-12-13,37.3232,37.6380,36.4798,37.1095,1417800
1999-12-14,37.1095,37.1095,36.4067,36.5472,1886600
1999-12-15,36.5472,36.5810,35.8107,35.8444,1602800
1999-12-16,35.8444,36.0187,35.5633,35.9850,1364600
1999-12-17,36.4067,38.0204,36.3729,37.4581,1980800
1999-12-20,38.0597,38.5152,37.6380,38.5152,1501300
1999-12-21,38.3746,38.7963,37.9529,38.7963,1265200
1999-12-22,38.7626,38.7626,37.1432,37.6718,1264700
1999-12-23,37.3906,38.1666,36.9015,38.0935,1180600
1999-12-27,38.5152,39.1843,37.9529,39.1843,1478800
1999-12-28,39.0774,39.1843,38.2678,38.7963,1051400
1999-12-29,38.7963,39.0100,37.9866,38.2340,904700
1999-12-30,38.9369,39.0774,38.2340,38.2340,926700
1999-12-31,38.7288,39.0774,38.4477,38.7963,649300
2000-01-03,39.1843,39.2180,37.6718,37.7055,1273200
2000-01-04,37.6718,37.6718,36.3392,36.5135,1385800
2000-01-05,36.4798,37.3906,36.4067,37.0758,1401700
2000-01-06,37.0420,38.3071,36.5472,38.2340,1959100
2000-01-07,38.0260,38.0260,36.9689,37.3232,996000
2000-01-10,37.6043,37.9192,37.3569,37.7055,1191700
2000-01-11,37.7449,37.9192,37.2838,37.3232,1020000
2000-01-12,37.1826,37.9529,36.7946,37.8854,1097700
2000-01-13,38.0260,38.5152,37.8854,38.4083,1071200
2000-01-14,38.7288,38.9369,38.4083,38.8300,1160000
2000-01-18,38.7963,38.7963,37.8854,38.6220,980500
2000-01-19,38.5152,38.5489,37.9192,38.3746,1087300
2000-01-20,38.3071,38.8694,38.3071,38.7288,1972000
2000-01-21,38.7288,38.7288,37.4975,37.8123,1270100
2000-01-24,38.1666,38.3746,37.1095,37.1095,831400
2000-01-25,36.9015,37.4637,36.4067,37.0420,1263000
2000-01-26,36.6878,36.9015,36.2661,36.6203,933400
2000-01-27,36.7215,36.7609,35.9850,36.6203,1128400
2000-01-28,36.6203,37.0420,35.9850,36.5135,1324700
2000-01-31,35.4227,35.9850,33.1736,33.7359,5745800
2000-02-01,33.5616,34.5793,32.7857,34.5118,4761000
2000-02-02,33.5953,33.7022,32.1559,32.7519,4740600
2000-02-03,33.3142,33.4548,32.2628,32.4033,1951900
2000-02-04,32.7182,32.7182,31.5206,31.7005,1745200
2000-02-07,31.8411,31.9423,31.2057,31.3463,1480200
2000-02-08,31.6274,33.3873,31.3463,33.3873,2055100
2000-02-09,33.4548,33.5279,32.6114,32.6114,1209400
2000-02-10,32.6451,32.8925,31.7680,32.0829,995700
2000-02-11,31.9423,32.0491,30.9977,30.9977,1013900
