"MacroTrends Data Download"
"CSCO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1990-03-26,0.0586,0.0598,0.0580,0.0598,41702400
1990-03-27,0.0592,0.0611,0.0586,0.0611,15926400
1990-03-28,0.0611,0.0611,0.0604,0.0604,9792000
1990-03-29,0.0604,0.0604,0.0592,0.0604,16272000
1990-03-30,0.0592,0.0592,0.0567,0.0580,28742400
1990-04-02,0.0561,0.0574,0.0549,0.0567,15868800
1990-04-03,0.0561,0.0580,0.0561,0.0574,8352000
1990-04-04,0.0574,0.0580,0.0574,0.0574,14284800
1990-04-05,0.0580,0.0580,0.0567,0.0571,8323200
1990-04-06,0.0567,0.0574,0.0561,0.0561,10771200
1990-04-09,0.0567,0.0567,0.0555,0.0555,6681600
1990-04-10,0.0555,0.0567,0.0530,0.0543,34790400
1990-04-11,0.0543,0.0549,0.0537,0.0543,24796800
1990-04-12,0.0549,0.0549,0.0537,0.0549,13161600
1990-04-16,0.0549,0.0555,0.0543,0.0549,5616000
1990-04-17,0.0543,0.0555,0.0537,0.0555,6566400
1990-04-18,0.0555,0.0567,0.0549,0.0561,24480000
1990-04-19,0.0555,0.0567,0.0555,0.0567,25142400
1990-04-20,0.0567,0.0567,0.0549,0.0549,8755200
1990-04-23,0.0549,0.0561,0.0543,0.0555,5356800
1990-04-24,0.0567,0.0567,0.0561,0.0565,10281600
1990-04-25,0.0567,0.0574,0.0567,0.0567,6768000
1990-04-26,0.0567,0.0580,0.0567,0.0567,10713600
1990-04-27,0.0567,0.0574,0.0561,0.0561,4204800
1990-04-30,0.0574,0.0598,0.0567,0.0586,34329600
1990-05-01,0.0598,0.0598,0.0586,0.0595,28771200
1990-05-02,0.0592,0.0598,0.0586,0.0586,3139200
1990-05-03,0.0598,0.0604,0.0592,0.0604,7228800
1990-05-04,0.0598,0.0611,0.0598,0.0611,5702400
1990-05-07,0.0611,0.0629,0.0611,0.0617,13536000
1990-05-08,0.0629,0.0629,0.0611,0.0623,14486400
1990-05-09,0.0623,0.0623,0.0604,0.0611,9676800
1990-05-10,0.0617,0.0617,0.0604,0.0604,2793600
1990-05-11,0.0629,0.0635,0.0604,0.0611,29923200
1990-05-14,0.0623,0.0623,0.0611,0.0611,15235200
1990-05-15,0.0623,0.0623,0.0611,0.0614,24134400
1990-05-16,0.0623,0.0623,0.0604,0.0611,18720000
1990-05-17,0.0617,0.0617,0.0611,0.0617,6595200
1990-05-18,0.0611,0.0617,0.0598,0.0604,45417600
1990-05-21,0.0598,0.0617,0.0598,0.0604,4032000
1990-05-22,0.0604,0.0611,0.0604,0.0604,22982400
1990-05-23,0.0604,0.0611,0.0598,0.0598,39715200
1990-05-24,0.0611,0.0611,0.0598,0.0611,8121600
1990-05-25,0.0592,0.0604,0.0586,0.0592,4003200
1990-05-29,0.0592,0.0604,0.0580,0.0586,20707200
1990-05-30,0.0592,0.0592,0.0574,0.0580,96278400
1990-05-31,0.0574,0.0617,0.0574,0.0611,102988800
1990-06-01,0.0611,0.0629,0.0604,0.0617,103132800
1990-06-04,0.0623,0.0635,0.0611,0.0635,48499200
1990-06-05,0.0629,0.0666,0.0629,0.0660,56131200
1990-06-06,0.0660,0.0660,0.0641,0.0654,23241600
1990-06-07,0.0660,0.0660,0.0629,0.0635,18144000
1990-06-08,0.0641,0.0641,0.0617,0.0623,6566400
